Id	Key	Text
0	Success	Success
1	Fail	Failed
2	ServerInternalError	Temporary unavailable due to game server error
3	ServiceUnavailable	Temporary unavailable as the service is not yet launched
4	InvalidRequest	Invalid request
5	ParamsError	Parameter error
1001	GateServerNotOpen	Server is not yet available\nOpening time
1002	GateServerUpperLimit	Server population has reached the limit
1003	LoginApplicationVersionError	Application is not up to date
1004	LoginDocumentVersionError	Source is not up to date
1005	LoginTableError	Configuration list client inconsistent with server
1006	LoginInvalidStatus	Login request error
1007	LoginInvalidLoginToken	Account has expired, please login again.
1008	LoginInvalidUserId	Account does not exist
1009	LoginAccessDenied	Account has no permission
1010	LoginLoadMemberFailed	Failed to load data
1011	LoginServiceInvalidLoginType	
1012	LoginServiceInvalidToken	Invalid Token
1013	LoginServiceRetry	Login again
1014	LoginServiceAlreadyLogin	You have logged in already
1015	LoginServiceInternalError	Game server distribution error
1016	LoginServiceEnterGameServerFailed	Failed to login
1017	LoginServiceLoadPlayerDataFailed	Failed to load user data
1018	GateServerForceLogoutByAnotherLogin	Account has been logged in on another device
1019	GateServerKcpInvalidRequest	
1020	GateServerKcpSessionAlreadyCreated	
1021	GameServerFullLoad	Server is full, please try again later.
1022	GameServerNotOpen	Game server is not available yet
1023	GameServerHasNoUsableVersion	No game server with compiling version
1024	GameServerIsMaintenance	1023 game server updating
1025	KickOutByBanned	Forced offline by GM
1026	KickOutByGm	Account has been suspended
1027	LoginDeviceIdLimit	Devide ID does not match
1028	KickOutByForce	You have been forced offline
1029	ReconnectInvalidToken	Reconnection failed 1
1030	ReconnectPlayerLogout	Reconnection failed 2
1031	ReconnectInvalidSeqNo	Reconnection failed 3
1032	ReconnectUnable	Unable to reconnect
1033	GameServerLoginQueueFull	The login queue is currently full.
1034	GameServerAlreadyInLoginQueue	Logging in to server...
20000001	PlayerFunctionNotOpen	Feature is not available yet
20000002	PlayerFunctionShield	System is disabled
20000003	PlayerChangeDisplayCharIdCharIsNotOwned	You do not own this Construct
20000004	PlayerMedalIsNotOwned	You do not own this medal
20000005	PlayerDisplayCharIdListFull	20000005 Assistant queue is full
20000006	PlayerDisplayCharIdExit	20000006 Assistant already exists in queue
