Id	Key	Text
0	Success	
1	DecodeError	Decoding errors occurred! Please update the client to the latest version.
2	ServerInternalError	Internal server error
3	RequestOutOfLimit	Message sent too frequently
4	RpcTimeout	Request has expired
5	InvalidRequest	Invalid message request
6	InvalidArgument	Invalid parameters
7	FeaturesNotOpen	Feature is not available yet
8	RequestBlocked	Feature has been disabled
9	ServiceUnavailable	The server is temporarily unavailable. Please try again later.
10	ShieldFunction	System disabled. Unable to use.
11	ShieldRequestProtocol	Feature under maintenance. Unable to use.
