Id	Exp	FavorCharacterId[1]	FavorCharacterId[2]	FavorCharacterId[3]	FavorCharacterId[4]	FavorCharacterId[5]	FavorExp	TrustItemType	LimitLinkageType[1]	LimitLinkageType[2]	LimitLinkageType[3]
40601	30	1021001	1021002	1021003	1021004		60	1			
40602	30	1031001	1031002	1031003	1031004		60	1			
40603	30	1011002	1011003	1011004			60	1			
40604	30	1051001	1051003	1051004			60	1			
40605	30	1071002	1071003	1071004			60	1			
40606	30	1061002	1061003				60	1			
40607	30	1081002	1081003				60	1			
40608	30	1041002	1041003	1041004			60	1			
40609	30	1091002	1091003				60	1			
40610	30	1111002					60	1			
40611	30	1121002	1121003				60	1			
40612	30	1131002	1131003				60	1			
40613	30	1511003					60	1			
40614	30	1141003					60	1			
40615	30	1521003					60	1			
40616	30	1161002					60	1			
40617	30	1171003					60	1			
40618	30	1181003	1191003	1201003			60	1			
40619	30	1211002					60	1			
40620	30	1531003	1531004				60	1			
40621	30	1221002					60	1			
40622	30	1541003					60	1			
40623	30	1551003					60	1			
40624	30	1561003					60	1			
40625	30	1571003					60	1			
40626	30	1231002					60	1			
40681	10							1			
40682	10							1			
40683	20							1			
40684	20							1			
40801	199							2			
40803	199							2	1		
