Role	Layer	Animation	Bone	OffsetX[1]	OffsetZ[1]	OffsetX[2]	OffsetZ[2]	OffsetX[3]	OffsetZ[3]	OffsetX[4]	OffsetZ[4]	OffsetX[5]	OffsetZ[5]	OffsetX[6]	OffsetZ[6]	OffsetX[7]	OffsetZ[7]	OffsetX[8]	OffsetZ[8]	OffsetX[9]	OffsetZ[9]	OffsetX[10]	OffsetZ[10]	OffsetX[11]	OffsetZ[11]	OffsetX[12]	OffsetZ[12]	OffsetX[13]	OffsetZ[13]	OffsetX[14]	OffsetZ[14]	OffsetX[15]	OffsetZ[15]	OffsetX[16]	OffsetZ[16]	OffsetX[17]	OffsetZ[17]	OffsetX[18]	OffsetZ[18]	OffsetX[19]	OffsetZ[19]	OffsetX[20]	OffsetZ[20]	OffsetX[21]	OffsetZ[21]	OffsetX[22]	OffsetZ[22]	OffsetX[23]	OffsetZ[23]	OffsetX[24]	OffsetZ[24]	OffsetX[25]	OffsetZ[25]	OffsetX[26]	OffsetZ[26]	OffsetX[27]	OffsetZ[27]	OffsetX[28]	OffsetZ[28]	OffsetX[29]	OffsetZ[29]	OffsetX[30]	OffsetZ[30]	OffsetX[31]	OffsetZ[31]	OffsetX[32]	OffsetZ[32]	OffsetX[33]	OffsetZ[33]	OffsetX[34]	OffsetZ[34]	OffsetX[35]	OffsetZ[35]	OffsetX[36]	OffsetZ[36]	OffsetX[37]	OffsetZ[37]	OffsetX[38]	OffsetZ[38]	OffsetX[39]	OffsetZ[39]	OffsetX[40]	OffsetZ[40]	OffsetX[41]	OffsetZ[41]	OffsetX[42]	OffsetZ[42]	OffsetX[43]	OffsetZ[43]	OffsetX[44]	OffsetZ[44]	OffsetX[45]	OffsetZ[45]	OffsetX[46]	OffsetZ[46]	OffsetX[47]	OffsetZ[47]	OffsetX[48]	OffsetZ[48]	OffsetX[49]	OffsetZ[49]	OffsetX[50]	OffsetZ[50]	OffsetX[51]	OffsetZ[51]	OffsetX[52]	OffsetZ[52]	OffsetX[53]	OffsetZ[53]	OffsetX[54]	OffsetZ[54]	OffsetX[55]	OffsetZ[55]	OffsetX[56]	OffsetZ[56]	OffsetX[57]	OffsetZ[57]	OffsetX[58]	OffsetZ[58]	OffsetX[59]	OffsetZ[59]	OffsetX[60]	OffsetZ[60]	OffsetX[61]	OffsetZ[61]	OffsetX[62]	OffsetZ[62]	OffsetX[63]	OffsetZ[63]	OffsetX[64]	OffsetZ[64]	OffsetX[65]	OffsetZ[65]	OffsetX[66]	OffsetZ[66]	OffsetX[67]	OffsetZ[67]	OffsetX[68]	OffsetZ[68]	OffsetX[69]	OffsetZ[69]	OffsetX[70]	OffsetZ[70]	OffsetX[71]	OffsetZ[71]	OffsetX[72]	OffsetZ[72]	OffsetX[73]	OffsetZ[73]	OffsetX[74]	OffsetZ[74]	OffsetX[75]	OffsetZ[75]	OffsetX[76]	OffsetZ[76]	OffsetX[77]	OffsetZ[77]	OffsetX[78]	OffsetZ[78]	OffsetX[79]	OffsetZ[79]	OffsetX[80]	OffsetZ[80]	OffsetX[81]	OffsetZ[81]	OffsetX[82]	OffsetZ[82]	OffsetX[83]	OffsetZ[83]	OffsetX[84]	OffsetZ[84]	OffsetX[85]	OffsetZ[85]	OffsetX[86]	OffsetZ[86]	OffsetX[87]	OffsetZ[87]	OffsetX[88]	OffsetZ[88]	OffsetX[89]	OffsetZ[89]	OffsetX[90]	OffsetZ[90]	OffsetX[91]	OffsetZ[91]	OffsetX[92]	OffsetZ[92]	OffsetX[93]	OffsetZ[93]	OffsetX[94]	OffsetZ[94]	OffsetX[95]	OffsetZ[95]	OffsetX[96]	OffsetZ[96]	OffsetX[97]	OffsetZ[97]	OffsetX[98]	OffsetZ[98]	OffsetX[99]	OffsetZ[99]	OffsetX[100]	OffsetZ[100]	OffsetX[101]	OffsetZ[101]	OffsetX[102]	OffsetZ[102]	OffsetX[103]	OffsetZ[103]	OffsetX[104]	OffsetZ[104]	OffsetX[105]	OffsetZ[105]	OffsetX[106]	OffsetZ[106]	OffsetX[107]	OffsetZ[107]	OffsetX[108]	OffsetZ[108]	OffsetX[109]	OffsetZ[109]	OffsetX[110]	OffsetZ[110]	OffsetX[111]	OffsetZ[111]	OffsetX[112]	OffsetZ[112]	OffsetX[113]	OffsetZ[113]	OffsetX[114]	OffsetZ[114]	OffsetX[115]	OffsetZ[115]	OffsetX[116]	OffsetZ[116]	OffsetX[117]	OffsetZ[117]	OffsetX[118]	OffsetZ[118]	OffsetX[119]	OffsetZ[119]	OffsetX[120]	OffsetZ[120]	OffsetX[121]	OffsetZ[121]	OffsetX[122]	OffsetZ[122]	OffsetX[123]	OffsetZ[123]	OffsetX[124]	OffsetZ[124]	OffsetX[125]	OffsetZ[125]	OffsetX[126]	OffsetZ[126]	OffsetX[127]	OffsetZ[127]	OffsetX[128]	OffsetZ[128]	OffsetX[129]	OffsetZ[129]	OffsetX[130]	OffsetZ[130]	OffsetX[131]	OffsetZ[131]	OffsetX[132]	OffsetZ[132]	OffsetX[133]	OffsetZ[133]	OffsetX[134]	OffsetZ[134]	OffsetX[135]	OffsetZ[135]	OffsetX[136]	OffsetZ[136]	OffsetX[137]	OffsetZ[137]
Me1HetimingyunzhilunMd010001	0	Stand2	wheelBoneM	1.1767	-1.4488	1.1774	-1.4501	1.178	-1.4512	1.179	-1.4522	1.1801	-1.453	1.1812	-1.4537	1.1823	-1.4542	1.1834	-1.4545	1.1845	-1.4547	1.1856	-1.4546	1.1867	-1.4544	1.1878	-1.454	1.1888	-1.4534	1.1897	-1.4526	1.1906	-1.4516	1.1914	-1.4503	1.1921	-1.4488	1.1927	-1.4471	1.1932	-1.4451	1.1936	-1.4428	1.1938	-1.4403	1.1939	-1.4378	1.1937	-1.4356	1.1933	-1.4335	1.1928	-1.4317	1.192	-1.4301	1.1911	-1.4286	1.1901	-1.4273	1.1889	-1.426	1.1877	-1.4249	1.1864	-1.4239	1.1852	-1.4229	1.1841	-1.422	1.1832	-1.4211	1.1822	-1.4204	1.1812	-1.42	1.1803	-1.4199	1.1795	-1.4201	1.1787	-1.4206	1.178	-1.4214	1.1773	-1.4223	1.1767	-1.4236	1.1762	-1.425	1.1758	-1.4267	1.1754	-1.4285	1.1751	-1.4305	1.1749	-1.4327	1.1748	-1.435	1.1748	-1.4375	1.1748	-1.44	1.175	-1.4424	1.1753	-1.4445	1.1757	-1.4464	1.1765	-1.4482	1.1767	-1.4488																																																																																																																																																																				
Me1HetimingyunzhilunMd010001	0	Attack01	wheelBoneM	1.1767	-1.4488	1.169	-1.451	1.167	-1.4426	1.1704	-1.4468	1.1713	-1.4896	1.1717	-1.5685	1.1708	-1.648	1.1702	-1.7	1.1703	-1.724	1.17	-1.7353	1.1718	-1.7349	1.1709	-1.7497	1.1924	-1.5489	1.2138	-1.3171	1.231	-1.1577	1.2433	-1.0017	1.2536	-0.8315	1.2741	-0.6312	1.2864	-0.3872	1.295	-0.0722	1.2917	0.2533	1.2449	0.6139	1.0631	1.1559	0.7133	1.7319	0.3574	2.1337	0.0554	2.3064	-0.1057	2.2025	-0.1333	1.8828	-0.1579	1.6091	-0.1604	1.4806	-0.167	1.5105	-0.1749	1.5933	-0.179	1.6467	-0.1794	1.6859	-0.1791	1.7117	-0.1783	1.7344	-0.1778	1.7396	-0.1789	1.723																																																																																																																																																																																																						
Me1HetimingyunzhilunMd010001	0	Attack02	wheelBoneM	-0.1789	1.723	-0.1789	1.723	-0.1789	1.723	-0.179	1.7228	-0.1792	1.7227	-0.1795	1.7225	-0.1798	1.7222	-0.1802	1.722	-0.1806	1.7217	-0.1811	1.7214	-0.1816	1.7212	-0.1821	1.7209	-0.1826	1.7206	-0.183	1.7204	-0.1835	1.7202	-0.184	1.72	-0.1844	1.7198	-0.1847	1.7196	-0.185	1.7195	-0.1853	1.7195	-0.1854	1.7194	-0.1855	1.7194	-0.1855	1.7194	-0.1854	1.7195	-0.1851	1.7196	-0.1846	1.7198	-0.1838	1.7201	-0.1828	1.7205	-0.1817	1.7209	-0.1807	1.7213	-0.1798	1.7218	-0.1792	1.7221	-0.1789	1.7223	-0.1788	1.7224	-0.1788	1.7225	-0.1788	1.7225	-0.1788	1.7226	-0.1788	1.7227	-0.1787	1.7228	-0.1787	1.7228	-0.1786	1.7229	-0.1785	1.723	-0.1783	1.7231	-0.1782	1.7231	-0.1781	1.7231	-0.1781	1.7232	-0.1781	1.7232	-0.1781	1.7232	-0.1782	1.7232	-0.1784	1.7231	-0.1785	1.7231	-0.1786	1.7231	-0.1788	1.7231	-0.1789	1.723	-0.1789	1.723																																																																																																																																																																				
Me1HetimingyunzhilunMd010001	0	Attack03	wheelBoneM	-0.1789	1.723	-0.1763	1.6294	-0.1749	1.7054	-0.1743	1.7544	-0.1747	1.8078	-0.1754	1.854	-0.1758	1.8784	-0.1761	1.8809	-0.1766	1.8721	-0.1772	1.8541	-0.1778	1.829	-0.1782	1.7984	-0.1785	1.7651	-0.1788	1.733	-0.1789	1.723																																																																																																																																																																																																																																																				
Me1HetimingyunzhilunMd010001	0	Attack04	wheelBoneM	-0.1789	1.723	-0.0855	1.8774	-0.0171	2.0687	0.0562	2.2413	0.1832	2.3692	0.4253	2.384	0.99	2.0969	1.963	0.9973	2.1728	-0.599	1.4892	-1.4588	0.898	-1.739	0.2699	-1.8239	-0.3129	-1.6676	-0.7234	-1.3196	-0.9353	-0.8744	-0.9686	-0.4331	-0.9016	-0.0461	-0.8096	0.2671	-0.7325	0.5255	-0.3209	2.5997	0.3466	3.0331	0.6793	2.3754	1.0165	1.8226	1.1557	1.587	1.1941	1.5595	1.198	1.5806	1.191	1.6097	1.1856	1.6341	1.1767	1.6728	1.1628	1.73	1.1491	1.7795	1.1392	1.807	1.1354	1.8209	1.1361	1.8267	1.136	1.8308	1.1359	1.833	1.136	1.8333	1.1362	1.8312	1.1365	1.8268	1.1368	1.8198	1.1371	1.81	1.1378	1.7992	1.1384	1.7896	1.1387	1.7805	1.1388	1.7714	1.1389	1.7614	1.1389	1.7497	1.139	1.7354	1.1392	1.7177	1.1394	1.6958	1.1396	1.6687	1.1397	1.6359	1.1398	1.5962	1.1421	1.5479	1.1552	1.4835	1.1809	1.3877	1.2048	1.264	1.2324	1.1218	1.2553	0.9747	1.2745	0.829	1.2905	0.6932	1.2973	0.5587	1.2994	0.409	1.299	0.2574	1.2961	0.1119	1.2925	-0.0182	1.2898	-0.1234	1.2989	-0.2594	1.3214	-0.5081	1.3494	-0.7562	1.3793	-0.9633	1.396	-1.1231	1.3944	-1.2587	1.3623	-1.366	1.2988	-1.4389	1.2081	-1.4491	1.1767	-1.4488																																																																																																																								
Me1HetimingyunzhilunMd010001	0	Attack05	wheelBoneM	-0.1789	1.723	-0.1741	1.6691	-0.1782	1.5896	-0.1785	1.5037	-0.1808	1.4164	-0.1755	1.3436	-0.1748	1.2839	-0.1768	1.2282	-0.178	1.1658	-0.1774	1.0982	-0.1786	1.0307	-0.1781	0.944	-0.0365	0.9423	0.1508	0.8421	0.1895	0.7356	0.0616	0.373	-0.0955	-0.0363	-0.151	-0.2145	-0.1678	-0.3141	-0.1784	-0.366	-0.1976	-0.3996	-0.2233	-0.4258	-0.2434	-0.4556	-0.2597	-0.4319	-0.271	-0.3817	-0.275	-0.3113	-0.2739	-0.2343	-0.2693	-0.1599	-0.2656	-0.0977	-0.2722	-0.0449	-0.2895	0.0039	-0.268	-0.0005	-0.1419	-0.3146	-0.1031	-0.7112	-0.1031	1.3427	-0.212	1.8083	-0.216	1.8031	-0.2165	1.9337	-0.2154	1.9764	-0.2144	1.9699	-0.2144	1.9498	-0.2153	1.9285	-0.216	1.9159	-0.2154	1.9147	-0.2143	1.9196	-0.2142	1.9263	-0.2153	1.9338	-0.217	1.9403	-0.2187	1.9432	-0.2194	1.9404	-0.2186	1.9293	-0.2151	1.9085	-0.2135	1.8752	-0.2118	1.8331	-0.2116	1.783	-0.213	1.7289	-0.2137	1.6734	-0.2146	1.6187	-0.2152	1.5666	-0.2164	1.5184	-0.2147	1.472	-0.2183	1.4233	-0.2157	1.3838	-0.2152	1.3508	-0.2166	1.3386	-0.2127	1.3496	-0.2141	1.3656	-0.0884	1.2109	0.3321	0.6321	0.7307	-0.0199	0.8762	-0.4731	0.8984	-0.7374	0.94	-0.9784	1.0164	-1.1904	1.1113	-1.3693	1.1931	-1.4903	1.2322	-1.5701	1.2357	-1.5948	1.2234	-1.5857	1.2037	-1.5475	1.1877	-1.499	1.1788	-1.459	1.1778	-1.4467	1.1784	-1.446	1.1782	-1.4464	1.1775	-1.4475	1.1769	-1.4486	1.1767	-1.4488	1.1767	-1.4488	1.1767	-1.4488	1.1767	-1.4488																																																																																												
Me1HetimingyunzhilunMd010001	0	Attack06	wheelBoneM	-0.2529	-0.0249	-0.1839	-0.6518	-0.1526	-0.5872	-0.1443	1.8173	-0.1018	4.9665	-0.1041	6.0803	-0.1041	6.1323	-0.1042	6.1345	-0.1041	5.9693	-0.1044	5.7567	-0.1041	5.5073	-0.0998	4.632	-0.1041	3.6983	-0.1098	3.0714	-0.1041	2.8468	-0.1007	2.7503	-0.0928	2.6719	-0.0777	2.6605	-0.0762	2.6651	-0.1107	2.6581	-0.1841	2.6447	-1.1631	2.5636	-2.1285	1.7272	-2.5887	0.4972	-2.4787	-1.0048	-1.4623	-2.3009	0.2655	-2.1962	1.1338	-0.5591	0.9431	1.4597	-1.3026	2.2133	-2.3155	-0.0133	-2.2931	-0.1008	-2.2699	-0.1861	-2.2479	-0.2548	-2.2271	-0.297	-2.2068	-0.3099	-2.1872	-0.301	-2.1683	-0.2746	-2.1498	-0.2366	-2.1318	-0.1905	-2.114	-0.1428	-2.0963	-0.0972	-2.0785	-0.0518	-2.0604	0.0063	-2.0417	0.0713	-2.0224	0.1379	-2.002	0.1975	-1.9803	0.2448	-1.9573	0.2713	-1.9386	0.3279	-1.9142	0.6256	-1.747	1.0554	-1.3731	1.4027	-0.7764	1.7476	-0.1147	2.0461	0.4417	1.8758	1.045	1.6125	1.5858	1.1621	1.9473	0.5643	2.1144	-0.1058	2.0396	-0.7055	1.7729	-1.1273	1.4719	-1.3789	1.2403	-1.4872	1.1524	-1.5211	1.1275	-1.536	1.1164	-1.5394	1.1191	-1.5304	1.1293	-1.5166	1.1445	-1.4999	1.1599	-1.482	1.1712	-1.4639	1.1757	-1.4503	1.1757	-1.4503	1.1757	-1.4503	1.1757	-1.4503																																																																																																																										
Me1HetimingyunzhilunMd010001	0	Attack07	wheelBoneM	1.1712	-1.4556	1.1624	-1.3979	1.1543	-1.342	1.1456	-1.2884	1.1356	-1.2578	1.1344	-1.2399	1.1359	-1.2402	1.1347	-1.2648	1.136	-1.3139	1.1428	-1.3734	1.1558	-1.4291	1.1674	-1.4902	1.1788	-1.5625	1.186	-1.6522	1.191	-1.765	1.1844	-1.9033	1.179	-2.005	1.1579	-2.0422	1.1596	-2.0754	1.2046	-2.0276	1.2334	-1.798	1.1837	-1.4934	1.3407	-1.1158	1.4606	1.2493	0.5393	2.3162	-0.4206	2.1301	-1.0108	1.0727	-1.2201	0.7145	-1.3928	0.3646	-1.5251	0.0401	-1.6299	-0.2631	-1.7227	-0.5326	-1.8234	-0.7766	-1.906	-1.0046	-1.9827	-1.2174	-2.0358	-1.3088	-2.0963	-1.3209	-2.1294	-1.0784	-2.1046	-0.9973	-2.0782	-0.974	-2.0982	-0.9662	-2.0953	-0.9838	-2.109	-1.0688	-2.1076	-1.294	-2.1202	-1.2948	-2.0828	-1.1737	-2.028	-0.9664	-1.9491	-0.6729	-1.8537	-0.3214	-1.749	0.0997	-1.5813	0.7986	-0.9003	1.7235	0.3913	1.992	1.4306	0.6157	1.3235	-1.1592	0.1737	-1.8683	-1.1604	-1.0793	-1.581	0.4968	0.608	1.8436	2.3917	-0.5971	1.3023	-2.2069	0.0289	-2.7066	-1.2315	-2.7752	-1.7059	-2.0749	-1.7718	-1.7917	-1.7765	-1.794	-1.7835	-1.8052	-1.7924	-1.8209	-1.7769	-1.8666	-1.6972	-1.9245	-1.5794	-1.9764	-1.4193	-2.0372	-1.2732	-2.1096	-1.165	-2.1958	-1.0676	-2.2914	-0.8874	-2.2663	-0.7026	-2.146	-0.6002	-2.0898	-0.4436	-2.0488	-0.0953	-2.161	0.1151	-2.042	-0.0396	-1.2563	-0.1755	-0.2238	-0.1908	1.1525	-0.2967	2.6434	-0.7562	2.8933	-0.676	2.8436	-0.6615	2.937	-0.6694	2.9585	-0.673	2.8877	-0.6755	2.842	-0.6755	2.8113	-0.6756	2.7989	-0.6749	2.7964	-0.6755	2.7925	-0.6754	2.7794	-0.6765	2.7628	-0.6763	2.7438	-0.6788	2.7234	-0.6804	2.702	-0.6754	2.6815	-0.6755	2.6531	-0.6875	2.6257	-0.6888	2.6068	-0.653	2.5756	-0.593	2.5297	-0.5253	2.4863	-0.4424	2.4422	-0.3523	2.3941	-0.2493	2.3418	-0.14	2.2833	-0.0142	2.2213	0.1366	2.1381	0.3484	2.0096	0.586	1.8381	0.8316	1.6805	1.1224	1.536	1.4365	1.3313	1.6636	1.0711	1.8162	0.7334	1.9109	0.3626	1.9268	-0.0152	1.8624	-0.3947	1.668	-0.8044	1.4194	-1.1696	1.2149	-1.3969	1.1364	-1.4589	1.1186	-1.4664	1.1174	-1.4686	1.1296	-1.4657	1.1466	-1.4612	1.1621	-1.457	1.1712	-1.4556	1.1712	-1.4556						
Me1HetimingyunzhilunMd010001	0	Attack08	wheelBoneM	1.1712	-1.4556	1.1709	-1.5443	1.1704	-1.6132	1.1642	-1.6184	1.1564	-1.6073	1.1562	-1.614	1.1618	-1.6398	1.1699	-1.6673	1.1698	-1.6486	1.1621	-1.6064	1.1407	-1.5751	1.0832	-1.5689	1.0914	-1.6451	1.1094	-1.7156	1.1289	-1.7651	1.15	-1.803	1.1833	-1.7841	1.2312	-1.6564	1.2811	-1.4637	1.3225	-1.2444	1.3625	-0.9954	1.4085	-0.7558	1.6014	-0.4383	2.0051	0.5441	0.8685	2.6435	-2.2265	1.4128	-2.2127	0.0583	-2.0418	-0.07	-1.9775	-0.2434	-1.9406	-0.4281	-1.95	-0.5132	-1.9488	-0.6024	-1.9497	-0.6915	-1.9482	-0.7831	-1.9503	-0.8733	-1.9391	-0.8507	-1.9292	-0.7874	-1.9358	-0.6678	-1.9478	-0.5097	-1.9643	-0.322	-1.9833	-0.1258	-2.0026	0.0601	-2.0212	0.2277	-2.0377	0.3143	-2.0441	0.3306	-2.0142	0.3118	-1.9327	0.2399	-1.9419	0.1162	-2.0458	-0.0411	-2.1441	-0.2021	-2.1819	-0.3078	-2.1116	-0.4009	-1.988	-0.4922	-1.8112	-0.538	-1.6247	-0.5068	-1.4734	-0.1728	-1.3243	0.9094	-0.6806	2.5768	-0.4816	2.4211	-0.484	2.2211	-0.4919	1.9191	-0.5232	1.5792	-0.5199	1.1671	-0.4754	0.7141	-0.4184	0.2475	-0.3459	-0.2416	-0.2817	-0.7141	-0.2141	-1.2361	-0.1469	-1.6939	-0.1263	-1.9924	-0.1581	-2.1424	-0.2238	-2.1309	-0.2664	-2.1583	-0.2868	-2.1615	-0.3026	-2.1666	-0.3152	-2.162	-0.326	-2.1607	-0.3379	-2.1538	-0.349	-2.1466	-0.3688	-2.1316	-0.3825	-2.1271	-0.3736	-2.1307	-0.3632	-2.1341	-0.3981	-2.0926	-0.4942	-2.0101	-0.7603	-1.8989	-1.1169	-1.4371	-1.5216	-0.4774	-1.2687	1.121	2.1555	1.2919	1.3248	-2.43	0.8425	-2.5124	0.6545	-2.4184	0.4432	-2.2228	0.2955	-2.0194	0.2257	-1.969	0.183	-1.9505	0.1434	-1.9258	0.1155	-1.902	0.1157	-1.8814	0.1159	-1.8691	0.1209	-1.8545	0.1321	-1.8261	0.1427	-1.7995	0.1568	-1.7747	0.1803	-1.7481	0.2144	-1.7201	0.2686	-1.6832	0.3375	-1.6427	0.4203	-1.5977	0.5108	-1.5515	0.6062	-1.5076	0.7019	-1.4662	0.8128	-1.4467	0.9354	-1.446	1.0465	-1.4478	1.1257	-1.4385	1.1623	-1.4302	1.177	-1.4395	1.1706	-1.4607	1.1701	-1.4713	1.1703	-1.4732	1.1703	-1.4712	1.1702	-1.4688	1.1697	-1.4657	1.1692	-1.462	1.1694	-1.4587	1.1704	-1.4564	1.1709	-1.4556	1.1709	-1.4553	1.1709	-1.4551	1.171	-1.4551	1.1711	-1.4551	1.1712	-1.4552	1.1712	-1.4554	1.1713	-1.4555	1.1712	-1.4556
Me1HetimingyunzhilunMd010001	0	Attack09	wheelBoneM	1.1767	-1.4488	1.2388	-1.4006	1.2933	-1.3291	1.3487	-1.275	1.4373	-1.2643	1.5592	-1.3676	1.8279	-1.3126	1.8322	-1.245	1.7279	-1.2035	1.5348	-0.6848	1.3929	-0.3406	1.0657	-0.0988	0.8899	0.0361	0.8394	0.098	0.7824	0.1066	0.6135	0.1271	0.305	0.1699	-0.0447	0.1941	-0.3829	0.1429	-0.6339	-0.0752	-0.8758	-0.3097	-0.9045	-0.3796	-0.4607	-0.3176	-0.0285	-0.313	0.2465	-0.3813	0.3793	-0.4042	0.4063	-0.3541	0.2711	-0.2036	0.0559	0.043	0.0821	1.0295	-0.0195	2.0443	0.0376	1.9511	0.0277	2.0515	-0.0071	2.1256	-0.0136	2.1129	-0.0192	2.0896	-0.0198	2.0632	-0.0222	2.0474	-0.0257	2.047	-0.0271	2.0532	-0.0269	2.0633	-0.0266	2.0758	-0.0269	2.0892	-0.0279	2.1022	-0.0286	2.1135	-0.0287	2.1212	-0.0279	2.125	-0.0286	2.1176	-0.0341	2.0975	-0.041	2.0728	-0.0425	2.0576	-0.0346	2.0576	0.3298	1.9811	0.9742	1.8772	1.4707	1.7788	1.7031	1.6893	1.8565	1.5939	1.9462	1.5064	2.0086	1.4285	2.0441	1.3668	2.0554	1.3061	2.0188	1.2619	1.9794	1.2245	1.9427	1.1827	1.9267	1.1489	1.9409	0.916	1.9519	0.6734	1.9593	0.4095	1.9606	0.1275	1.9208	-0.1825	1.7901	-0.5271	1.6165	-0.8635	1.4283	-1.1465	1.2916	-1.318	1.2189	-1.4021	1.2003	-1.4229	1.1907	-1.4334	1.1743	-1.4509	1.1706	-1.4534	1.1692	-1.4544	1.1692	-1.4543	1.1703	-1.4534	1.172	-1.4522	1.1738	-1.4509	1.1752	-1.4499	1.1757	-1.4495	1.176	-1.4494	1.1762	-1.4492	1.1764	-1.449	1.1766	-1.4489	1.1767	-1.4488																																																																																												
