Id	Desc	IsDragOrRotate	IsTweenCamera	AllowZoom	Distance	MinDistance	MaxDistance	ZoomSpeed	AllowXAxis	TargetAngleX	MinAngleX	MaxAngleX	XAxisSpeed	AllowYAxis	TargetAngleY	MinAngleY	MaxAngleY	YAxisSpeed	AllowDrag	DragSpeed	OffsetViewportX	OffsetViewportY	IsLockOnViewportOffset	ViewportPointX	ViewportPointY
UIdomitory	Testing Function Room	1	1	0	16	0.2	50	1	0	0	0	360	5	0	0	0	90	2.5	1	0.018	8.99	0.18	0	0	0
UiRoomCharacter	UiRoomCharacter	0	0	0	3.51	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.24	-0.73	0	0	0
RoomDomitory	RoomDomitory	0	0	0	8	0.2	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DormTest	DormTest	0	1	0	8	0.2	75	0	1	0.04079235	-360	360	3	1	27	0	36	3	0	0	0	0	0	0	0
sushe003_1	DormMain	0	0	0	65.6	0.2	130	1.2	0	294.3	-360	360	2.2	0	38	10	75	2.2	0	0	0	1.62	0	0	0
sushe003_2	sushe003_2	0	0	0	66.8	0.2	130	1.2	0	292.6	-360	360	2.2	0	39.6	10	75	2.2	0	0	7.32	0.2	0	0	0
Room	Room	0	0	1	9.5	9	11	1.2	1	269.8688	-360	360	2.2	1	22.69049	10	75	2.2	0	0	0	0	0	0	0
sushe003_3	sushe003_3	0	0	0	67	0.2	130	1.2	0	289.8	-360	360	2.2	0	41.3	10	75	2.2	0	0	0	0	0	0	0
room1	Guild Dormitory Hall	0	0	1	7	5	8	1.2	1	90	-360	360	2.2	1	30	30	75	2.2	0	0	0	0	0	0	0
Scene03006	Scene03006	0	0	1	6	4	8	1.2	1	0	-360	360	2.2	1	40	10	60	2.2	0	0	0	0	0	0	0
Scene03405	Scene03405春节氛围公会	0	0	1	7	4	12	1.2	1	-90	-360	360	2.2	1	15	-50	85	2.2	0	0	0	0	0	0	0
