Id	BodyAnimName[0]	BodyAnimName[1]	BodyAnimName[2]
1	Stand1	RunStart	Run
2	Run	RunStartEnd01	Stand1
3	PlotStand1	PlotStand1ToAngry1	PlotAngry1Loop
4	PlotStand1	PlotStand1ToTalk1	PlotTalk1Loop
5	PlotStand1	PlotStand1ToWorry1	PlotWorry1Loop
6	PlotAngry1Loop	PlotAngry1ToStand1	PlotStand1
7	PlotTalk1Loop	PlotTalk1ToStand1	PlotStand1
8	PlotWorry1Loop	PlotWorry1ToStand1	PlotStand1
9	PlotStand1	PlotStand1ToThink1	PlotThink1Loop
10	PlotThink1Loop	PlotThink1ToStand1	PlotStand1
11	PlotSad1Loop	PlotSad1ToStand1	PlotStand1
12	PlotSerious1Loop	PlotSerious1ToStand1	PlotStand1
13	PlotStand1	PlotStand1ToSad1	PlotSad1Loop
14	PlotStand1	PlotStand1ToSerious1	PlotSerious1Loop
