CharacterId	ModelName	Name	SmallHeadIcon	HalfBodyImage
1011002	QR2LiangMd010011TX	Lee: Palefire	Assets/Product/Texture/Image/Role/RoleHeadLiQ.png	Assets/Product/Texture/Image/Role/RoleHeadLiQ.png
1021001	QR1LuxiyaMd010011TX	Lucia: Lotus	Assets/Product/Texture/Image/Role/RoleHeadluxiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaQ.png
1031001	QR1LifuMd010011TX	Liv: Eclipse	Assets/Product/Texture/Image/Role/RoleHeadLifuQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuQ.png
1041002	QR2BiankaMd010011TX	Bianca: Zero	Assets/Product/Texture/Image/Role/RoleHeadAolisuoQ.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuoQ.png
1051001	QR2YongyechaoMd010011TX	Nanami: Storm	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoQ.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoQ.png
1061002	QR2ShenweiMd010011TX	Kamui: Bastion	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png
1071002	QR2KalieninaMd010011TX	Karenina: Blast	Assets/Product/Texture/Image/Role/RoleHeadKalieQ.png	Assets/Product/Texture/Image/Role/RoleHeadKalieQ.png
1081002	QR2DubianMd010011TX	Watanabe: Nightblade	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png
1021002	QR2LuxiyaMd010011TX	Lucia: Dawn	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSQ.png
1031002	QR2LifuMd010011TX	Liv: Lux	Assets/Product/Texture/Image/Role/RoleHeadLifuSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSQ.png
1011003	QR3LiangMd010011TX	Lee: Entropy	Assets/Product/Texture/Image/Role/RoleHeadLiSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLiSSQ.png
1031003	QR3LifuMd010011TX	Liv: Luminance	Assets/Product/Texture/Image/Role/RoleHeadLifuSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSSQ.png
1061003	QR3ShenweiMd010011TX	Kamui: Tenebrion	Assets/Product/Texture/Image/Role/RoleHeadShenweiSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiSSQ.png
1071003	QR3KalieninaMd010011TX	Karenina: Ember	Assets/Product/Texture/Image/Role/RoleHeadKalieSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadKalieSSQ.png
1051003	QR3YongyechaoMd010011TX	Nanami: Pulse	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoSSQ.png
1021003	QR3LuxiyaMd010011TX	Lucia: Crimson Abyss	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSSQ.png
1081003	QR3DubianMd010011TX	Watanabe: Astral	Assets/Product/Texture/Image/Role/RoleHeadDubianSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadDubianSSQ.png
1091002	QR2AilaMd010011TX	Ayla	Assets/Product/Texture/Image/Role/RoleHeadAilaQ.png	Assets/Product/Texture/Image/Role/RoleHeadAilaQ.png
