Id	TimeId	Type	Name	Icon	ChapterIds[0]	ChapterIds[1]	EliminateGameId	PointItemId	PointRewardId[1]	PointRewardId[2]	PointRewardId[3]	PointRewardId[4]	PointRewardId[5]	PointRewardId[6]	PointRewardId[7]	PointRewardId[8]	PointRewardId[9]	TaskGroupId[1]	TaskGroupId[2]	InitSkillId
1		1	Operation Summer	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner16.png	101	102	1													
2		1	Temp Imbalance	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner16.png	103			62101	10301	10302	10303	10304	10305	10306	10307	10308				
3		2	Midsummer's Memorial Day	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner15.png	104															
4		3	Dancing Stars	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner47.png	105													83	84	
5		4	Crabsgiving Day	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner55.png	106													99	100	
6		5	Handmade Blessings	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner62.png	107													105	106	
7		6	Magic Square Funfair	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner73.png	108													133	134	
8		2	Midsummer Memento	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner80.png	109													147	148	
9		7	Magic Square Trial	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner73.png	110													164	165	
10	15201	5	Joyous Wrappings	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner95.png	111													0	191	1
