Id	Step	Icon
1	1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon01.png
2	2	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon02.png
3	3	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon03.png
4	4	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon04.png
5	5	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon05.png
6	6	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon06.png
7	-1	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon07.png
8	-2	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon08.png
9	-3	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon09.png
10	-4	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon10.png
11	-5	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon11.png
12	-6	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon12.png
13	999	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon13.png
14	1000	Assets/Product/Texture/Image/UiChessPursuit/ChessPursuitCardIcon14.png
