Id	CharacterId	Icon	RoundnessNotItemHeadIcon	BiggerDesc	SmallerDesc	EqualDesc
1	1041003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	Assets/Product/Texture/Image/Role/RoleHeadBianka3SS.png	If you can't make a decision, please allow me to weigh in... Let's try <color=#34AFF8>higher</color>.	If you can't make a decision, please allow me to weigh in... Let's try <color=#34AFF8>lower</color>.	
2	1021004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3.png	If I were to guess, I would guess <color=#34AFF8>higher</color>. Doing is better than thinking, isn't it?	If I were to guess, I would guess <color=#34AFF8>lower</color>. Doing is better than thinking, isn't it?	
3	1011003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	Assets/Product/Texture/Image/Role/RoleHeadLi3SS.png	My calculation showed that <color=#34AFF8>higher</color> is the correct choice.	My calculation showed that <color=#34AFF8>lower</color> is the correct choice.	
4	1031001	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Eh? My guess? If you trust me... how about <color=#34AFF8>higher</color>?	Eh? My guess? If you trust me... how about <color=#34AFF8>lower</color>?	
5	1051004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR5Yongyechao1.png	Assets/Product/Texture/Image/Role/RoleHeadR5Yongyechao3.png	Both Power and Nanami think it's gonna be <color=#34AFF8>higher</color>!	Both Power and Nanami think it's gonna be <color=#34AFF8>lower</color>!	
6	1061002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/Role/RoleHeadShenwei3.png	So, a gambling game. Let me think... Guess <color=#34AFF8>higher</color>, Commandant!	So, a gambling game. Let me think... Guess <color=#34AFF8>lower</color>, Commandant!	
7	1071004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Kalienina1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3.png	What? Look at me like this... You—you... Guess <color=#34AFF8>higher</color>! Just turn away already!	What? Look at me like this... You—you... Guess <color=#34AFF8>lower</color>! Just turn away already!	
8	1081002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	Assets/Product/Texture/Image/Role/RoleHeadDubian3.png	You want to know a leader's intuition? On a thing like this? Fine... I'd choose <color=#34AFF8>higher</color>.	You want to know a leader's intuition? On a thing like this? Fine... I'd choose <color=#34AFF8>lower</color>.	
9	1091002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	Assets/Product/Texture/Image/Role/RoleHeadAila3.png	Its color tone has already told you the answer... Can't you tell? It's <color=#34AFF8>higher</color>!	Its color tone has already told you the answer... Can't you tell? It's <color=#34AFF8>lower</color>!	
10	1111002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3.png	<color=#34AFF8>Higher</color>. All your spending has been recorded. Please settle it on time.	<color=#34AFF8>Lower</color>. All your spending has been recorded. Please settle it on time.	
