Name	Url
Mb1BengyuehtMd010001	Client/StatusSyncFight/Manifest/Model/Mb1BengyuehtMd010001.tab
Mb1JueanhtMd010001	Client/StatusSyncFight/Manifest/Model/Mb1JueanhtMd010001.tab
Me1ToudanniaohtMd000001	Client/StatusSyncFight/Manifest/Model/Me1ToudanniaohtMd000001.tab
Mo1ChongzhuanghtMd010001	Client/StatusSyncFight/Manifest/Model/Mo1ChongzhuanghtMd010001.tab
Mo1XiulijigongMd000001	Client/StatusSyncFight/Manifest/Model/Mo1XiulijigongMd000001.tab
R1LifuMd010011	Client/StatusSyncFight/Manifest/Model/R1LifuMd010011.tab
R1LuxiyaMd010011	Client/StatusSyncFight/Manifest/Model/R1LuxiyaMd010011.tab
R1LuxiyaMd010011Cgs	Client/StatusSyncFight/Manifest/Model/R1LuxiyaMd010011Cgs.tab
R1LuxiyaMd010011RM	Client/StatusSyncFight/Manifest/Model/R1LuxiyaMd010011RM.tab
R2ShenweiMd010011	Client/StatusSyncFight/Manifest/Model/R2ShenweiMd010011.tab
R3BiankaMd010031RM	Client/StatusSyncFight/Manifest/Model/R3BiankaMd010031RM.tab
