Id	MajorType	MajorName	MinorType	MinorName	Category	CategoryName	TypeIcon
25001	1	Refit	1	Floor	1	Floor	Assets/Product/Texture/Image/IconTools/IconDormBasisfloor001.png
25002	1	Refit	2	Wall	2	Wall	Assets/Product/Texture/Image/IconTools/IconDormBasiswall001.png
25003	1	Refit	3	Ceiling	3	Ceiling	Assets/Product/Texture/Image/IconTools/IconDormBasisceiling001.png
25004	2	Decor	4	Large	4	Sofa	Assets/Product/Texture/Image/IconTools/IconDormBasissofa001.png
25005	2	Decor	4	Large	5	Bed	Assets/Product/Texture/Image/IconTools/IconDormBasisbed001.png
25006	2	Decor	4	Large	6	Shelf	Assets/Product/Texture/Image/IconTools/IconDormBasiswardrobe001.png
25007	2	Decor	4	Large	7	Table	Assets/Product/Texture/Image/IconTools/IconDormBasistable001.png
25008	2	Decor	5	Small	8	Chair	Assets/Product/Texture/Image/IconTools/IconDormBasischair001.png
25009	2	Decor	5	Small	9	Stool	Assets/Product/Texture/Image/IconTools/IconDormBasisstool001.png
25010	2	Decor	5	Small	10	Stand	Assets/Product/Texture/Image/IconTools/IconDormBasiscabinet001.png
25011	2	Decor	5	Small	11	Object	Assets/Product/Texture/Image/IconTools/IconDormBasisterminal001.png
25012	2	Decor	6	ACCY	12	Accessory	Assets/Product/Texture/Image/IconTools/IconDormBasisairconditioning001.png
25013	2	Decor	8	Divider	13	Divider	Assets/Product/Texture/Image/IconTools/IconDormBasiswall2.png
