Id	Type	PerfabType	RecommendBuild[1]	RecommendBuild[2]	RecommendBuild[3]	UnlockPlugin[1]	UnlockPlugin[2]	UnlockPlugin[3]	UnlockPlugin[4]	UnlockPlugin[5]	UnlockPlugin[6]	UnlockPlugin[7]	UnlockPlugin[8]	UnlockPlugin[9]	UnlockPlugin[10]	UnlockPlugin[11]	UnlockPlugin[12]	AddEnergy	TimeScoreLimit	TimeScoreParam[1]	TimeScoreParam[2]	TimeScoreParam[3]	HpScoreLimit	HpScoreParam[1]	HpScoreParam[2]	HpScoreParam[3]	ComboScoreLimit	ComboScoreParam[1]	ComboScoreParam[2]	ComboScoreParam[3]	PerfectParam
30061304	2	BrilliantWalkStageGrid1				1011	2011	2012	3011	3021	1031	2031	2032	2033	3051	3061	3071		24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061305	1	BrilliantWalkStageGrid1	3051	3061	3071														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061306	1	BrilliantWalkStageGrid1				3012	3022												24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061307	1	BrilliantWalkStageGrid1	3011	3021		1021	3052	3062	3072										24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061308	1	BrilliantWalkStageGrid1	3012	3022															24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061309	1	BrilliantWalkStageGrid1				1022	3053	3063	3073										24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061310	1	BrilliantWalkStageGrid1				1012	2021	2022	3031	3041	1032	2041	2042	2043	3082	3092	3102		24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061311	1	BrilliantWalkStageGrid1	3082	3092	3102														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061312	1	BrilliantWalkStageGrid1	3031	3041															24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061313	1	BrilliantWalkStageGrid1				1023	3032	3042											24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061314	1	BrilliantWalkStageGrid1				3083	3093	3103											24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061315	1	BrilliantWalkStageGrid1	3083	3093	3103														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061316	1	BrilliantWalkStageGrid1				1024													24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061318	1	BrilliantWalkStageGrid1	3052	3062	3072														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061319	1	BrilliantWalkStageGrid1	1021																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061320	1	BrilliantWalkStageGrid1																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061321	1	BrilliantWalkStageGrid1	3053	3063	3073														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061322	1	BrilliantWalkStageGrid1	1022																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061323	1	BrilliantWalkStageGrid1																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061325	1	BrilliantWalkStageGrid1	3082	3092	3102														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061326	1	BrilliantWalkStageGrid1	3032	3042															24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061327	1	BrilliantWalkStageGrid1																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061328	1	BrilliantWalkStageGrid1	1024																24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061329	1	BrilliantWalkStageGrid1																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061330	1	BrilliantWalkStageGrid1																	24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061333	1	BrilliantWalkStageGrid2	3051	3061	3071														24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
30061334	1	BrilliantWalkStageGrid2	1021	3052															24000	120000	2	5	10000	20000	10000		100000	1000	1.5		2
