PassportId	Icon	FashionId	IsWeaponFahion
1	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
2	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
3	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12190001	1
4	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
5	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
6	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12050002	1
7	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
8	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
9	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12060003	1
10	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
11	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
12	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12130002	1
13	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
14	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
15	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12240002	1
16	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
17	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
18	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12220001	1
19	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
20	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
21	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12230001	1
22	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
23	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
24	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12100001	1
25	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
26	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
27	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12180001	1
28	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
29	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
30	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12170003	1
31	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
32	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
33	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12040004	1
34	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
35	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
36	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12320001	1
37	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow03.png		
38	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow02.png		
39	Assets/Product/Texture/Image/UIPassport/UIPassportShopShow01.png	12080001	1
