Id	PassportId	Level	RewardId	ShowCount
1	1		811009	
2	1		811012	
3	1		811013	
4	1		811014	
5	1		811015	
6	1		811016	
7	1		811017	
8	1		811018	
9	2		812009	
10	2		812007	
11	2		812006	
12	2		812003	
13	2		812010	
14	2		812012	
15	2		812008	
16	3	40	813039	
17	3		813049	
18	3		813048	
19	3		813047	
20	3		813046	
21	3		813045	
22	3		813041	
23	3		813043	
24	3		813042	
25	3		813044	
26	3		813038	
27	4		821009	
28	4		821012	
29	4		821013	
30	4		821014	
31	4		821015	
32	4		821016	
33	4		821017	
34	4		821018	
35	5		822009	
36	5		822007	
37	5		822006	
38	5		822002	
39	6	40	823039	
40	6		823049	
41	6		823008	
42	6		823000	
43	6		823005	
44	6		823006	
45	6		823007	
46	6		823003	
47	6		823004	
48	6		823001	
49	6		823002	
50	7		821009	150
51	7		831005	
52	7		821012	
53	7		821013	
54	7		821014	
55	7		821015	
56	7		821016	
57	7		821017	
58	8		822009	2500
59	8		832000	
60	8		822007	
61	8		822006	
62	8		822002	
63	9	40	833003	
64	9		823049	2500
65	9		833004	
66	9		823008	
67	9		823000	
68	9		823005	
69	9		823006	
70	9		823007	
71	9		823003	
72	9		823004	
73	9		823001	
74	10		821009	150
75	10		831005	
76	10		821012	
77	10		821013	
78	10		821014	
79	10		821015	
80	10		821016	
81	10		821017	
82	11		822009	2500
83	11		832000	
84	11		822007	
85	11		822006	
86	11		822002	
87	12	40	833044	
88	12		823049	2500
89	12		833004	
90	12		823008	
91	12		823000	
92	12		823005	
93	12		823006	
94	12		823007	
95	12		823003	
96	12		823004	
97	12		823001	
98	13		821009	150
99	13		831005	
100	13		821012	
101	13		821013	
102	13		821014	
103	13		821015	
104	13		821016	
105	13		821017	
106	14		822009	2500
107	14		832000	
108	14		822007	
109	14		822006	
110	14		822002	
111	15	40	833045	
112	15		823049	2500
113	15		833004	
114	15		823008	
115	15		823000	
116	15		823005	
117	15		823006	
118	15		823007	
119	15		823003	
120	15		823004	
121	15		823001	
122	16		821009	150
123	16		831005	
124	16		821012	
125	16		821013	
126	16		821014	
127	16		821015	
128	16		821016	
129	16		821017	
130	17		822009	2500
131	17		832000	
132	17		822007	
133	17		822006	
134	17		822002	
135	18	40	833046	
136	18		823049	2500
137	18		833004	
138	18		823008	
139	18		823000	
140	18		823005	
141	18		823006	
142	18		823007	
143	18		823003	
144	18		823004	
145	18		823001	
146	19		821009	150
147	19		831005	
148	19		821001	
149	19		821012	
150	19		821011	
151	19		821016	
152	19		821017	
153	20		832049	2500
154	20		833053	
155	20		832000	
156	20		833048	
157	20		832036	
158	20		832071	
159	21	40	833068	
160	21		823049	2500
161	21		833064	
162	21		833004	
163	21		823008	
164	21		833057	
165	21		833058	
166	21		823005	
167	21		823006	
168	21		823007	
169	21		833002	
170	22		821009	150
171	22		831005	
172	22		821001	
173	22		821012	
174	22		821011	
175	22		821016	
176	22		821017	
177	23		832049	2500
178	23		833053	
179	23		832000	
180	23		833048	
181	23		832036	
182	23		832071	
183	24	40	833069	
184	24		823049	2500
185	24		833064	
186	24		833004	
187	24		823008	
188	24		833057	
189	24		833058	
190	24		823005	
191	24		823006	
192	24		823007	
193	24		833002	
194	25		821009	150
195	25		831005	2000
196	25		821012	
197	25		821001	
198	25		821011	
199	25		821016	
200	25		821017	
201	26		832049	2500
202	26		833053	5
203	26		832000	4500
204	26		833048	
205	26		832036	
206	26		832071	
207	27	40	833070	
208	27		823049	2500
209	27		833064	10
210	27		833004	7500
211	27		823008	
212	27		833057	
213	27		833058	
214	27		823005	
215	27		823006	
216	27		823007	
217	27		833002	
218	28		821009	150
219	28		831005	2000
220	28		821012	
221	28		821001	
222	28		821011	
223	28		821016	
224	28		821017	
225	29		832049	2500
226	29		833081	5
227	29		832000	4500
228	29		833048	
229	29		832036	
230	29		832071	
231	30	40	833087	
232	30		823049	2500
233	30		833086	10
234	30		833004	7500
235	30		823008	
236	30		833057	
237	30		833058	
238	30		823005	
239	30		823006	
240	30		823007	
241	30		833002	
242	31		821009	150
243	31		831005	2000
244	31		821012	
245	31		821001	
246	31		821011	
247	31		821016	
248	31		821017	
249	32		832049	2500
250	32		833081	5
251	32		832000	4500
252	32		833048	
253	32		832036	
254	32		832071	
255	33	40	833088	
256	33		823049	2500
257	33		833086	10
258	33		833004	7500
259	33		823008	
260	33		833057	
261	33		833058	
262	33		823005	
263	33		823006	
264	33		823007	
265	33		833002	
266	34		821009	150
267	34		831005	2000
268	34		821012	
269	34		821001	
270	34		821011	
271	34		821016	
272	34		821017	
273	35		832049	2500
274	35		833098	5
275	35		832000	4500
276	35		833048	
277	35		832036	
278	35		832071	
279	36	40	833099	
280	36		823049	2500
281	36		833098	10
282	36		833004	7500
283	36		823008	
284	36		833057	
285	36		833058	
286	36		823005	
287	36		823006	
288	36		823007	
289	36		833002	
