Id	DetachCondition[0]	DetachCondition[1]	DetachCondition[2]
1011002	1	12	5
1021001	1	12	4
1031001	3	12	4
1041002	1	10	4
1051001	2	18	4
1061002	2	14	4
1071002	1	9	4
1081002	1	11	4
1021002	1	12	6
1031002	3	12	6
1011003	1	12	4
1031003	3	12	4
1061003	2	14	7
1071003	1	9	5
1051003	2	18	5
1021003	1	13	4
1081003	1	11	7
1091002	2	17	4
1041003	1	10	6
1111002	3	16	5
1121002	2	14	6
1021004	1	12	8
1131002	3	19	7
1511003	14	7	
1141003	2	15	4
1521003	20	4	
1161002	2	20	8
1171003	1	13	7
1181003	1	4	
1191003	3	4	
1201003	2	4	
1211002	3	14	8
1531003	17	6	
1121003	2	14	8
1221002	2	19	7
1131003	2	19	6
1541003	13	5	
1031004	21	12	5
