Id	OrderId	RobotId	UnlockBlockId	BuffId	Name	Icon	HeadIcon	Lihui
1	1	120000	2	1031002	Liv: Empyrea	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4LifuNormal01.png
2	2	120001	5	1071003	Karenina: Ember	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina1SS.png	Assets/Product/Texture/Image/Role/RoleHeadKalie3SSQ.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3KalieninaNormal01.png
3	3	120002	9	1051003	Nanami: Pulse	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao1SS.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3YongyechaoNormal01.png
4	4	120003	13	1541003	Roland: Flambeau	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan1.png	Assets/Product/Texture/Image/Role/RoleHeadLuolan3Qnew.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR2LuolanNormal01.png
5	5	120004	16	1511003	Camu: Crocotta	Assets/Product/Texture/Image/RolePlayer/RoleHeadKamu1.png	Assets/Product/Texture/Image/Role/RoleHeadKamu3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR2KamuNormal01.png
6	6	120005	18	1521003	Qu: Pavo	Assets/Product/Texture/Image/RolePlayer/RoleHeadQu1.png	Assets/Product/Texture/Image/Role/RoleHeadQu3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR2QuNormal01.png
7	7	120006	21	1531003	Selena: Tempest	Assets/Product/Texture/Image/RolePlayer/RoleHeadSailinna1.png	Assets/Product/Texture/Image/Role/RoleHeadSaiLinNa3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR2SailinnaNormal01.png
8	8	120007	24	1041003	Bianca: Veritas	Assets/Product/Texture/Image/RolePlayer/RoleHeadBianka1SS.png	Assets/Product/Texture/Image/Role/RoleHeadBianka3SSQ.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3BiankaNormal01.png
9	9	120008	32	1131003	Vera: Garnet	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Weila1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Weila3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3WeilaNormal01.png
10	10	120009	34	1011003	Lee: Entropy	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1SS.png	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3LiangNormal01.png
11	11	120010	37	1141003	Rosetta: Rigor	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuosaita1.png	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3LuosaitaNormal01.png
12	12	120011	39	1171003	Luna: Laurel	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuna1.png	Assets/Product/Texture/Image/Role/RoleHeadLuna3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3LunaNormal01.png
13	13	120012	45	1061003	Kamui: Tenebrion	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SSQ.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3ShenweiNormal01.png
14	14	120013	49	1021003	Lucia: Crimson Abyss	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3LuxiyaaerfaNormal01.png
15	15	120014	51	1021004	Lucia: Plume	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4LuxiyaNormal01.png
16	16	120015	55	1121003	Chrome: Glory	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Kuluomu1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3Q.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3KuluomuNormal01.png
