SkillId	Timings[1]	Timings[2]	Timings[3]	Timings[4]	Timings[5]	Timings[6]	DodgeTimings[1]	DodgeTimings[2]	DodgeTimings[3]	DodgeTimings[4]	BlockTimings[1]	BlockTimings[2]	BlockTimings[3]	BlockTimings[4]
100201	11|0|0.3	12|0.3|5	14|0.3|0.6											
100202	11|0|0.6	12|0.6|5	14|0.6|0.9											
100203	11|0|0.3	12|0.3|5	14|0.3|0.6											
100204	11|0|0.4	12|0.4|5	14|0.4|0.7											
100205	11|0|0.4	12|0.4|5	14|0.4|0.7											
100206	11|0|0.7	12|0.7|5												
100207	11|0|0.3	12|0.3|5	14|0.3|0.6											
100208	11|0|0.45	12|0.45|5	14|0.45|0.9											
100209	11|0|0.45	12|0.45|5	14|0.45|0.9											
100210	11|0|0.95	12|0.95|5	14|0.95|1.45											
100211	11|0|0.5	12|0.5|5												
100212	11|0|0.45	12|0.45|5	14|0.45|0.75											
100213	11|0|0.4	12|0.4|5					1|0|0.4							
100214	11|0|0.5	12|0.5|5					1|0|0.5							
100215	11|0|4	12|4|10												
100216	11|0|4	12|4|10												
100217	12|0|50													
100218	11|0|50													
100219	12|0|50													
100220	11|0|0.6	12|0.6|5												
100221	11|0|0.45	12|0.45|5												
100222	11|0|0.45	12|0.45|5									1|0|0.4			
100223	11|0|0.45	12|0.45|5												
100224	11|0|0.4	12|0.4|5												
100225	11|0|0.4	12|0.4|5												
100226	11|0|0.4	11|0.4|5	12|0.4|5											
100227	4|0|1.9	11|0|1.9	12|1.9|5											
100228	4|0|0.2	11|0|0.2	12|0.2|5											
100229	4|0|0.47	11|0|0.47	12|0.47|0.47											
100230	4|0|0.63	11|0|0.63	12|0.63|5	16|0|0.63										
100231	4|0|2.43	11|0|1.7	12|1.7|2											
100232	11|0|0.6	12|0.6|5												
100233	11|0|0.6	12|0.6|5												
100234	11|0|0.6	12|0.6|5												
100235	11|0|0.3	12|0.3|5	14|0.3|0.65	16|0.65|5										
100236	11|0|0.65	12|0.65|5	14|0.65|0.95	16|0.95|5										
100237	11|0|0.4	12|0.4|5	14|0.4|0.75											
100238	11|0|0.35	12|0.35|5	14|0.35|0.7											
100239	11|0|0.4	12|0.4|5	14|0.4|0.75											
100240	4|0|1.2	12|1.2|5	14|1.2|1.5	11|0|1.2										
100241	4|0|1.9	12|1.9|5												
100242	4|0|0.2	12|0.2|5												
100243	11|0|0.55	12|0.55|5		16|0.55|5										
100244	11|0|0.6	12|0.6|5												
100245	11|0|0.4	12|0.4|5	14|0.4|0.75											
100246	11|0|0.35	12|0.35|5	14|0.35|0.7											
100247	11|0|0.35	12|0.35|5	14|0.35|0.7											
100248	11|0|0.5	12|0.5|5	14|0.5|0.85											
100249	11|0|0.5	12|0.5|5	14|0.5|0.85											
100250	11|0|0.5	12|0.5|5	14|0.5|0.85											
100251	4|0|1.2	12|1.2|5												
100252	12|5.5|15													
100601	11|0|0.8	12|0.8|5	14|0.6|0.9											
100602	11|0|1.2	12|1.2|5	14|1|1.3											
100603	11|0|0.8	12|0.8|5	14|0.6|0.9											
100604	11|0|1.25	12|1.25|5												
100605	11|0|0.5	12|0.5|5	14|0.6|0.9											
100606	11|0|0.6	12|0.6|5					1|0|0.4							
100607	11|0|0.6	12|0.6|5					1|0|0.5							
100608	11|0|3.7	12|3.7|10												
100609	12|0|50													
100610	11|0|50													
100611	12|0|50													
100612	11|0|1	12|1|5												
100613	11|0|1	12|1|5												
100614	11|0|1	12|1|5												
100615	11|0|0.1	12|0.1|5												
100616	11|0|0.1	12|0.1|5												
100617	11|0|1	12|1|5												
100618	11|0|1	12|1|5									1|0|0.4			
100619	11|0|1.4	12|1.4|5												
100620	11|0|1.4	12|1.4|5									1|0|0.4			
100621	11|0|1.4	12|1.4|5												
100622	11|0|1.4	12|1.4|5									1|0|0.4			
100623	11|0|1.3	12|1.3|5												
100624	11|0|1.3	12|1.3|5												
100625														
100626														
100627														
100628														
100629														
100630														
100301	11|0|0.55	12|0.55|5	14|0.35|0.65											
100302	11|0|0.7	12|0.7|5	14|0.5|0.8											
100303	11|0|0.8	12|0.8|5	14|0.6|0.9											
100304	11|0|0.7	12|0.7|5	14|0.5|0.8											
100305	11|0|1.2	12|1.2|5												
100306	11|0|1.2	12|1.2|5												
100307	11|0|0.5	12|0.5|5					1|0|0.5							
100308	11|0|0.5	12|0.5|5					1|0|0.5							
100309	11|0|4.6	12|4.6|10												
100310	12|0|50													
100311	11|0|50													
100312	12|0|50													
100313	11|0|0.7	12|0.7|5												
100314	11|0|0.7	12|0.7|5												
100315	11|0|0.6	12|0.6|5												
100316	11|0|0.6	12|0.6|5												
100317	11|0|0.6	12|0.6|5												
100318	11|0|0.6	12|0.6|5												
100319	11|0|0.6	12|0.6|5												
100320	11|0|0.6	12|0.6|5												
100321	11|0|0.6	12|0.6|5												
100322	11|0|0.6	12|0.6|5												
100323	11|0|0.6	12|0.6|5												
100324														
100325														
100326														
100327														
100328														
100329														
100330														
