Id	CharacterID	Pic	Title	Description	NextTrialID
1	1011002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Li01.png	Controlling Bullet	Pinging a Red Orb after pinging a Yellow Orb grants the Blast effect, dealing extra Fire DMG in a small area	2
2	1011002		Common Combo	Infernal Shot will create a burning area when fired. Attacking enemies in the burning area deals extra Fire DMG.	1
3	1021001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya01.png	Lotus - Dual Blades	Lucia enters the burst form when a Red Orb is pinged within 4s after any 3-Ping, replacing Basic Attacks with Dual Blades.	4
4	1021001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya02.png	Common Combo List	Attacks deal Fire DMG after Blue Orb 3-Pings. Enters "Lotus - Dual Blades" upon pinging Red Orbs afterward, dealing Burst DMG in an instant.	3
5	1031001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	Laser Cluster	Pinging a Red Orb after any 3-Ping will cast Laser Cluster, dealing 10 instances of large area Physical DMG.	6
6	1031001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu02.png	Common Combo List	Ping 3 Yellow Orbs to pull in enemies, then ping a Red Orb to cast Laser Cluster, dealing massive damage.	5
7	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka01.png	Wing Shot	Pinging a Yellow Orb and hitting an enemy will grant extra Energy, increasing the rate Signature Move can be cast.	8
8	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka02.png	Common Combo	Trigger Passive Skill Quiver Of Mercy 3 times with 3-Pings and collect 3 energy arrows before casting Signature Move to deal Burst Physical DMG.	9
9	1041002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka03.png	Common Combo	Pinging 3 Blue Orbs will maximize weapon damage. Deal massive DMG with Basic Attacks afterward.	7
10	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi01.png	EX - Slash Storm	Pinging a Yellow Orb after any 3-Ping will cast EX - Slash Storm, attacking nearby enemies 8 times, dealing massive Physical DMG.	11
11	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi02.png	Common Combo List	Ping 3 Red Orbs to dash toward the target enemy, then ping a Yellow Orb to cast EX - Slash Storm and deal massive Physical DMG.	12
12	1051001	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi03.png	Common Combo List	Ping 3 Blue Orbs to pull enemies in, then ping a Yellow Orb to cast EX - Slash Storm to deal large area Physical DMG.	10
13	1061002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Shenwei02.png	Offence-Defense Rhythm	Counterattack and launch a swordwave immediately after blocking successfully, dealing Physical DMG and increasing ATK	14
14	1061002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Shenwei03.png	Great Slash	Pinging 3 Red Orbs will deal an extra hit when casting Heavy Slash.	13
15	1071002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie01.png	Artillery Tactics	Karenina enters the burst form after making 3-Ping three times or casting a Signature Move. For the next 3s, her Basic Attacks will be replaced by ranged cannon shots.	16
16	1071002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie02.png	Artillery Tactics	Karenina enters the burst form after making 3-Ping three times or casting a Signature Move. For the next 3s, her Basic Attacks will be replaced by ranged cannon shots.	17
17	1071002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie03.png	Common Combo	Casting Signature Move after pulling enemies together when pinging a Blue Orb to deal area damage and trigger Blast Mode, dealing massive damage.	18
18	1071002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie04.png	Common Combo	Mark enemies and enter Blast Mode after Yellow Orb 3-Pings. Triggers explosions on marked enemies in quick succession during Blast Mode, dealing Physical and Fire DMG.	15
19	1081002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Dubian01.png	Fleeting Phantom	Mark enemies with any 3-Ping. Attacking marked enemies with a 3-Ping will conjure a shade. Shades attack once when performing a Basic Attack.	20
20	1081002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Dubian02.png	Cheap Shot	Ping a Yellow Orb to move behind the enemy. Attacking an enemy from behind to trigger "Sneak Attack", increasing damage.	21
21	1081002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Dubian03.png	Common Combo	Ping a Yellow Orb to move behind the enemy. Pinging a Blue Orb to attack an enemy from behind will trigger a CRIT.	19
22	1021002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Luxiya01.png	Lotus - Lightning Dance	Pinging a Blue Orb or Yellow Orb to mark enemies. Attacking enemies marked by Lucia has a chance to call down a lightning, hitting the target and dealing Lightning DMG.	23
23	1021002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Luxiya02.png	Common Combo	Ping Yellow Orbs to create a lightning zone, then ping 3 Red Orbs to increase the number of extra attacks to deal massive Physical and Lightning DMG.	22
24	1031002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Lifu01.png	Reversed Egretfield	Hitting a marked enemy with Basic Attacks and Red Orb abilities has a chance to trigger Lightning Lure. When triggered for the 5th time, the next Lightning Lure will carry out Ex - Lightning Lure, dealing Lightning DMG to enemies and healing allies in the area.	25
25	1031002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Lifu02.png	Common Combo	Red Orb 3-Pings will trigger Lightning Lure.	26
26	1031002	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Lifu03.png	Common Combo	Ping a Yellow Orb to pull in an enemy before pining a Blue Orb to mark it. Trigger Passive Lightning Lure with Basic Attacks afterward.	24
27	1061003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Shenwei01.png	Fighting Will	3-Pings grant 10 extra Energy. Gain Physical and Dark Resistance during Twin Cores.	28
28	1061003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Shenwei02.png	Common Combo	During Signature Move, recover Energy quickly with any 3-Ping, increasing the time the Signature Move form lasts.	27
29	1031003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu01.png	Goddess Connection System	Enhances your weapon, increasing the damage and number of hits of Basic Attacks.	30
30	1031003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu02.png	Common Combo	Ping Blue Orbs to attract enemies. Pinging Yellow Orbs and performing Basic Attacks will increase attack rates, increasing the chance to trigger the passive "Light Penalty".	31
31	1031003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu03.png	Common Combo	3-Pings create Passive stacks and recover HP.	29
32	1071003		Thermal System	Gain Thermal Energy upon deployment based on skill levels. Casting certain skills grants Thermal Energy. All skills are enhanced when Thermal Energy is over 50%, and Fire DMG is increased in Enhanced Mode.	33
33	1071003		Thermal System	Blue Orb 3-Pings summon a drone. Increase Thermal Energy every time the drone attacks.	32
34	1011003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Li01.png	Common Combo	Any 3-Ping + Red Orb to unleash Enhanced Red Orbs	34
35	1051003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Qishi01.png	Overclock	For a short time, increase movement speed, deal Fire DMG with Basic Attacks, and lower the target's Fire Resistance after casting Signature Move.	35
36	1021003	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luxiyaaerfa01.png	Crimson Abyss - Blade Will	Upon a 3-Ping after pinging 3 Blue Orbs, enter Blade Will, turning all Signal Orbs into Special Orbs. Pinging Special Orbs will cast Swordwave.	36
