Id	Type	Name	Description	Part	Star	Level	Quality	Priority	BigSuccessProbability	BigSuccessBottomId	PoolId[1]	PoolId[2]	BigSuccessPoolId[1]	BigSuccessPoolId[2]	RecoveryRewardId	NotEvaluatedDesc[1]	NotEvaluatedDesc[2]	Icon	BigIcon
7000000	1	Lv.50 Low Speed ATK - Memory A	An HQ Facility. A simple type A Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	1	50	3		1500	20	1	1	2	2	700000	ATK +???	DEF+???		
7000001	1	Lv.50 High Speed ATK - Memory A	An HQ Facility. An advanced type A Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	1	50	4		1500	20	2	2	3	3	700001	ATK +???	DEF+???		
7000002	1	Lv.50 Super Speed ATK - Memory A	An HQ Facility. A special type A Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	1	50	5		1500	20	1	1	2	2	700002	ATK +???	DEF+???		
7000003	1	Lv.60 Low Speed ATK - Memory B	An HQ Facility. A simple type B Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	2	60	3		1500	20	2	2	3	3	700003	ATK +???	DEF+???		
7000004	1	Lv.60 High Speed ATK - Memory B	An HQ Facility. An advanced type B Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	2	60	4		1500	20	1	1	2	2	700004	ATK +???	DEF+???		
7000005	1	Lv.60 Super Speed ATK - Memory B	An HQ Facility. A special type B Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	2	60	5		1500	20	2	2	3	3	700005	ATK +???	DEF+???		
7000006	1	Lv.70 Low Speed ATK - Memory C	An HQ Facility. A simple type C Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	3	70	3		1500	20	1	1	2	2	700006	ATK +???	DEF+???		
7000007	1	Lv.70 High Speed ATK - Memory C	An HQ Facility. An advanced type C Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	3	70	4		1500	20	2	2	3	3	700007	ATK +???	DEF+???		
7000008	1	Lv.70 Super Speed ATK - Memory C	An HQ Facility. A special type C Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	3	70	5		1500	20	1	1	2	2	700008	ATK +???	DEF+???		
7000009	1	Lv.80 Low Speed ATK - Memory D	An HQ Facility. A simple type D Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	4	80	3		1500	20	2	2	3	3	700009	ATK +???	DEF+???		
7000010	1	Lv.80 High Speed ATK - Memory D	An HQ Facility. An advanced type D Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	4	80	4		1500	20	1	1	2	2	700010	ATK +???	DEF+???		
7000011	1	Lv.80 Super Speed ATK - Memory D	An HQ Facility. A special type D Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	4	80	5		1500	20	2	2	3	3	700011	ATK +???	DEF+???		
7000012	1	Lv.90 Low Speed ATK - Memory E	An HQ Facility. A simple type E Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	5	90	3		1500	20	1	1	2	2	700012	ATK +???	DEF+???		
7000013	1	Lv.90 High Speed ATK - Memory E	An HQ Facility. An advanced type E Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	5	90	4		1500	20	2	2	3	3	700013	ATK +???	DEF+???		
7000014	1	Lv.90 Super Speed ATK - Memory E	An HQ Facility. A special type E Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	5	90	5		1500	20	1	1	2	2	700014	ATK +???	DEF+???		
7000015	1	Lv.100 Low Speed ATK - Memory F	An HQ Facility. A simple type F Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	6	100	3		1500	20	2	2	3	3	700015	ATK +???	DEF+???		
7000016	1	Lv.100 High Speed ATK - Memory F	An HQ Facility. An advanced type F Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	6	100	4		1500	20	1	1	2	2	700016	ATK +???	DEF+???		
7000017	1	Lv.100 Super Speed ATK - Memory F	An HQ Facility. A special type F Omniframe enhancement memory able to improve all [Attacker] Omniframes: ATK+???      DEF+???	1	6	100	5		1500	20	2	2	3	3	700017	ATK +???	DEF+???		
7010000	1	Lv.45 Low Speed ATK - Vent A	An HQ Facility. A simple type A Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	1	45	3		1500	20	1	1	2	2	700000	ATK +???	DEF+???		
7010001	1	Lv.45 High Speed ATK - Vent A	An HQ Facility. An advanced type A Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	1	45	4		1500	20	2	2	3	3	700001	ATK +???	DEF+???		
7010002	1	Lv.45 Super Speed ATK - Vent A	An HQ Facility. A special type A Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	1	45	5		1500	20	1	1	2	2	700002	ATK +???	DEF+???		
7010003	1	Lv.55 Low Speed ATK - Vent B	An HQ Facility. A simple type B Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	2	55	3		1500	20	2	2	3	3	700003	ATK +???	DEF+???		
7010004	1	Lv.55 High Speed ATK - Vent B	An HQ Facility. An advanced type B Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	2	55	4		1500	20	1	1	2	2	700004	ATK +???	DEF+???		
7010005	1	Lv.55 Super Speed ATK - Vent B	An HQ Facility. A special type B Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	2	55	5		1500	20	2	2	3	3	700005	ATK +???	DEF+???		
7010006	1	Lv.65 Low Speed ATK - Vent C	An HQ Facility. A simple type C Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	3	65	3		1500	20	1	1	2	2	700006	ATK +???	DEF+???		
7010007	1	Lv.65 High Speed ATK - Vent C	An HQ Facility. An advanced type C Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	3	65	4		1500	20	2	2	3	3	700007	ATK +???	DEF+???		
7010008	1	Lv.65 Super Speed ATK - Vent C	An HQ Facility. A special type C Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	3	65	5		1500	20	1	1	2	2	700008	ATK +???	DEF+???		
7010009	1	Lv.75 Low Speed ATK - Vent D	An HQ Facility. A simple type D Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	4	75	3		1500	20	2	2	3	3	700009	ATK +???	DEF+???		
7010010	1	Lv.75 High Speed ATK - Vent D	An HQ Facility. An advanced type D Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	4	75	4		1500	20	1	1	2	2	700010	ATK +???	DEF+???		
7010011	1	Lv.75 Super Speed ATK - Vent D	An HQ Facility. A special type D Omniframe enhancement fan able to improve all [Attacker] Omniframes: ATK+???      CRIT+???	2	4	75	5		1500	20	2	2	3	3	700011	ATK +???	DEF+???		
