Id	RewardGroupId	Type	Weight	TemplateId	Count	Param[0]	Param[1]	Param[2]	ItemType
1	1	1		63002	20				
2	1	1		63002	30				
3	1	1		96004	20				
4	1	1		96004	30				
5	1	1		50003	300				
6	1	1		50005	300				
7	1	1		50009	300				
8	1	1		3005	1				
9	1	2	1000	31204	2				1
10	1	2	1000	31104	2				2
11	1	2	1000	30013	1				3
12	1	2	1000	12	3				4
13	1	2	1000	40200	3				5
14	1	2	1000	40301	2				6
15	1	2	1000	40100	3				7
16	1	2	1000	40103	3				8
17	1	2	1000	40104	3				9
18	2	1		63002	20				
19	2	1		63002	30				
20	2	1		96004	20				
21	2	1		96004	30				
22	2	1		50003	300				
23	2	1		50005	300				
24	2	1		50009	300				
25	2	1		3005	1				
26	2	2	1000	31204	2				1
27	2	2	1000	31104	2				2
28	2	2	1000	30013	1				3
29	2	2	1000	12	3				4
30	2	2	1000	40200	3				5
31	2	2	1000	40301	2				6
32	2	2	1000	40100	3				7
33	2	2	1000	40103	3				8
34	2	2	1000	40104	3				9
35	3	1		63002	20				
36	3	1		63002	30				
37	3	1		96004	20				
38	3	1		96004	30				
39	3	1		50003	300				
40	3	1		50005	300				
41	3	1		50009	300				
42	3	1		3005	1				
43	3	2	1000	31204	2				1
44	3	2	1000	31104	2				2
45	3	2	1000	30013	1				3
46	3	2	1000	12	3				4
47	3	2	1000	40200	3				5
48	3	2	1000	40301	2				6
49	3	2	1000	40100	3				7
50	3	2	1000	40103	3				8
51	3	2	1000	40104	3				9
52	4	1		63002	20				
53	4	1		63002	30				
54	4	1		96004	20				
55	4	1		96004	30				
56	4	1		50003	500				
57	4	1		50005	500				
58	4	1		50009	500				
59	4	1		3005	1				
60	4	2	1000	31204	2				1
61	4	2	1000	31104	2				2
62	4	2	1000	30013	1				3
63	4	2	1000	12	3				4
64	4	2	1000	40200	3				5
65	4	2	1000	40301	2				6
66	4	2	1000	40100	3				7
67	4	2	1000	40103	3				8
68	4	2	1000	40104	3				9
69	5	1		63002	20				
70	5	1		63002	30				
71	5	1		96004	20				
72	5	1		96004	30				
73	5	1		50003	700				
74	5	1		50005	700				
75	5	1		50009	700				
76	5	1		3005	1				
77	5	2	1000	31204	2				1
78	5	2	1000	31104	2				2
79	5	2	1000	30013	1				3
80	5	2	1000	12	3				4
81	5	2	1000	40200	3				5
82	5	2	1000	40301	2				6
83	5	2	1000	40100	3				7
84	5	2	1000	40103	3				8
85	5	2	1000	40104	3				9
