Id	Name	Function	Describe	IsShowCourse	ImageAsset[1]	ImageAsset[2]	ImageAsset[3]	ImageAsset[4]	ImageAsset[5]	ImageAsset[6]	ImageAsset[7]	ImageAsset[8]	ImageAsset[9]	ImageAsset[10]	ImageAsset[11]	ImageAsset[12]	ImageAsset[13]	ImageAsset[14]
10001	Memory Rescue	Trial	This is an Image Guide to Memory Rescue.\nYou can rescue a lot of high-rank Memories in Memory Rescue.\nThis is a reliable source for high-rank Memories.	1	Assets/Product/Texture/Image/UiHelp/UiHelpTrial1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpTrial2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpTrial3.jpg											
10002	Improve Characters	Character	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter8.png	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter9.png	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter10.png	Assets/Product/Texture/Image/UiHelp/UiHelpCharacter11.png			
10003	Improve Weapons	EquipWeapon	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpArms1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArms6.jpg								
10004	Improve Memory	EquipAwareness	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpWafer1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer8.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpWafer9.jpg					
10005	Celica's Class	Practice	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpPractice1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpPractice2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpPractice3.jpg											
10006	Phantom Pain Cage	BossSingle	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle8.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle9.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle10.jpg					
10007	War Zone	Arena	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpArena1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArena8.jpg						
10008	Golden Vortex	Explore	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpExplore1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExplore2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExplore3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExplore4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpExplore5.jpg									
10009	Dormitory	Dorm	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpDorm1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm5.jpg									
10010	Project Babel Tower	BabelTower	1. The Project Babel: Maelstrom consists of 3 levels. Each level has only 1 optional stage. In the optional stage, you can freely choose the combination of strategic objectives.\n\n2. Each level can be challenged with up to 3 teams. You can only use the 1st team to attempt each level at the beginning. When the 1st team has a clear record for each level, the 2nd team will be unlocked. When the 2nd team has a clear record for each level, the 3rd team will be unlocked. The record of each team's challenge level and members will be saved separately.\n\n3. Each level contains 5 difficulty levels. Based on your selection, the final Strategic Level will gain different bonuses. Final Strategic Level = Strategic Level Selected x Difficulty Bonus Coefficient (rounded off).\n\n4. There are three parts in the level: [Environmental Intelligence], [Strategic Target] and [Support Module] which will affect the battle\n※Environmental Intelligence: Environmental Affixes in the battle. The challenge of this level will be affected by the Environmental Affixes.\n※Strategic Target: Difficulty Affixes in the battle, the selected Affixes will be added to the level to increase the difficulty.\n※Support Module: Buff Affixes in the battle, the selected Affixes will aid your members in combat.\n\n5. After each successful challenge, the members used will be locked and cannot be used in other levels and form another team. The player can change the status of the members by "Clearing Record" or "Restoring Record".\n※Clearing Record: To clear the Strategic Levels gained by completing the level and unlock the members at the same time.\n※Restoring Record: Restores the level to the state before completion and regains the corresponding Strategic Levels. The members used to complete the level will be locked again.\n\n6. According to the combination of Strategic Objectives selected in the challenge of each level, rewards can be obtained once the total Strategic Level for a single level or the accumulated Strategic Level has reached the requirement of Challenge Mission.\n\n7. Once you complete a level, you will get a collectible reward. The higher the Strategic Level you reach, the better quality the collectible will be.\n\n8. The final Strategic Level reached by all of your teams will be shown on the Babel Tower Ranking.	1	Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower01.png	Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower02.png	Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower03.png	Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower04.png	Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower05.png	Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower06.png								
10011	APUS	RogueLike	123	1	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike6.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike7.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike8.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike9.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike810.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike11.jpg			
10012	Dormitory Template	DormTemplate	1. Template Dormitory:\n(1) Select your desired Template Dormitory as the decoration target.\n(2) Tap Quick Place to put the Decors you already own into the target dormitory according to the template.\n(3) If you do not have enough Decors, you can get them via Quick Craft and Modify.\n\n2. Favorite Dormitory:\n(1) You can decorate a dormitory as you please and save it as a template in the Favorite Dormitory.\n(2) The template can be set as the decoration target and applied to a dormitory via Quick Place.\n(3) You are allowed to use all Decors when you are creating a template dormitory.	2	Assets/Product/Texture/Image/UiHelp/UiHelpDorm1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpDorm5.jpg									
10013	Babel Tower Ranking	BabelTowerRank	1. The ranking is based on the total level of all teams in all stages.\n\n2. If multiple players achieve the same total level, the one who achieves this first will be ranked higher.	2														
10014	Return Missions	RegressionTask	1. Event Period: After the update at Apr. 13 2022 02:00 (UTC) and the event will be permanent since then.\n\n2.Return Missions Unlock Requirements:\n(1) Reached Commandant Lv. ≥20. Have not unlocked return missions before. Last login is ≥15 days.\n(2) Reached Commandant Lv. ≥20. Have unlocked return missions before. Last login is ≥30 days.\n\n3. Return missions will be available for 14 days after they are unlocked (You can check the remaining time in the return mission screen). You cannot complete return missions or claim unfinished mission rewards when they expire.	2														
10015	Invite Friends	ActivitySendInvitation	1. During the event, Lv.≥20 commandants can obtain an invite code.\n\n2. Share your invite code with commandants meeting the requirements below:\n(1) Reached Commandant Lv. ≥20. Have not unlocked return missions before. Last login is ≥15 days.\n(2) Reached Commandant Lv. ≥20. Have unlocked return missions before. Last login is ≥30 days.\nYou will have invited a commandant when they input your invite code in-game successfully.\n\n3. Your invite code can be used by others for 10 times in total. You will be rewarded accordingly for the number of times your code is used.\n\n4. The Invite Code is only available for Commandants of the same server. (e.g., The Commandant of the Asia-Pacific server cannot activate the Invite Code from the North America server's Commandants.)\n\n5. It may take a while for the invite code rewards to reflect on your account. Please try again later if they have yet to be reflected.	2														
10016	Invite Code Rewards	ActivityAcceptInvitation	1. During the event, commandants meeting the requirements below can use the invite code of other commandants for rewards:\n(1) Reached Commandant Lv. ≥20. Have not unlocked return missions before. Last login is ≥15 days.\n(2) Reached Commandant Lv. ≥20. Have unlocked return missions before. Last login is ≥30 days.\n\n2. The Invite Code is only available for Commandants of the same server. (e.g., The Commandant of the Asia-Pacific server cannot activate the Invite Code from the North America server's Commandants.)	2														
10017	Stealth	SneakTurtial	Stealth Guide UI	1	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian01.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian02.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian03.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian04.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian05.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian06.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian07.png							
10018	Picture Composition	PicComposition	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpPicChat1.png	Assets/Product/Texture/Image/UiHelp/UiHelpPicChat2.png	Assets/Product/Texture/Image/UiHelp/UiHelpPicChat3.png	Assets/Product/Texture/Image/UiHelp/UiHelpPicChat4.png	Assets/Product/Texture/Image/UiHelp/UiHelpPicChat5.png									
10019	Border Pact	Assign	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpAssign1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpAssign2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpAssign3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpAssign4.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpAssign5.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpAssign6.jpg								
10020	Joint Warfare	ArenaOnline	111	1	Assets/Product/Texture/Image/UiHelp/UiHelpArenaOnline1.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArenaOnline2.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArenaOnline3.jpg	Assets/Product/Texture/Image/UiHelp/UiHelpArenaOnline4.jpg										
10021	Kowloong Stealth	SneakTurtial02	Stealth Guide UI	1	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1201.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1202.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1203.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1204.png	Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1205.png									
10022	Phalanx	UnionKillStageHelp	Phalanx Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill1.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill2.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill3.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill4.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill5.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill6.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill7.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill8.png						
10023	Phalanx	UnionKillMainHelp	Phalanx Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill1.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill2.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill3.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill4.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill5.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill6.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill7.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill8.png						
10024	Phalanx	UnionKillRankHelp	Phalanx Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill1.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill2.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill3.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill4.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill5.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill6.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill7.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill8.png						
10025	Phalanx	UnionPraiseRankHelp	Phalanx Image Guide	1	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill1.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill2.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill3.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill4.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill5.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill6.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill7.png	Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill8.png						
