Id	TotalFinishCount	PreStageId[1]	PreStageId[2]	FinishReward	BuffId[1]	BuffId[2]	ConsumeId	ConsumeCount	StartStoryId	SystemReportId[1]	SystemReportId[2]
30130801	10						60811	10		45	
30130802	10	30130801		400203	23		60811	10		46	
30130803	10	30130802					60811	10		47	
30130804	10	30130803		400203	11		60811	10		48	
30130805	10	30130804					60811	10		49	
30130806	10	30130805		400203	24		60811	10		50	
30130807	10	30130806					60811	10		51	
30130808	10	30130807		400203	12		60811	10	SJ00111BA	52	
30130811	10						60811	10		53	
30130812	10	30130811		400203	27		60811	10		54	
30130813	10	30130812					60811	10		55	
30130814	10	30130813		400203	13		60811	10		56	
30130815	10	30130814					60811	10		57	
30130816	10	30130815		400203	28		60811	10		58	
30130817	10	30130816					60811	10		59	
30130818	10	30130817		400203	14		60811	10	SJ00103BA	60	
30130821	10						60811	10		61	
30130822	10	30130821		400203	21		60811	10		62	
30130823	10	30130822					60811	10		63	
30130824	10	30130823		400203	15		60811	10		64	
30130825	10	30130824					60811	10		65	
30130826	10	30130825		400203	22		60811	10		66	
30130827	10	30130826					60811	10		67	
30130828	10	30130827		400203	16		60811	10	SJ00107BA	68	
30130831	10						60811	10		69	
30130832	10	30130831		400203	29		60811	10		70	
30130833	10	30130832					60811	10		71	
30130834	10	30130833		400203	17		60811	10		72	
30130835	10	30130834					60811	10		73	
30130836	10	30130835		400203	30		60811	10		74	
30130837	10	30130836					60811	10		75	
30130838	10	30130837		400203	18		60811	10	SJ00109BA	76	
30130841	10						60811	10		77	
30130842	10	30130841		400203	25		60811	10		78	
30130843	10	30130842					60811	10		79	
30130844	10	30130843		400203	19		60811	10		80	
30130845	10	30130844					60811	10		81	
30130846	10	30130845		400203	26		60811	10		82	
30130847	10	30130846					60811	10		83	
30130848	10	30130847		400203	20		60811	10	SJ00105BA	84	
