Id	Damage	DamageScore	MaxDamageScore	CharLeftHp	CharLeftHpScore	MaxCharacterScore
30130801	100	1	5000	0.01	50	5000
30130802	100	1	5000	0.01	50	5000
30130803	100	1	5000	0.01	50	5000
30130804	100	1	5000	0.01	50	5000
30130805	100	1	5000	0.01	50	5000
30130806	100	1	5000	0.01	50	5000
30130807	100	1	5000	0.01	50	5000
30130808	100	1	5000	0.01	50	5000
30130811	100	1	5000	0.01	50	5000
30130812	100	1	5000	0.01	50	5000
30130813	100	1	5000	0.01	50	5000
30130814	100	1	5000	0.01	50	5000
30130815	100	1	5000	0.01	50	5000
30130816	100	1	5000	0.01	50	5000
30130817	100	1	5000	0.01	50	5000
30130818	100	1	5000	0.01	50	5000
30130821	100	1	5000	0.01	50	5000
30130822	100	1	5000	0.01	50	5000
30130823	100	1	5000	0.01	50	5000
30130824	100	1	5000	0.01	50	5000
30130825	100	1	5000	0.01	50	5000
30130826	100	1	5000	0.01	50	5000
30130827	100	1	5000	0.01	50	5000
30130828	100	1	5000	0.01	50	5000
30130831	100	1	5000	0.01	50	5000
30130832	100	1	5000	0.01	50	5000
30130833	100	1	5000	0.01	50	5000
30130834	100	1	5000	0.01	50	5000
30130835	100	1	5000	0.01	50	5000
30130836	100	1	5000	0.01	50	5000
30130837	100	1	5000	0.01	50	5000
30130838	100	1	5000	0.01	50	5000
30130841	100	1	5000	0.01	50	5000
30130842	100	1	5000	0.01	50	5000
30130843	100	1	5000	0.01	50	5000
30130844	100	1	5000	0.01	50	5000
30130845	100	1	5000	0.01	50	5000
30130846	100	1	5000	0.01	50	5000
30130847	100	1	5000	0.01	50	5000
30130848	100	1	5000	0.01	50	5000
