Id	Type	HeadIcon	Phases	Score	Message
1	1		100		Amberia is unlocked!
2	1		90		Amberia's HP has fallen to 90%!
3	1		80		Amberia's HP has fallen to 80%!
4	1		70		Amberia's HP has fallen to 70%!
5	1		60		Amberia's HP has fallen to 60%!
6	1		50		Amberia's HP has fallen to 50%!
7	1		40		Amberia's HP has fallen to 40%!
8	1		30		Amberia's HP has fallen to 30%!
9	1		20		Amberia's HP has fallen to 20%!
10	1		10		Amberia's HP has fallen to 10%!
11	1		0		Amberia has been defeated!
12	2		2		"Nightmare of Desire" area total progress has reached 25%!
13	2		4		"Nightmare of Desire" area total progress has reached 50%!
14	2		6		"Nightmare of Desire" area total progress has reached 75%!
15	2		8		"Nightmare of Desire" area total progress has reached 100%!
16	2		2		"Nightmare of Fire" area total progress has reached 25%!
17	2		4		"Nightmare of Fire" area total progress has reached 50%!
18	2		6		"Nightmare of Fire" area total progress has reached 75%!
19	2		8		"Nightmare of Fire" area total progress has reached 100%!
20	2		2		"Nightmare of Experiment" area total progress has reached 25%!
21	2		4		"Nightmare of Experiment" area total progress has reached 50%!
22	2		6		"Nightmare of Experiment" area total progress has reached 75%!
23	2		8		"Nightmare of Experiment" area total progress has reached 100%!
24	2		2		"Nightmare of Hatred" area total progress has reached 25%!
25	2		4		"Nightmare of Hatred" area total progress has reached 50%!
26	2		6		"Nightmare of Hatred" area total progress has reached 75%!
27	2		8		"Nightmare of Hatred" area total progress has reached 100%!
28	2		2		"Nightmare of Kindness" area total progress has reached 25%!
29	2		4		"Nightmare of Kindness" area total progress has reached 50%!
30	2		6		"Nightmare of Kindness" area total progress has reached 75%!
31	2		8		"Nightmare of Kindness" area total progress has reached 100%!
32	3		100		Location clear!
33	4			3000	%s has earned %d points in "Nightmare of Desire"
34	4			5000	%s has earned %d points in "Nightmare of Desire"
35	4			3000	%s has earned %d points in "Nightmare of Fire"
36	4			5000	%s has earned %d points in "Nightmare of Fire"
37	4			3000	%s has earned %d points in "Nightmare of Experiment"
38	4			5000	%s has earned %d points in "Nightmare of Experiment"
39	4			3000	%s has earned %d points in "Nightmare of Hatred"
40	4			5000	%s has earned %d points in "Nightmare of Hatred"
41	4			3000	%s has earned %d points in "Nightmare of Kindness"
42	4			5000	%s has earned %d points in "Nightmare of Kindness"
43	5			5000	%s has dealt %d damage to Amberia!
44	5			10000	%s has dealt %d damage to Amberia!
45	3		216000		"Nightmare of Desire" location NOD-1 is clear!
46	3		225000		"Nightmare of Desire" location NOD-2 is clear!
47	3		221400		"Nightmare of Desire" location NOD-3 is clear!
48	3		225000		"Nightmare of Desire" location NOD-4 is clear!
49	3		228600		"Nightmare of Desire" location NOD-5 is clear!
50	3		226800		"Nightmare of Desire" location NOD-6 is clear!
51	3		223200		"Nightmare of Desire" location NOD-7 is clear!
52	3		234000		"Nightmare of Desire" location NOD-8 is clear!
53	3		270000		"Nightmare of Fire" location NOF-1 is clear!
54	3		266400		"Nightmare of Fire" location NOF-2 is clear!
55	3		262800		"Nightmare of Fire" location NOF-3 is clear!
56	3		259200		"Nightmare of Fire" location NOF-4 is clear!
57	3		255600		"Nightmare of Fire" location NOF-5 is clear!
58	3		252000		"Nightmare of Fire" location NOF-6 is clear!
59	3		248400		"Nightmare of Fire" location NOF-7 is clear!
60	3		244800		"Nightmare of Fire" location NOF-8 is clear!
61	3		243000		"Nightmare of Experiment" location NOE-1 is clear!
62	3		241200		"Nightmare of Experiment" location NOE-2 is clear!
63	3		239400		"Nightmare of Experiment" location NOE-3 is clear!
64	3		237600		"Nightmare of Experiment" location NOE-4 is clear!
65	3		235800		"Nightmare of Experiment" location NOE-5 is clear!
66	3		234000		"Nightmare of Experiment" location NOE-6 is clear!
67	3		232200		"Nightmare of Experiment" location NOE-7 is clear!
68	3		230400		"Nightmare of Experiment" location NOE-8 is clear!
69	3		297000		"Nightmare of Hatred" location NOH-1 is clear!
70	3		291600		"Nightmare of Hatred" location NOH-2 is clear!
71	3		286200		"Nightmare of Hatred" location NOH-3 is clear!
72	3		280800		"Nightmare of Hatred" location NOH-4 is clear!
73	3		275400		"Nightmare of Hatred" location NOH-5 is clear!
74	3		270000		"Nightmare of Hatred" location NOH-6 is clear!
75	3		264600		"Nightmare of Hatred" location NOH-7 is clear!
76	3		259200		"Nightmare of Hatred" location NOH-8 is clear!
77	3		324000		"Nightmare of Kindness" location NOK-1 is clear!
78	3		316800		"Nightmare of Kindness" location NOK-2 is clear!
79	3		309600		"Nightmare of Kindness" location NOK-3 is clear!
80	3		302400		"Nightmare of Kindness" location NOK-4 is clear!
81	3		295200		"Nightmare of Kindness" location NOK-5 is clear!
82	3		288000		"Nightmare of Kindness" location NOK-6 is clear!
83	3		280800		"Nightmare of Kindness" location NOK-7 is clear!
84	3		273600		"Nightmare of Kindness" location NOK-8 is clear!
