Id	ResourceType[1]	ResourceParam[1]
101	3|31|32|33|34|35|4	10040101|10040102|10040103|10040104|10040201|10040202|10040203|10040204|10040301|10040302|10040303|10040304|10040401|10040402|10040403|10040404|10040501|10040502|10040503|10040504|10040601|10040602|10040603|10040604|11040101|11040102|11040103|11040104|11040105|11040106
102	3|31|32|33|34|35|4	10050101|10050102|10050103|10050104|10050201|10050202|10050203|10050204|10050301|10050302|10050303|10050304|11050101|11050102|11050103|11050104|11050105|11050106
103	3|31|32|33|34|35|4	10060101|10060102|10060103|10060104|10060201|10060202|10060203|10060204|10060301|10060302|10060303|10060304|11060101|11060102|11060103|11060104|11060105|11060106
104	3|31|32|33|34|35|4	10070101|10070102|10070103|10070104|10070201|10070202|10070203|10070204|10070301|10070302|10070303|10070304|11070101|11070102|11070103|11070104|11070105|11070106
105	3|31|32|33|34|35|4	10080101|10080102|10080103|10080104|10080201|10080202|10080203|10080204|10080301|10080302|10080303|10080304|11080101|11080102|11080103|11080104|11080105|11080106
106	3|31|32|33|34|35|4	10090101|10090102|10090103|10090104|10090201|10090202|10090203|10090204|10090301|10090302|10090303|10090304|10090401|11090101|11090102|11090103
107	3|31|32|33|34|35|4	10100101|10100102|10100103|10100104|10100201|10100202|10100203|10100204|10100301|10100302|10100303|10100304|11100101|11100102|11100103|11100104|11100105|11100106
108	3|31|32|33|34|35|4	10110101|10110102|10110103|10110104|10110105|10110106|10110107|10110108|10110109|10110112|10110113|10110111|10110150|10110151|10110152|11110100|11110101|11110102|11110105|11110103|11110104
109	3|31|32|33|34|35|4	10120101|10120102|10120103|10120104|10120105|10120106|10120107|10120108|10120109|10120110|10120111|10120112|10120113|10120114|10120115|10120116|10120117|10120118|10120119|10120120|10120121|10120122|10120123|10120124|10120125|10120126|11120101|11120102|11120103|11120104|11120105|11120106|11120107
110	3|31|32|33|34|35|4	10130102|10130103|10130105|10130107|10130110|10130112|10130115|10130119|10130121|10130123|10130124|10130126|10130127|10130128|10130129|10130130|10130142|10130143|10130145|10130147|10130156|10130157|10130158|10130159|10130161|10130163|10130164|10130166|10130167|10130168|10130169|10130170|10130171|10130172|10130173|10130174|10130175|10130176|10130177|10130178|10130179|10130180|10130181|10130182|10130183|10130184|10130185|10130186|10130200|10130201|10130202|10130203|10130204|10130205|10130206|10130207|10130208|10130209|10130210|10130211|10130212|10130213|10130214|10130215|10130216|10130217|10130218|10130219|10130220|10130221|10130222|10130223|10130224|10130225|10130226|10130227|10130228|10130229|10130230|10130231|10130232|10130233|10130234|10130235|10130236|10130237|10130238|10130239|10130240|10130241|10130150|10130151|10130152|10130153|10130154|10130155
111	3|31|32|33|34|35|4	10140101|10140102|10140103|10140104|10140105|10140106|10140107|10140108|10140109|10140110|10140111|10140112|10140113|10140114|10140115|11140101|11140102|11140103|11140104|11140105|11140106|11140107|11140108
112	3|31|32|33|34|35|4	10150101|10150102|10150103|10150104|10150105|10150106|10150107|10150108|10150109|10150110|10150111|10150112|10150113|10150114|10150115|10150116|10150117|11150101|11150102|11150103|11150104|11150105|11150106|11150107|11150108
113	3|31|32|33|34|35|4	10160101|10160102|10160103|10160104|10160105|10160106|10160107|10160108|10160109|10160110|10160111|10160112|10160113|10160114|10160115|11160101|11160102|11160103|11160104|11160105|11160106|11160107|11160108|11160109|11160110
114	3|31|32|33|34|35|4	10170100|10170101|10170102|10170103|10170104|10170105|10170106|10170107|10170108|10170109|10170110|10170111|10170112|10170113|10170114|10170115|10170116|10170117|10170118|10170119|10170120|10170121|10170123|10170122|10170124|10170126|10170127|10170125|10170128
115	3|31|32|33|34|35|4	10180101|10180102|10180103|10180104|10180105|10180106|10180107|10180108|10180109|10180110|10180111|10180112|10180113|10180114|10180115|10180116|10180117|10180118|10180119|10180120|10180121
201	3|31|32|33|34|35|4	15020121|15020122|15020123|15020124|15020125|15020126|15020127|15020128|15020129
202	3|31|32|33|34|35|4	15020210|15020211|15020212|15020213|15020214|15020215|15020216|15020217|15020218|15020219
301	3|31|32|33|34|35|4	15010001|15010009|15010010|15010002|15010003|15010004|15010011|15010005|15010012|15010006|15010007|15010008|15010013|15010101|15010102|15010103|15010104|15010105|15010106|15010107|15010108|15010109|15010110|15010111|15010112|15010113|15010114|15010115|15010116|15010117|15010118|15010119|15010120|16010101|16010102|16010103|16010104|16010105|16010106|16010107|16010108|15020101|15020102|15020103|15020104|15020105|15020106|15020107|15020108|15020109|15020110|15020111|15020112|15020113|15020114|15020115|15020116|15020117|15020118|15020121|15020122|15020123|15020124|15020125|15020126|15020127|15020128|15020129|15020130|15020150|15020151|15020152|16020101|16020102|16020103|16020104|16020105|16020106|16020107|16020108|15030101|15030102|15030103|15030104|15030105|15030119|15030106|15030107|15030108|15030109|15030110|15030111|15030112|15030113|15030114|15030115|15030116|15030117|15030118|16030101|16030102|16030103|15010501|15010502|15010503|15010504|15010505|15010506|15010507|15010508|15010509|15010510|15010511|15010512|15010513|15010514|15010515|15010516|15010517|15010518|15010519|15010520|15010521|15010522|15010523|15010524|15010525|15010526|15010527|15010528|15010601|15010602|15010603|15010604|15010605|15010606|15010607|15010608|15010609|15010610|15010612|15010613|15010621|15010626|15010627|15010628|15010622|15010629|15010623|15010624|15010625|15010630|15010631|15010632
302	3|31|32|33|34|35|4	12010102|12010202|12010302|12020103|12020203|12020303|12030103|12030203|12030303|12040103|12040203|12040303|12050103|12050203|12050303|12060103|12060203|12060303|12070103|12070203|12070303|12080103|12080203|12080303|12090103|12090203|12090303|12100104|12100204|12100304|12110104|12110204|12110304|12120104|12120204|12120304|12130105|12130205|12130305|12140105|12140205|12140305|12150105|12150205|12150305|12010101|12010201|12010301|12020101|12020201|12020301|12030101|12030201|12030301|12040101|12040201|12040301|12050101|12050201|12050301|12060101|12060201|12060301|12070101|12070201|12070301|12080101|12080201|12080301|12090101|12090201|12090301|12100101|12100201|12100301|12110101|12110201|12110301|12120101|12120201|12120301|12130101|12130201|12130301|12140101|12140201|12140301|12150101|12150201|12150301|12020102|12020202|12020302|12030102|12030202|12030302|12040102|12040202|12040302|12050102|12050202|12050302|12060102|12060202|12060302|12070102|12070202|12070302|12080102|12080202|12080302|12090102|12090202|12090302|12100102|12100202|12100302|12110102|12110202|12110302|12120102|12120202|12120302|12130102|12130202|12130302|12140102|12140202|12140302|12150102|12150202|12150302|12100103|12100203|12100303|12110103|12110203|12110303|12120103|12120203|12120303|12130103|12130203|12130303|12140103|12140203|12140303|12150103|12150203|12150303|12130104|12130204|12130304|12140104|12140204|12140304|12150104|12150204|12150304|12160101|12160201|12160301|12170101|12170201|12170301|12180101|12180201|12180301|12160102|12160202|12160302|12170102|12170202|12170302|12180102|12180202|12180302|12160103|12160203|12160303|12170103|12170203|12170303|12180103|12180203|12180303|12160104|12160204|12160304|12170104|12170204|12170304|12180104|12180204|12180304|12160105|12160205|12160305|12170105|12170205|12170305|12180105|12180205|12180305
