Id	RootId	PatchConfigIds[1]	PatchConfigIds[2]	PatchConfigIds[3]	PatchConfigIds[4]	PatchConfigIds[5]	PatchConfigIds[6]	PatchConfigIds[7]	EntryType	EntryParam	Title	Desc
100	0										Main Story	All game resources. Download to experience all the content.
104	100	101		302	303	305	306	307	1	1004	04 Forgotten Sand	
105	100	102		304					1	1005	05 Shattered Illusion	
106	100	103							1	1006	06 Alloy Contamination	
107	100	104							1	1007	07 Inver-Collapse	
108	100	105		301	201				1	1008	08 Consumed by Darkness	
109	100	106							1	1009	09 Fallen Star	
110	100	107							1	1010	10 Eternal Engine	
111	100	108							1	1011	11 Nona Ouroboros	
112	100	109							1	1012	12 Kowloong Metropolis	
113	100	110							1	1013	13 Fake Ascension	
114	100	111							1	1014	14 Imprisoned Sight	
115	100	112							1	1015	15 The Last Spark	
116	100	113							1	1016	16 Evernight Beat	
117	100	114							1	1017	17 The Surviving Lucem	
118	100	115		202					1	1018	18 Main	
200	0										Side Story	Extra Story resources
201	200	201									Extra Story 0	
202	200	202									Extra Story 1	
203	200	301									Extra Story	
204	200	306									Golden Vortex	
300	0	0									Challenge	Complete resources of the Special Campaign
301	300	303							3	10	War Zone	
302	300	304							3	5	Phantom Pain Cage	
303	300	302									Stronghold	
304	300	305									Mine	
400	0	401	402	403							Others	
