BuffId	BuffType	Params[1]	Params[2]	Params[3]	Icon	Desc
101	1	11	12	13		Start with 3 Explosive Devices
102	2	300				Start with 300 Resource Points
103	3	35			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff09.png	Catcher UFO Upgrade Resource Points Cost -35%
104	4	6	20	3	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff13.png	Resource Points Granted by Forgotten Supplies +20%
105	8	65			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff14.png	Consume Add-on Purchase Cost -35%
106	7	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff16.png	Own 1 additional Consume Add-on purchase slot
107	5	10	3		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff01.png	Grappling Hook Speed +10%
108	4	2	-50	3	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff15.png	Resource Points Granted by Gold Meteorites -50%
109	4	3	50	3	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff15.png	Resource Points Granted by Star Gems +50%
110	5	15	3		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff17.png	Grappling Hook Speed +15%
111	23	-5	-5		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff17.png	Resource Points earned -5%
112	16	0	2		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff18.png	Automatically gain a bonus Add-On Unit upon entering a stage
113	23	-6	12		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff19.png	Resource Points earned fluctuate between -6% and +12%
114	19	5			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff20.png	Gain 5 more seconds in stages
115	17	2			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff20.png	Each item used will trigger Hypermatrix once
201	6					Blows up the Space Resources being transported back
202	5	100	1		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff01.png	Next Grip Speed +100%
203	11	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff02.png	The next capture will not detonate Explosive Devices
204	9	9				Space Resources being transported back will be converted to Gold Meteorites of the same size
205	10	5				Cat will pause moving for 5s
206	4	2	50	2	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff03.png	+50% Resource Points earned from Gold Meteorites in this stage
207	4	3	50	2	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff05.png	+50% Resource Points earned from Star Gems in this stage
208	5	30	2		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff01.png	+30% transportation speed in this stage
209	4	6	50	2	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff06.png	+50% Resource Points earned from Forgotten Supplies in this stage
210	4	5	50	2	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff12.png	+50% Resource Points earned from cats in this stage
211	18	3				Trigger Hypermatrix for 3s
212	22	1				Blow up all the Space Meteorites on the field
213	21	0	-70	10		All Space Resources' weight reduces by 70% for 10s
301	12	15			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff09.png	UFO's movement speed increases by 1 level
302	12	30			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff09.png	UFO's movement speed increases by 2 levels
303	12	45			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff09.png	UFO's movement speed increases to the highest level
311	5	15			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff08.png	The capturing speed of the UFO grappling hook increases by 1 level
312	5	30			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff08.png	The capturing speed of the UFO grappling hook increases by 2 levels
313	5	45			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff08.png	The capturing speed of the UFO grappling hook increases to the highest level
321	14	2			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff10.png	Changes the grappling hook to a magnetic grappling hook
331	14	3			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff11.png	Changes the grappling hook to a giant grappling hook
341	15				Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff07.png	The grappling hook will shoot a aiming aid line
