Id	GroupId	DropType	RefreshType	ItemId	SingleFieldCount	AllFieldCount	Weight
1	1	1	1	1	3	99	100
2	1	1	1	3	3	99	100
3	1	1	1	4	3	99	100
4	1	1	1	11	3	99	100
5	1	1	1	12	3	99	100
6	1	1	1	13	3	99	100
7	1	1	2	6	1	99	100
8	1	1	2	7	1	99	100
9	1	1	2	8	1	99	100
10	1	1	2	9	1	99	100
11	1	1	2	10	1	99	100
12	2	2		1			100
13	2	2		3			100
14	2	2		4			100
15	2	2		11			100
16	2	2		12			100
17	2	2		13			100
18	3	1	1	1	3	99	100
19	3	1	1	4	3	99	100
20	3	1	1	11	3	99	100
21	3	1	1	13	3	99	100
22	3	1	2	6	1	99	100
23	3	1	2	7	1	99	100
24	3	1	2	8	1	99	100
