Id	Name	Describe	ItemType	BuyCost	BuffId	RemainingTimes	Icon	UseSoundId
1	Explosive Device	Blows up the Space Resources being captured	1	150	201	0	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconYinbaozhuangzhi.png	2547
2	Energy Drink	The speed of the ongoing capture increases to 2x	1	150	202	0	Assets/Product/Texture/Image/UiGoldenMiner/ItemYinliao.png	2548
3	Disruptor	The next capture will not detonate Explosive Devices	1	100	203	0	Assets/Product/Texture/Image/UiGoldenMiner/ItemGanrao.png	
4	The Midas Touch	Space Resources being captured will be converted to Gold Meteorites of the same size	1	180	204	0	Assets/Product/Texture/Image/UiGoldenMiner/UiItemJinyaoshui.png	2548
5	Frost Potion	Pauses the Space Devourer for 5s	1	300	205	0	Assets/Product/Texture/Image/UiGoldenMiner/UiItemBingyaohui.png	2548
6	Metallurgy Guide	Gold Meteorites grant 50% more Resource Points in the next stage	2	300	206	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff003.png	
7	Extraction Guide	Star Gems grant 50% more Resource Points in the next stage	2	500	207	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff004.png	
8	Workout Guide	The speed of the next capture increases by 30%	2	500	208	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff001.png	
9	Lucky Guide	Forgotten Supplies grant 50% more Resource Points in the next stage	2	350	209	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff005.png	
10	A Guide to Catnip and Cats	Resource Points earned from the cat in the next stage increase by 50%	2	300	210	1	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBook01.png	
11	The Container of Sands of Time	Trigger Hypermatrix for 3s	1	150	211	0	Assets/Product/Texture/Image/UiGoldenMiner/UiItemSandglass.png	
12	Meteor Destroyer	Blow up all the Space Meteorites in the stage	1	500	212	0	Assets/Product/Texture/Image/UiGoldenMiner/UiItemLiGum.png	
13	Gravity Controller	All Space Resources' weight reduces by 70% for 10s	1	150	213	0	Assets/Product/Texture/Image/UiGoldenMiner/UiItemSingularity.png	
