Id	ModelPath	LowModelPath	ControllerPath	DisplayControllerPath	UiDefaultAnimationPath	FashionControllerPath
Me1XiguajunMd000002UI	Assets/Product/Role/CharaterPrefab/Me1XiguajunMd000001.prefab				Assets/Product/Role/Animation/Me1XiguajunMd000002/Me1XiguajunMd000002Display/UiStand1.anim	
Mb1XuexiaoMd000002UI	Assets/Product/Role/CharaterPrefab/Mb1XuexiaoMd000001.prefab				Assets/Product/Role/Animation/Mb1XuexiaoMd000002/Mb1XuexiaoMd000002Display/UiStand1.anim	
Mo1TuziMd000002UI	Assets/Product/Role/CharaterPrefab/Mo1TuziMd000001.prefab				Assets/Product/Role/Animation/Mo1TuziMd000002/Mo1TuziMd000002Display/UiStand1.anim	
Mo1ZhangyuMd000002UI	Assets/Product/Role/CharaterPrefab/Mo1ZhangyuMd000001.prefab				Assets/Product/Role/Animation/Mo1ZhangyuMd000002/Mo1ZhangyuMd000002Display/UiStand1.anim	
Me1XiongrenMd000002UI	Assets/Product/Role/CharaterPrefab/Me1XiongrenMd000001.prefab				Assets/Product/Role/Animation/Me1XiongrenMd000002/Me1XiongrenMd000002Display/UiStand1.anim	
ActivityRole08001	Assets/Product/Role/CharaterPrefab/ActivityRole08001.prefab				Assets/Product/Role/Animation/ActivityRole08001/ActivityRole08001Display/JmStand1.anim	
ActivityRole08002	Assets/Product/Role/CharaterPrefab/ActivityRole08002.prefab				Assets/Product/Role/Animation/ActivityRole08002/ActivityRole08002Display/JmStand1.anim	
ActivityRole09001	Assets/Product/Role/CharaterPrefab/ActivityRole09001.prefab				Assets/Product/Role/Animation/ActivityRole09001/ActivityRole09001Display/JmStand1.anim	
Me1YunluMd000003UI	Assets/Product/Role/CharaterPrefab/Me1YunluMd000003.prefab				Assets/Product/Role/Animation/Me1YunluMd000002/Me1YunluMd000002/BaseLayer/UiStand02.anim	
Mb1TaiayixingMd010001UI	Assets/Product/Role/CharaterPrefab/Mb1TaiayixingMd010001.prefab				Assets/Product/Role/Animation/Mb1TaiayixingMd010001/Mb1TaiayixingMd010001/BaseLayer/Stand2.anim	
Mb1LunaMd010001UI	Assets/Product/Role/CharaterPrefab/Mb1LunaMd010001.prefab				Assets/Product/Role/Animation/Mb1LunaMd010001/Mb1LunaMd010001/BaseLayer/Stand2.anim	
Me1DiaorenyixingMd000001UI	Assets/Product/Role/CharaterPrefab/Me1DiaorenyixingMd000001.prefab				Assets/Product/Role/Animation/Me1DiaorenyixingMd000001/Me1DiaorenyixingMd000001/BaseLayer/Stand2.anim	
Mb1HadisiMd010001UI	Assets/Product/Role/CharaterPrefab/Mb1HadisiMd010001ui.prefab				Assets/Product/Role/Animation/Mb1HadisiMd010001/Mb1HadisiMd010001/BaseLayer/Standui.anim	
Mb1XigeluenMd010002UI	Assets/Product/Role/CharaterPrefab/Mb1XigeluenMd010002.prefab				Assets/Product/Role/Animation/Mb1XigeluenMd010002/Mb1XigeluenMd010002Display/Stand2.anim	
Mo1MifengMd010001UI	Assets/Product/Role/CharaterPrefab/Mo1MifengMd010001.prefab				Assets/Product/Role/Animation/Mo1MifengMd010001/Mo1MifengMd010001/BaseLayer/Stand2.anim	
Mo1QiuqiujiaoMd010001UI	Assets/Product/Role/CharaterPrefab/Mo1QiuqiujiaoMd010001.prefab				Assets/Product/Role/Animation/Mo1QiuqiujiaoMd010001/Mo1QiuqiujiaoMd010001/BaseLayer/Stand2.anim	
Mo1ShirenhuaMd010002UI	Assets/Product/Role/CharaterPrefab/Mo1ShirenhuaMd010002.prefab				Assets/Product/Role/Animation/Mo1ShirenhuaMd010002/Mo1ShirenhuaMd010002/Layer2/Stand1.anim	
Mo1BopuerMd010001UI	Assets/Product/Role/CharaterPrefab/Mo1BopuerMd010001.prefab				Assets/Product/Role/Animation/Mo1BopuerMd010001/Mo1BopuerMd010001/BaseLayer/Stand1.anim	
Me1NianMd010001UI	Assets/Product/Role/CharaterPrefab/Me1NianMd010001.prefab				Assets/Product/Role/Animation/Me1NianMd010001/Me1NianMd010001/BaseLayer/Stand1.anim	
Me1YasibeiersiMd010001UI	Assets/Product/Role/CharaterPrefab/Me1YasibeiersiMd010001.prefab				Assets/Product/Role/Animation/Me1YasibeiersiMd010001/Me1YasibeiersiMd010001/BaseLayer/Stand1.anim	
Mb1MajiyaweiliMd010001UI	Assets/Product/Role/CharaterPrefab/Mb1MajiyaweiliMd010001.prefab				Assets/Product/Role/Animation/Mb1MajiyaweiliMd010001/Mb1MajiyaweiliMd010001/BaseLayer/Stand1.anim	
Mb1MajiyaweiliMd010002UI	Assets/Product/Role/CharaterPrefab/Mb1MajiyaweiliMd010002.prefab				Assets/Product/Role/Animation/Mb1MajiyaweiliMd010002/Mb1MajiyaweiliMd010002/BaseLayer/Stand1.anim	
Mo1HaiqiaoMd010001UI	Assets/Product/Role/CharaterPrefab/Mo1HaiqiaoMd010001.prefab				Assets/Product/Role/Animation/Mo1HaiqiaoMd010001/Mo1HaiqiaoMd010001/BaseLayer/Stand2.anim	
Me1UnknownMd010001UI	Assets/Product/Role/CharaterPrefab/Me1UnknownMd010001.prefab				Assets/Product/Role/Animation/Me1UnknownMd010001/Me1UnknownMd010001/BaseLayer/Stand1.anim	
Mb1SirenMd010001UI	Assets/Product/Role/CharaterPrefab/Mb1SirenMd010001.prefab				Assets/Product/Role/Animation/Mb1SirenMd010001/Mb1SirenMd010001/BaseLayer/Stand1.anim	
Mb1SirenMd010002UI	Assets/Product/Role/CharaterPrefab/Mb1SirenMd010002.prefab				Assets/Product/Role/Animation/Mb1SirenMd010002/Mb1SirenMd010002/BaseLayer/Stand1.anim	
