Id	ModelPath	LowModelPath	ControllerPath	DisplayControllerPath	UiDefaultAnimationPath
E2BoomerangMd010011	Assets/Product/Role/CharaterPrefab/E2BoomerangMd010011.prefab		Assets/Product/Role/Animation/E2BoomerangMd010011/E2BoomerangMd010011/E2BoomerangMd010011.controller		
E2BoomerangMd020011	Assets/Product/Role/CharaterPrefab/E2BoomerangMd020011.prefab		Assets/Product/Role/Animation/E2BoomerangMd020011/E2BoomerangMd020011/E2BoomerangMd020011.controller		
E3BoomerangMd020011	Assets/Product/Role/CharaterPrefab/E3BoomerangMd020011.prefab		Assets/Product/Role/Animation/E3BoomerangMd020011/E3BoomerangMd020011/E3BoomerangMd020011.controller		
E3BoomerangMd030011	Assets/Product/Role/CharaterPrefab/E3BoomerangMd030011.prefab		Assets/Product/Role/Animation/E3BoomerangMd030011/E3BoomerangMd030011/E3BoomerangMd030011.controller		
Mb1AolajiangMd010001	Assets/Product/Role/CharaterPrefab/Mb1AolajiangMd010001.prefab		Assets/Product/Role/Animation/Mb1AolajiangMd010001/Mb1AolajiangMd010001/Mb1AolajiangMd010001.controller		Assets/Product/Role/Animation/Mb1AolajiangMd010001/Mb1AolajiangMd010001Display/UiStand1.anim
Mb1AolajiangMd010002	Assets/Product/Role/CharaterPrefab/Mb1AolajiangMd010002.prefab		Assets/Product/Role/Animation/Mb1AolajiangMd010002/Mb1AolajiangMd010002/Mb1AolajiangMd010002.controller		Assets/Product/Role/Animation/Mb1AolajiangMd010002/Mb1AolajiangMd010002Display/UiStand1.anim
Mb1BaiyangnvMd010001	Assets/Product/Role/CharaterPrefab/Mb1BaiyangnvMd010001.prefab		Assets/Product/Role/Animation/Mb1BaiyangnvMd010001/Mb1BaiyangnvMd010001/Mb1BaiyangnvMd010001.controller	Assets/Product/Role/Animation/Mb1BaiyangnvMd010001/Mb1BaiyangnvMd010001Display/Mb1BaiyangnvMd010001Display.controller	Assets/Product/Role/Animation/Mb1BaiyangnvMd010001/Mb1BaiyangnvMd010001Display/UiStand1.anim
Mb1BaodongchibangMd000001	Assets/Product/Role/CharaterPrefab/Mb1BaodongchibangMd000001.prefab		Assets/Product/Role/Animation/Mb1BaodongchibangMd000001/Mb1BaodongchibangMd000001/Mb1BaodongchibangMd000001.controller		
Mb1BraveMd010011	Assets/Product/Role/CharaterPrefab/Mb1BraveMd010011.prefab		Assets/Product/Role/Animation/Mb1BraveMd010011/Mb1BraveMd010011/Mb1BraveMd010011.controller		Assets/Product/Role/Animation/Mb1BraveMd010011/Mb1BraveMd010011Display/UiStand1.anim
Mb1CubebaifangkuaiMd000001	Assets/Product/Role/CharaterPrefab/Mb1CubebaifangkuaiMd000001.prefab				
Mb1CubedizuoMd000001	Assets/Product/Role/CharaterPrefab/Mb1CubedizuoMd000001.prefab		Assets/Product/Role/Animation/Mb1CubedizuoMd000001/Mb1CubedizuoMd000001/Mb1CubedizuoMd000001.controller		
Mb1CubejiaoMd000001	Assets/Product/Role/CharaterPrefab/Mb1CubejiaoMd000001.prefab		Assets/Product/Role/Animation/Mb1CubejiaoMd000001/Mb1CubejiaoMd000001/Mb1CubejiaoMd000001.controller		Assets/Product/Role/Animation/Mb1CubejiaoMd000001/Mb1CubejiaoMd000001Display/UiStand1.anim
Mb1CubeMd020001	Assets/Product/Role/CharaterPrefab/Mb1CubeMd020001.prefab		Assets/Product/Role/Animation/Mb1CubeMd020001/Mb1CubeMd020001/Mb1CubeMd020001.controller		
Mb1CubeMd050001	Assets/Product/Role/CharaterPrefab/Mb1CubeMd050001.prefab		Assets/Product/Role/Animation/Mb1CubeMd050001/Mb1CubeMd050001/Mb1CubeMd050001.controller		Assets/Product/Role/Animation/Mb1CubeMd050001/Mb1CubeMd050001Display/UiStand1.anim
Mb1CubeMd060001	Assets/Product/Role/CharaterPrefab/Mb1CubeMd060001.prefab		Assets/Product/Role/Animation/Mb1CubeMd060001/Mb1CubeMd060001/Mb1CubeMd060001.controller		
Mb1FangjianbeiMd000001	Assets/Product/Role/CharaterPrefab/Mb1FangjianbeiMd000001.prefab		Assets/Product/Role/Animation/Mb1FangjianbeiMd000001/Mb1FangjianbeiMd000001/Mb1FangjianbeiMd000001.controller		
Mb1HadisiMd010001	Assets/Product/Role/CharaterPrefab/Mb1HadisiMd010001.prefab		Assets/Product/Role/Animation/Mb1HadisiMd010001/Mb1HadisiMd010001/Mb1HadisiMd010001.controller		
Mb1HadisiweaponMd010001	Assets/Product/Role/CharaterPrefab/Mb1HadisiweaponMd010001.prefab		Assets/Product/Role/Animation/Mb1HadisiweaponMd010001/Mb1HadisiweaponMd010001/Mb1HadisiweaponMd010001.controller		
Mb1HamuleitehaiMd010001	Assets/Product/Role/CharaterPrefab/Mb1HamuleitehaiMd010001.prefab		Assets/Product/Role/Animation/Mb1HamuleitehaiMd010001/Mb1HamuleitehaiMd010001/Mb1HamuleitehaiMd010001.controller		
Mb1HamuleiteMd010001	Assets/Product/Role/CharaterPrefab/Mb1HamuleiteMd010001.prefab		Assets/Product/Role/Animation/Mb1HamuleiteMd010001/Mb1HamuleiteMd010001/Mb1HamuleiteMd010001.controller		
Mb1HamuleiteMd010001chuan	Assets/Product/Role/CharaterPrefab/Mb1HamuleiteMd010001chuan.prefab		Assets/Product/Role/Animation/Mb1HamuleiteMd010001chuan/Mb1HamuleiteMd010001chuan/Mb1HamuleiteMd010001chuan.controller		
Mb1HamuleiteMd010001hand	Assets/Product/Role/CharaterPrefab/Mb1HamuleiteMd010001hand.prefab		Assets/Product/Role/Animation/Mb1HamuleiteMd010001hand/Mb1HamuleiteMd010001hand/Mb1HamuleiteMd010001hand.controller		
Mb1Hamuleitemubu01Md010001	Assets/Product/Role/CharaterPrefab/Mb1Hamuleitemubu01Md010001.prefab		Assets/Product/Role/Animation/Mb1Hamuleitemubu01Md010001/Mb1Hamuleitemubu01Md010001/Mb1Hamuleitemubu01Md010001.controller		
Mb1HuoshachairMd010001	Assets/Product/Role/CharaterPrefab/Mb1HuoshachairMd010001.prefab				
Mb1HuoshaMd010001	Assets/Product/Role/CharaterPrefab/Mb1HuoshaMd010001.prefab		Assets/Product/Role/Animation/Mb1HuoshaMd010001/Mb1HuoshaMd010001/Mb1HuoshaMd010001.controller		
Mb1HuoshatailMd010002	Assets/Product/Role/CharaterPrefab/Mb1HuoshatailMd010002.prefab		Assets/Product/Role/Animation/Mb1HuoshatailMd010002/Mb1HuoshatailMd010002/Mb1HuoshatailMd010002.controller		
Mb1ImoutoMd010001	Assets/Product/Role/CharaterPrefab/Mb1ImoutoMd010001.prefab		Assets/Product/Role/Animation/Mb1ImoutoMd010001/Mb1ImoutoMd010001/Mb1ImoutoMd010001.controller		
Mb1JiabailieMd000001	Assets/Product/Role/CharaterPrefab/Mb1JiabailieMd000001.prefab		Assets/Product/Role/Animation/Mb1JiabailieMd000001/Mb1JiabailieMd000001/Mb1JiabailieMd000001.controller		Assets/Product/Role/Animation/Mb1JiabailieMd000001/Mb1JiabailieMd000001Display/UiStand1.anim
Mb1JiabailieMd000002	Assets/Product/Role/CharaterPrefab/Mb1JiabailieMd000002.prefab		Assets/Product/Role/Animation/Mb1JiabailieMd000002/Mb1JiabailieMd000002/Mb1JiabailieMd000002.controller		Assets/Product/Role/Animation/Mb1JiabailieMd000002/Mb1JiabailieMd000002Display/UiStand1.anim
Mb1LadybabyMd10001	Assets/Product/Role/CharaterPrefab/Mb1LadybabyMd10001.prefab		Assets/Product/Role/Animation/Mb1LadybabyMd10001/Mb1LadybabyMd10001/Mb1LadybabyMd10001.controller	Assets/Product/Role/Animation/Mb1LadybabyMd10001/Mb1LadybabyMd10001Display/Mb1LadybabyMd10001Display.controller	Assets/Product/Role/Animation/Mb1LadybabyMd10001/Mb1LadybabyMd10001Display/UiStand1.anim
Mb1LadyMd10001	Assets/Product/Role/CharaterPrefab/Mb1LadyMd10001.prefab		Assets/Product/Role/Animation/Mb1LadyMd10001/Mb1LadyMd10001/Mb1LadyMd10001.controller	Assets/Product/Role/Animation/Mb1LadyMd10001/Mb1LadyMd10001Display/Mb1LadyMd10001Display.controller	Assets/Product/Role/Animation/Mb1LadyMd10001/Mb1LadyMd10001Display/UiStand1.anim
Mb1LamiyaMd010001	Assets/Product/Role/CharaterPrefab/Mb1LamiyaMd010001.prefab		Assets/Product/Role/Animation/Mb1LamiyaMd010001/Mb1LamiyaMd010001/Mb1LamiyaMd010001.controller		
Mb1LamiyaMd010002	Assets/Product/Role/CharaterPrefab/Mb1LamiyaMd010002.prefab		Assets/Product/Role/Animation/Mb1LamiyaMd010002/Mb1LamiyaMd010002/Mb1LamiyaMd010002.controller		
Mb1LostbiankaMd010001	Assets/Product/Role/CharaterPrefab/Mb1LostbiankaMd010001.prefab		Assets/Product/Role/Animation/Mb1LostbiankaMd010001/Mb1LostbiankaMd010001/Mb1LostbiankaMd010001.controller		
Mb1LostwomenMd010001	Assets/Product/Role/CharaterPrefab/Mb1LostwomenMd010001.prefab		Assets/Product/Role/Animation/Mb1LostwomenMd010001/Mb1LostwomenMd010001/Mb1LostwomenMd010001.controller		
Mb1LunaMd010001	Assets/Product/Role/CharaterPrefab/Mb1LunaMd010001.prefab		Assets/Product/Role/Animation/Mb1LunaMd010001/Mb1LunaMd010001/Mb1LunaMd010001.controller		
Mb1LuolanMd010001	Assets/Product/Role/CharaterPrefab/Mb1LuolanMd010001.prefab		Assets/Product/Role/Animation/Mb1LuolanMd010001/Mb1LuolanMd010001/Mb1LuolanMd010001.controller		Assets/Product/Role/Animation/Mb1LuolanMd010001/Mb1LuolanMd010001Display/UiStand1.anim
