Id	Type	GoodsId[1]	GoodsId[2]	GoodsId[3]	GoodsId[4]
101	2				
301	2	2016001	2015001		
302	2	2026001	2025001		
303	2	2026002	2025001		
304	2	2036001	2035001		
305	2	2036002	2035001		
306	2	2036003	2035001		
307	2	2046001	2045001		
308	2	2056001	2055001		
309	2	2066001	2065001		
310	2	2066002	2065001		
311	2	2076001	2075001		
312	2	2086001	2085001		
313	2	2016002	2015001		
314	2	2076002	2075001		
315	2	2056002	2055001		
316	2	2026004	2025001		
317	2	2086002	2085001		
318	2	2096001	2095001		
319	2	2046002	2045001		
320	2	2016003	2015001		
321	2	2096002	2095001		
322	2	2026005	2025001		
323	2	2106001	2105001		
324	2	2026006	2025001		
325	2	2116001	2115001		
326	2	2136001	2135001		
327	2	2146001	2145001		
328	2	2176001	2175001		
329	2	2196001	2195001		
330	2	2186001	2185001		
331	2	2206001	2205001		
332	2	2216001	2215001		
333	2	2236001	2235001		
334	2	2226001	2225001		
335	2	2246001	2245001		
336	2	2256001	2255001		
337	2	2266001	2265001		
338	2	2276001	2275001		
339	2	2096003	2095001		
340	2	2286001	2285001		
341	2	2296001	2295001		
342	2	2306001	2305001		
343	2	2316001	2315001		
344	2	2326001	2325001		
345	2	2336001	2335001		
1006	3	2046002	2045001		
1002	3	1021003			
1001	3	2026004	2025001		
1003	3	1051003			
1004	3	1011003			
1005	3	1031003			
2000	3	1031003			
2010	3	1021003			
1017	3	1061003			
1018	3	1071003			
1019	3	1051003			
1020	3	1011003			
1021	3	1031003			
1022	3	1061003			
1023	3	1071003			
1024	3	1021003			
1025	3	1041003			
1026	3	1051003			
1027	3	1011003			
1028	3	1031003			
1029	3	1061003			
1030	2	1061003			
1031	2	1071003			
1032	2	1021003			
1033	2	1051003			
1034	2	1011003			
1035	2	1031003			
1036	3	1021004			
1037	2	1041003			
1038	2	1061003			
1039	2	1051003			
1040	2	1031003			
1041	2	1071003			
1042	2	1041003			
1043	2	1021003			
1044	2	1011003			
1045	2	1021004			
1046	2	1061003			
1047	2	1071003			
1048	2	1041003			
1049	3	1141003			
1050	2	1051003			
1051	2	1011003			
1052	2	1021003			
1053	2	1061003			
1054	2	1071003			
1055	2	1031003			
1056	2	1041003			
1057	2	1061003			
1058	2	1011003			
1059	2	1051003			
1060	3	1171003			
1061	2	1021003			
1062	2	1071003			
1063	2	1021004			
1064	2	1031003			
1065	2	1141003			
1066	2	1041003			
1067	2	1171003			
1068	2	1061003			
1069	2	1071003			
1070	2	1051003			
1071	2	1021003			
1072	2	1031003			
1073	3	1121003			
1074	2	1021004			
1075	2	1061003			
1076	2	1041003			
1077	2	1011003			
1078	2	1171003			
1079	2	1051003			
1080	2	1141003			
1081	2	1071003			
1082	2	1041003			
1083	2	1031003			
1084	2	1021003			
1085	2	1021004			
1086	3	1131003			
1087	2	1011003			
1088	2	1121003			
1089	2	1051003			
1090	2	1141003			
1091	2	1041003			
1092	2	1061003			
1093	2	1171003			
1094	2	1071003			
1095	2	1021004			
1096	2	1031003			
1097	2	1021003			
1098	2	1121003			
1099	2	1011003			
1100	2	1141003			
