Id	Type	ModelId	ScenePath	UiModelPath	ModelPosition	ModelRotation	ModelScale	IsHideWeapon
201	2	2016002	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-1.07|0.05|-27.96	0|0|0	1|1|1	
301	2	2016001	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-1.07|0.05|-27.96	0|0|0	1|1|1	
302	2	2026001	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.548|0.1|-28.93	0|0|0	1|1|1	
303	2	2026002	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.548|0.1|-28.93	0|0|0	1|1|1	
304	2	2036001	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.401|0.159|-28.716	0|0|0	1|1|1	
305	2	2036002	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.401|0.159|-28.716	0|0|0	1|1|1	
306	2	2036003	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.401|0.159|-28.716	0|0|0	1|1|1	
307	2	2046001	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.106|0.256|-29.068	0|0|0	1|1|1	
308	2	2056001	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.38|0.22|-28.54	0|0|0	1|1|1	
309	2	2066001	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.13|0.219|-29.88	0|0|0	1|1|1	
310	2	2066002	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.13|0.219|-29.88	0|0|0	1|1|1	
311	2	2076001	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	0.06|0.299|-30.297	0|0|0	1|1|1	
312	2	2086001	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-0.71|0.05|-28.363	0|0|0	1|1|1	
313	2	2016002	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	-1.07|0.05|-27.96	0|0|0	1|1|1	
314	2	2076002	Assets/Product/Ui/Scene3DPrefab/UiMain3dWuqi.prefab	Assets/Product/Ui/UiModel/UiNewDrawMain/UiNewDrawMainArms.prefab	0.06|0.299|-30.297	0|0|0	1|1|1	
