Type	TypeText	QualityText[1]	QualityText[2]	QualityText[3]	QualityText[4]	QualityText[5]	QualityText[6]	UiAnim	UiResultAnim	DrawEffectGroupId[1]	DrawEffectGroupId[2]	DrawEffectGroupId[3]	DrawEffectGroupId[4]	DrawEffectGroupId[5]	DrawEffectGroupId[6]	GachaEffectGroupId[1]	GachaEffectGroupId[2]	GachaEffectGroupId[3]	GachaEffectGroupId[4]	GachaEffectGroupId[5]	GachaEffectGroupId[6]	DrawPictureGroupId[1]	DrawPictureGroupId[2]	DrawPictureGroupId[3]	DrawPictureGroupId[4]	DrawPictureGroupId[5]	DrawPictureGroupId[6]
0	Item	1★	<color=#a2e39b>2★</color>	<color=#4dbdff>3★</color>	<color=#d580ff>4★</color>	<color=#ffd953>5★</color>	<color=#fa5826>Red</color>	PropShowBegan	PropShowLoop	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6
1	Members	<color=#d580ff>B</color>	<color=#ffd953>A-Rank</color>	<color=#fa5826>S-Rank</color>	<color=#fa5826>SS-Rank</color>	<color=#fa5826>SSS-Rank</color>	<color=#fa5826>SSS-Rank</color>	RoleShowBegan	RoleShowLoop	5	5	6	6	6	6	11	11	12	12	12	12	5	5	6	6	6	6
2	Weapon	★	<color=#a2e39b>★★</color>	<color=#4dbdff>★★★</color>	<color=#d580ff>★★★★</color>	<color=#ffd953>★★★★★</color>	<color=#fa5826>★★★★★★</color>	EquipShowBegan	EquipShowLoop	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6
3	Memory	★	<color=#a2e39b>★★</color>	<color=#4dbdff>★★★</color>	<color=#d580ff>★★★★</color>	<color=#ffd953>★★★★★</color>	<color=#fa5826>★★★★★★</color>	AwakeShowBegan	AwakeShowLoop	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6
6	Coating	★	<color=#a2e39b>★★</color>	<color=#4dbdff>★★★</color>	<color=#d580ff>★★★★</color>	<color=#ffd953>★★★★★</color>	<color=#fa5826>★★★★★★</color>	RoleShowBegan	RoleShowLoop	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6
7	HQ Facility	1★	<color=#a2e39b>2★</color>	<color=#4dbdff>3★</color>	<color=#d580ff>4★</color>	<color=#ffd953>5★</color>	<color=#fa5826>Red</color>	PropShowBegan	PropShowLoop	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6
8	Decor	1★	<color=#a2e39b>2★</color>	<color=#4dbdff>3★</color>	<color=#d580ff>4★</color>	<color=#ffd953>5★</color>	<color=#fa5826>Red</color>	PropShowBegan	PropShowLoop	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6
9	Portrait	1★	<color=#a2e39b>2★</color>	<color=#4dbdff>3★</color>	<color=#d580ff>4★</color>	<color=#ffd953>5★</color>	<color=#fa5826>Red</color>	PropShowBegan	PropShowLoop	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6
12	Weapon Coating	★	<color=#a2e39b>★★</color>	<color=#4dbdff>★★★</color>	<color=#d580ff>★★★★</color>	<color=#ffd953>★★★★★</color>	<color=#fa5826>★★★★★★</color>	EquipShowBegan	EquipShowLoop	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6
16	CUB	<color=#d580ff>B</color>	<color=#ffd953>A-Rank</color>	<color=#fa5826>S-Rank</color>	<color=#fa5826>SS-Rank</color>	<color=#fa5826>SSS-Rank</color>	<color=#fa5826>SSS-Rank</color>	PartnerShowBegan	PartnerShowLoop	5	5	6	6	6	6	7	8	9	10	11	12	5	5	6	6	6	6
