Id	UpGoodsId[1]	UpGoodsId[2]	UpGoodsId[3]	UpGoodsId[4]	UpGoodsId[5]	UpGoodsId[6]	UpGoodsId[7]	UpGoodsId[8]	UpGoodsId[9]	UpGoodsId[10]	UpGoodsId[11]	UpGoodsId[12]	GoodsId[1]	GoodsId[2]	GoodsId[3]	GoodsId[4]	GoodsId[5]	GoodsId[6]	GoodsId[7]	GoodsId[8]	GoodsId[9]	GoodsId[10]	GoodsId[11]	GoodsId[12]	GoodsId[13]	GoodsId[14]	GoodsId[15]	GoodsId[16]	GoodsId[17]	GoodsId[18]	GoodsId[19]	GoodsId[20]	GoodsId[21]	GoodsId[22]	GoodsId[23]	GoodsId[24]	GoodsId[25]	GoodsId[26]	GoodsId[27]	GoodsId[28]	GoodsId[29]	GoodsId[30]	GoodsId[31]	GoodsId[32]	GoodsId[33]	GoodsId[34]	GoodsId[35]	GoodsId[36]	GoodsId[37]	GoodsId[38]	GoodsId[39]	GoodsId[40]	GoodsId[41]	GoodsId[42]	GoodsId[43]	GoodsId[44]	GoodsId[45]	GoodsId[46]	GoodsId[47]	GoodsId[48]	GoodsId[49]	GoodsId[50]	GoodsId[51]	GoodsId[52]	GoodsId[53]	GoodsId[54]	GoodsId[55]	GoodsId[56]	GoodsId[57]	GoodsId[58]	GoodsId[59]	GoodsId[60]	GoodsId[61]	GoodsId[62]	GoodsId[63]	GoodsId[64]	GoodsId[65]	GoodsId[66]
101													1061003	1031003	1011003	1071003	1051003	1021003	1041003	1021004	1141003	1171003	1121003	1131003	1031004	1531004	1051004	1071004	1041004	1011002	1041002	1071002	1081002	1021002	1031002	1061002	1081003	1091002	1111002	1121002	1131002	1161002	1211002	1221002	1231002	1021001	1031001	1051001																														
201													2016001	2016002	2026001	2026002	2026003	2036001	2036002	2036003	2046001	2056001	2056002	2066001	2066002	2076001	2076002	2086001	2026004	2086002	2096001	2046002	2016003	2096002	2026005	2106001	2026006	2116001	2136001	2146001	2176001	2186001	2196001	2206001	2216001	2236001	2226001	2246001	2256001	2266001	2276001	2096003	2286001	2296001	2306001	2316001	2326001	2336001																				
211													3016001	3016002	3016003	3016004	3016005	3016006	3016007	3016008	3016009	3016010	3016011	3026001	3026002	3026003	3026004	3026005	3026006	3026007	3026008	3026009	3026010	3026011	3036001	3036002	3036003	3036004	3036005	3036006	3036007	3036008	3036009	3036010	3036011	3046001	3046002	3046003	3046004	3046005	3046006	3046007	3046008	3046009	3046010	3046011	3056001	3056002	3056003	3056004	3056005	3056006	3056007	3056008	3056009	3056010	3056011	3066001	3066002	3066003	3066004	3066005	3066006	3066007	3066008	3066009	3066010	3066011
301	2016001	2015001											2076001	2036002	2075001	2035001																																																														
302	2026001	2025001											2086001	2066002	2085001	2065001																																																														
303	2026002	2025001											2056001	2066001	2055001	2065001																																																														
304	2036001	2035001											2046001	2076001	2045001	2075001																																																														
305	2036002	2035001											2016001	2026001	2015001	2025001																																																														
306	2036003	2035001											2066001	2046001	2065001	2045001																																																														
307	2046001	2045001											2026001	2086001	2025001	2085001																																																														
308	2056001	2055001											2026002	2086001	2025001	2085001																																																														
309	2066001	2065001											2036001	2016001	2035001	2015001																																																														
310	2066002	2065001											2036002	2056001	2035001	2055001																																																														
311	2076001	2075001											2036003	2026002	2035001	2025001																																																														
312	2086001	2085001											2066002	2036001	2065001	2035001																																																														
313	2016002	2015001											2076001	2036002	2075001	2035001																																																														
314	2076002	2075001											2036003	2026002	2035001	2025001																																																														
315	2056002	2055001											2066002	2086001	2065001	2085001																																																														
316	2026004	2025001											2016001	2036001	2015001	2035001																																																														
317	2086002	2085001											2076002	2056002	2075001	2055001																																																														
318	2096001	2095001											2066001	2046001	2065001	2045001																																																														
319	2046002	2045001											2076002	2096001	2075001	2095001																																																														
320	2016003	2015001											2056002	2026004	2055001	2025001																																																														
321	2096002	2095001											2086002	2016003	2085001	2015001																																																														
322	2026005	2025001											2056002	2076002	2055001	2075001																																																														
