Id	DrawId	IsUp	Name	Type	ProbShow	Sort
1	101		S-Rank Omniframe (including guaranteed)		1.90%	1
2	101		S-Rank Omniframe (base drop)		0.50%	2
3	101		B, A-Rank Omniframe		13.95%	3
4	101		Construct shard		22.11%	4
5	101		4★ equipment		28.39%	5
6	101		Overclock material		14.42%	6
7	101		EXP material		4.81%	7
8	101		Cog Box		14.42%	8
9	201		6★ weapons		5.00%	1
10	201		5★ weapons		15.00%	2
11	201		4★ weapons		33.40%	3
12	201		3★ weapons		27.90%	4
13	201		Cog Box		9.35%	5
14	201		Overclock material		9.35%	6
15	211		6★ Memory		5.00%	1
16	211		5★ Memory		15.00%	2
17	211		4★ Memory		34.00%	3
18	211		3★ Memory		38.50%	4
19	211		Cog Box		7.50%	5
20	301	1	[6★] Wolf Fang		4.00%	1
21	301	1	[5★] Gloomlight		12.00%	2
22	301		[6★] Berserk Fusion		0.50%	3
23	301		[6★] Benediction		0.50%	4
24	301		[5★] Magma Pillar		1.50%	5
25	301		[5★] Guardian Mount		1.50%	6
26	301		4★ weapons		33.40%	7
27	301		3★ weapons		27.90%	8
28	301		Cog Box		9.35%	9
29	301		Overclock material		9.35%	10
30	302	1	[6★] Lotus Berserker		4.00%	1
31	302	1	[5★] Kuji no Sada		12.00%	2
32	302		[6★] Soul Ripper		0.50%	3
33	302		[6★] Darkness		0.50%	4
34	302		[5★] Stone Heart		1.50%	5
35	302		[5★] Dynamo Greatsword		1.50%	6
36	302		4★ weapons		33.40%	7
37	302		3★ weapons		27.90%	8
38	302		Cog Box		9.35%	9
39	302		Overclock material		9.35%	10
40	303	1	[6★] Inverse - Shadow		4.00%	1
41	303	1	[5★] Kuji no Sada		12.00%	2
42	303		[6★] Inverse - Chimera		0.50%	3
43	303		[6★] Big Kamui		0.50%	4
44	303		[5★] Lightning Spark		1.50%	5
45	303		[5★] Dynamo Greatsword		1.50%	6
46	303		4★ weapons		33.40%	7
47	303		3★ weapons		27.90%	8
48	303		Cog Box		9.35%	9
49	303		Overclock material		9.35%	10
50	304	1	[6★] Type Zero		4.00%	1
51	304	1	[5★] Guardian Mount		12.00%	2
52	304		[6★] Ramiel		0.50%	3
53	304		[6★] Berserk Fusion		0.50%	4
54	304		[5★] Falcon E-3320		1.50%	5
55	304		[5★] Magma Pillar		1.50%	6
56	304		4★ weapons		33.40%	7
57	304		3★ weapons		27.90%	8
58	304		Cog Box		9.35%	9
59	304		Overclock material		9.35%	10
60	305	1	[6★] Benediction		4.00%	1
61	305	1	[5★] Guardian Mount		12.00%	2
62	305		[6★] Wolf Fang		0.50%	3
63	305		[6★] Lotus Berserker		0.50%	4
64	305		[5★] Gloomlight		1.50%	5
65	305		[5★] Kuji no Sada		1.50%	6
66	305		4★ weapons		33.40%	7
67	305		3★ weapons		27.90%	8
68	305		Cog Box		9.35%	9
69	305		Overclock material		9.35%	10
70	306	1	[6★] Dragon Wind		4.00%	1
71	306	1	[5★] Guardian Mount		12.00%	2
72	306		[6★] Big Kamui		0.50%	3
73	306		[6★] Ramiel		0.50%	4
74	306		[5★] Dynamo Greatsword		1.50%	5
75	306		[5★] Falcon E-3320		1.50%	6
76	306		4★ weapons		33.40%	7
77	306		3★ weapons		27.90%	8
78	306		Cog Box		9.35%	9
79	306		Overclock material		9.35%	10
80	307	1	[6★] Ramiel		4.00%	1
81	307	1	[5★] Falcon E-3320		12.00%	2
82	307		[6★] Lotus Berserker		0.50%	3
83	307		[6★] Soul Ripper		0.50%	4
84	307		[5★] Kuji no Sada		1.50%	5
85	307		[5★] Stone Heart		1.50%	6
86	307		4★ weapons		33.40%	7
87	307		3★ weapons		27.90%	8
88	307		Cog Box		9.35%	9
89	307		Overclock material		9.35%	10
90	308	1	[6★] Inverse - Chimera		4.00%	1
91	308	1	[5★] Lightning Spark		12.00%	2
92	308		[6★] Inverse - Shadow		0.50%	3
93	308		[6★] Soul Ripper		0.50%	4
94	308		[5★] Kuji no Sada		1.50%	5
95	308		[5★] Stone Heart		1.50%	6
96	308		4★ weapons		33.40%	7
97	308		3★ weapons		27.90%	8
98	308		Cog Box		9.35%	9
99	308		Overclock material		9.35%	10
100	309	1	[6 ★] Big Kamui		4.00%	1
101	309	1	[5★] Dynamo Greatsword		12.00%	2
102	309		[6★] Type Zero		0.50%	3
103	309		[6★] Wolf Fang		0.50%	4
104	309		[5★] Guardian Mount		1.50%	5
105	309		[5★] Gloomlight		1.50%	6
106	309		4★ weapons		33.40%	7
107	309		3★ weapons		27.90%	8
108	309		Cog Box		9.35%	9
109	309		Overclock material		9.35%	10
110	310	1	[6★] Darkness		4.00%	1
111	310	1	[5★] Dynamo Greatsword		12.00%	2
112	310		[6★] Benediction		0.50%	3
113	310		[6★] Inverse - Chimera		0.50%	4
114	310		[5★] Guardian Mount		1.50%	5
115	310		[5★] Lightning Spark		1.50%	6
116	310		4★ weapons		33.40%	7
117	310		3★ weapons		27.90%	8
118	310		Cog Box		9.35%	9
119	310		Overclock material		9.35%	10
120	311	1	[6★] Berserk Fusion		4.00%	1
121	311	1	[5★] Magma Pillar		12.00%	2
122	311		[6★] Dragon Wind		0.50%	3
123	311		[6★] Inverse - Shadow		0.50%	4
124	311		[5★] Guardian Mount		1.50%	5
125	311		[5★] Kuji no Sada		1.50%	6
126	311		4★ weapons		33.40%	7
127	311		3★ weapons		27.90%	8
128	311		Cog Box		9.35%	9
129	311		Overclock material		9.35%	10
130	312	1	[6★] Soul Ripper		4.00%	1
131	312	1	[5★] Stone Heart		12.00%	2
132	312		[6★] Darkness		0.50%	3
133	312		[6★] Type Zero		0.50%	4
134	312		[5★] Dynamo Greatsword		1.50%	5
135	312		[5★] Guardian Mount		1.50%	6
136	312		4★ weapons		33.40%	7
137	312		3★ weapons		27.90%	8
138	312		Cog Box		9.35%	9
139	312		Overclock material		9.35%	10
140	313	1	[6★] Zero Scale		4.00%	1
141	313	1	[5★] Gloomlight		12.00%	2
142	313		[6★] Berserk Fusion		0.50%	3
143	313		[6★] Benediction		0.50%	4
144	313		[5★] Magma Pillar		1.50%	5
145	313		[5★] Guardian Mount		1.50%	6
146	313		4★ weapons		33.40%	7
