Id	TitleCN	TitleEN	RareRank	GroupBtnBg	MainRules[1]	MainRules[2]	MainRules[3]	MainRules[4]	BaseRuleTitles[1]	BaseRuleTitles[2]	BaseRuleTitles[3]	BaseRuleTitles[4]	BaseRuleTitles[5]	BaseRuleTitles[6]	BaseRules[1]	BaseRules[2]	BaseRules[3]	BaseRules[4]	BaseRules[5]	BaseRules[6]	EventRuleTitles[1]	EventRuleTitles[2]	EventRuleTitles[3]	EventRules[1]	EventRules[2]	EventRules[3]	UpType	UpQuality	UpProbability	BottomText	NewHandBottomCount	SpecialBottomMin	SpecialBottomMax	DrawBottomHint
1	Member Target	Standard Mode	1		Guaranteed A-Rank or above Omniframe every 10 attempts	Guaranteed S-Rank Omniframe every 60 attempts			Basic Mode	Targeted Mode	New Constructs arrive	Instructions			Random A-Rank or above character is guaranteed every 10 research attempts in Basic Mode.	In Targeted Mode where you can select a character, an A-Rank or above Omniframe is guaranteed every 10 research attempts. You will have a better chance of getting the selected A-Rank Omniframe when you get an A-Rank Omniframe.	Please check the relevant announcements for the implementation schedule of new A-Rank characters into Targeted Mode.	In the targeted Construct pool, the guarantee value of A-Rank and S-Rank Constructs will not be affected when you change your selected Construct, which means the guarantee progress is inherited.										<color=#fee82a>Aクラス</color>	<color=#fee82a>50%</color>	Guaranteed S	40			
2	Weapon Research	Standard Mode			Guaranteed 5★ or above Weapon for every 10 attempts.	Guaranteed 6★ Weapon every 30 attempts			10 Attempts 5★ Guaranteed	30 Attempts 6★ Guaranteed					Guaranteed to receive 5★ or above Weapon for every 10 research attempts.	Guaranteed to receive 6★ Weapon for every 30 research attempts.														Guaranteed 6★				
4	Target Weapon Research	Optional Mode			Choose any set (80% chance to receive the chosen 6★ Weapon when getting a 6★ Weapon)	Guaranteed 5★ or above Weapon for every 10 attempts.	Guaranteed 6★ Weapon every 30 attempts		Custom Set	Target Mode Rules					Choose a Weapon Set for your research. The chosen set will get an increased chance to receive. 	In Target Mode, the chance of chosen Weapon set will increase greatly.														Guaranteed 6★				
6	Dormitory Research	Standard Mode			Guaranteed Coating Blueprint Sketch every 10 attempts.				Research Outcome	Research Notes					May drop Decor, Blueprints, Coating Sketches, and Residence Permits.	New Decors are not added to the pool yet.												<color=#fee82a>6★</color>	<color=#fee82a>80%</color>	Guaranteed				
10	Themed Target Weapon	Standard Mode			100% to receive 5★ or above Weapon for every 10 research attempts.	100% to receive 6★ or above Weapon for every 30 research attempts.			10 rounds for 5★ Weapon guarantee	30 rounds for 6★ Weapon guarantee					100% to receive 5★ or above Weapon for every 10 research attempts.	100% to receive 6★ or above Weapon for every 30 research attempts.					In 6★ Chance			If a 6★ Weapon is researched, it has an 80% chance to be the rate-up weapon.			Weapon	<color=#fee82a>6★</color>	<color=#fee82a>80%</color>	Guaranteed 6★				
11	Themed Event Construct	Standard Mode	2		Guaranteed A-Rank or above Omniframe every 10 attempts	Guaranteed S-Rank Omniframe every 60 attempts			10 Attempts A-Rank Guaranteed	60 Attempts S-Rank Guaranteed	Research Pool Inheritance Rules				Guaranteed to receive an A-Rank or above Omniframe for every 10 research attempts.	Guaranteed to receive an S-Rank Omniframe for every 60 research attempts.	The guarantee is inherited between the same type of pools. For example, after an [Arrival Construct Pool] has ended, its guarantee progress will be inherited by the next [Arrival Construct Pool].				In S-Rank Chance			When an S-Rank Omniframe is researched, there is a 100% chance to receive the rate-up Omniframe.			Omniframe	<color=#fee82a>S-Rank</color>	<color=#fee82a>100%</color>	Guaranteed S				
12	Arrival Construct	Standard Mode	2		Guaranteed A-Rank or above Omniframe every 10 attempts	Guaranteed S-Rank Omniframe every 60 attempts			60 Attempts S-Rank Guaranteed	Research Pool Inheritance Rules	Calibration System				In Targeted Mode where you can select a character, an S-Rank or above Omniframe is guaranteed every 60 research attempts. You will have a better chance of getting the selected S-Rank Omniframe when you get an S-Rank Omniframe.	The guarantee is inherited between the same type of pools (Calibration included). For example, after an [Arrival Construct Pool] has ended, its guarantee progress will be inherited by the next [Arrival Construct Pool].	Upon getting an S-Ranked character other than your target character, the Calibration System will trigger and guarantee that your targeted character will be obtained the next time you obtain an S-Ranked character. (Pool inheritance rules apply)				In S-Rank Chance			When an S-Rank Omniframe is researched, there is a 70% chance to receive the rate-up Omniframe.			Omniframe	<color=#fee82a>S-Rank</color>	<color=#fee82a>70%</color>	Guaranteed S				
13	Fate Arrival Construct	Standard Mode	2		1. Guaranteed A-Rank or above Omniframe every 10 attempts	2. Guaranteed S-Rank Omniframe every 80-100 attempts	3. The overall chance is the same as the Arrival Pool.	4. The S-Rank base chance increased	Floating Guarantee	Base rate (Excluding the Guarantee)	Combined Chance (Including the Guarantee)	Research Pool Inheritance Rules	Calibration System		A value will be generated randomly between 80 and 100. For example, if the value is 90, an S-Rank Construct is guaranteed within 90 research attempts. The random guarantee value will be generated again once an S Construct has arrived.	Base S-Rank Omniframe rate is 1.5%. In Targeted Mode where you can select a character, you will have a better chance of getting the selected S-Rank Omniframe when you get an S-Rank Omniframe.	Overall S-Rank Omniframe chance is the same as other pools (1.9%).	The guarantee is inherited between the same type of pools (Calibration included). For example, after an [Arrival Construct Pool] has ended, its guarantee progress will be inherited by the next [Arrival Construct Pool].	Upon getting an S-Ranked character other than your target character, the Calibration System will trigger and guarantee that your targeted character will be obtained the next time you obtain an S-Ranked character. (Pool inheritance rules apply)		In S-Rank Chance			When an S-Rank Omniframe is researched, there is a 70% chance to receive the rate-up Omniframe.			Omniframe	<color=#fee82a>S-Rank</color>	<color=#fee82a>70%</color>	Guaranteed S		80	100	
14	Arrival Event Construct	Standard Mode	2		Guaranteed A-Rank or above Omniframe every 10 attempts	Guaranteed S-Rank or above Omniframe every 60 attempts			10 Attempts A-Rank Guaranteed	60 Attempts S-Rank Guaranteed	Research Pool Inheritance Rules				Guaranteed to receive an A-Rank or above Omniframe for every 10 research attempts.	Guaranteed to receive an S-Rank Omniframe for every 60 research attempts.	The guarantee is inherited between the same type of pools. For example, after an [Arrival Construct Pool] has ended, its guarantee progress will be inherited by the next [Arrival Construct Pool].				In S-Rank Chance			When an S-Rank Omniframe is researched, there is a 70% chance to receive the rate-up Omniframe.			Omniframe	<color=#fee82a>S-Rank</color>	<color=#fee82a>70%</color>	Guaranteed S				
15	Fate Themed Construct	Standard Mode	2		1. Guaranteed A-Rank or above Omniframe every 10 attempts	2. Guaranteed S-Rank Omniframe every 80-100 attempts	3. The overall chance is the same as the Thematic Construct Pool.	4. The S-Rank base chance increased	Floating Guarantee	Base rate (Excluding the Guarantee)	Combined Chance (Including the Guarantee)	Research Pool Inheritance Rules			A value will be generated randomly between 80 and 100. For example, if the value is 90, an S-Rank Construct is guaranteed within 90 research attempts. The random guarantee value will be generated again once an S Construct has arrived.	Base S-Rank Omniframe rate is 1.5%.	Overall S-Rank Omniframe chance is the same as other pools (1.9%).	The guarantee is inherited between the same type of pools. For example, after an [Arrival Construct Pool] has ended, its guarantee progress will be inherited by the next [Arrival Construct Pool].			In S-Rank Chance			When an S-Rank Omniframe is researched, there is a 100% chance to receive the rate-up Omniframe.			Omniframe	<color=#fee82a>S-Rank</color>	<color=#fee82a>100%</color>	Guaranteed S		80	100	
