Id	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
3014006	-177	-84	20	0	0	0	1	1	1
3024006	-177	-84	20	0	0	0	1	1	1
3034006	-177	-84	20	0	0	0	1	1	1
3044006	-177	-84	20	0	0	0	1	1	1
3054006	-177	-84	20	0	0	0	1	1	1
3064006	-177	-84	20	0	0	0	1	1	1
3015009	141	-229	20	0	0	0	1.1	1.1	1.1
3025009	-30	-138	20	0	0	0	0.9	0.9	0.9
3035009	-38	-334	20	0	0	0	1.2	1.2	1.2
3045009	141	-229	20	0	0	0	1.1	1.1	1.1
3055009	-30	-138	20	0	0	0	0.9	0.9	0.9
3065009	-38	-334	20	0	0	0	1.2	1.2	1.2
3014004	-20	-65	20	0	0	0	0.9	0.9	0.9
3024004	-20	-65	20	0	0	0	0.9	0.9	0.9
3034004	-20	-65	20	0	0	0	0.9	0.9	0.9
3044004	-20	-65	20	0	0	0	0.9	0.9	0.9
3054004	-20	-65	20	0	0	0	0.9	0.9	0.9
3064004	-20	-65	20	0	0	0	0.9	0.9	0.9
3014003	0	-211	20	0	0	0	1	1	1
3024003	0	-211	20	0	0	0	1	1	1
3034003	0	-211	20	0	0	0	1	1	1
3044003	0	-211	20	0	0	0	1	1	1
3054003	0	-211	20	0	0	0	1	1	1
3064003	0	-211	20	0	0	0	1	1	1
3014002	-27	-47	20	0	0	0	0.8	0.8	0.8
3024002	-27	-47	20	0	0	0	0.8	0.8	0.8
3034002	-27	-47	20	0	0	0	0.8	0.8	0.8
3044002	-27	-47	20	0	0	0	0.8	0.8	0.8
3054002	-27	-47	20	0	0	0	0.8	0.8	0.8
3064002	-27	-47	20	0	0	0	0.8	0.8	0.8
3014001	-64	-95	20	0	0	0	0.8	0.8	0.8
3024001	-64	-95	20	0	0	0	0.8	0.8	0.8
3034001	-64	-95	20	0	0	0	0.8	0.8	0.8
3044001	-64	-95	20	0	0	0	0.8	0.8	0.8
3054001	-64	-95	20	0	0	0	0.8	0.8	0.8
3064001	-64	-95	20	0	0	0	0.8	0.8	0.8
3013002	-72	-157	20	0	0	0	1	1	1
3023002	-72	-157	20	0	0	0	1	1	1
3033002	-72	-157	20	0	0	0	1	1	1
3043002	-72	-157	20	0	0	0	1	1	1
3053002	-72	-157	20	0	0	0	1	1	1
3063002	-72	-157	20	0	0	0	1	1	1
3013001	47	-235	20	0	0	0	1	1	1
3023001	47	-235	20	0	0	0	1	1	1
3033001	47	-235	20	0	0	0	1	1	1
3043001	47	-235	20	0	0	0	1	1	1
3053001	47	-235	20	0	0	0	1	1	1
3063001	47	-235	20	0	0	0	1	1	1
3012001	-50	-298	20	0	0	0	1.1	1.1	1.1
3022001	-50	-298	20	0	0	0	1.1	1.1	1.1
3032001	-50	-298	20	0	0	0	1.1	1.1	1.1
3042001	-50	-298	20	0	0	0	1.1	1.1	1.1
3052001	-50	-298	20	0	0	0	1.1	1.1	1.1
3062001	-50	-298	20	0	0	0	1.1	1.1	1.1
