Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory85.png																								
2	2		401							1	8																							
3	3		201							1	500029																							
4	4		301			DialogEnable				1	Lucia	Stop... right there...	1																					
5	5		202							1					1																			
6	6		301									Alpha loses interest in Lucia when it is clear that she is no longer in any shape to fight.																						
7	7		301								Derek	——▄——▆▁——▃																						
8	8		201							1	500100																							
9	9		301							1	α	This is your last chance...	1																					
10	10		301								α	I didn't think this would be so difficult...	1																					
11	11		202							1					1																			
12	12		301									Alpha's fingertips are once again charged with her power as an Ascendant, and she aims at the Narwhal's horn...																						
13	13		201							1	500029		-400																					
14	14		201							2	500100		400																					
15	15		301							1	Lucia	No…	1																					
16	16		301								α	Hmm?	2																					
17	17		202							1	2				1																			
18	18		301									Alpha is about to dismiss it as Lucia's last-gasp plea, but as she turns around—																						
19	19		201							1	500214																							
20	20		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab		1																						
21	21		301							1		She sees Rosetta, who is now completely corrupted and under the control of the Punishing Virus, standing up once again—																						
22	22		301									As she raises her lance at the wounded Lucia, her frame scorching hot...																						
23	23		505								Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab		1																					
24	24		201							1	500029																							
25	25		301							1	Lucia	D-dammit...	1																					
26	26		202							1					1																			
27	27		301									Lucia will not escape her blow in her current condition.																						
28	28		201							1	500100																							
29	29		301							1	α	...	1																					
30	30		301									Alpha gazes into the Narwhal's eyes with a hint of regret, then withdraws her Ascendant power.																						
31	31		202							1					1																			
32	32		301									—!																						
33	33		401							2	10004001																							
34	34		301									Rosetta unleashes her lance with devastating power—																						
35	35		301									In the same instant, Alpha disappears from where she was standing—																						
36	36		201							1	500029																							
37	37		301							1	Lucia	What?!	1																					
38	38		202							1					1																			
39	39		301									Lucia turns to find Rosetta's lance ripping through the space where she was as it continues flying into the distance.																						
40	40		301				AniZhuanchangBegin					Meanwhile, Alpha is holding onto her tightly as they fly over the snow before falling into the freezing ocean together...																						
41	41		301			AniZhuanchangEnd						In the depths of the quiet ocean, Lucia and Alpha gaze into each other's eyes...																						
42	42		201							1	500029																							
43	43		301							1	Lucia	Ngh!	1																					
44	44		202							1					1																			
45	45		301									As soon as Lucia tries to struggle free, Alpha restrains her, and then...																						
46	46		301									...She leans in and whispers into Lucia's ear.																						
47	47		201							1	500100																							
48	48		301							1	α	——————	1																					
49	49		201							1	500029																							
50	50		301							1	Lucia	?	1																					
51	51		201							1	500100	13																						
52	52		301							1	α	...	1																					
53	53		202							1					1																			
54	54		301									Once again, Lucia sees that eerie smile on Alpha's face...																						
55	55		301				AniZhuanchangBegin					She releases Lucia, and swims toward the surface.																						
56	56		301			AniZhuanchangEnd						Back on the surface...																						
57	57		301									Alpha shakes off the ice in her hair.																						
58	58		201							1	500214																							
59	59		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab		1																						
60	60		301							1	Rosetta	...Ngh.	1																					
61	61		202							1					1																			
62	62		505								Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab		1																					
63	63		301									Rosetta, completely overwhelmed by corruption, continues searching the ice for any signs of Lucia.																						
64	64		301									Behind her, the Narwhal slowly sinks into the ocean, no longer resisting. Rosetta does not pay it a single heed.																						
65	65		201							1	500100																							
66	66		301							1	α	...	1																					
67	67		301									Alpha sighs softly.																						
68	68		301								α	Still got to clean up the mess, I guess. Otherwise...	1																					
69	69		202							1					1																			
70	70		301									At this moment, Alpha finally unleashes her full power—																						
71	71		201							1	500214																							
72	72		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab		1																						
73	73		301							1	Rosetta	Rargh—!	1																					
74	74		301		1		AniZhuanchangBegin					Like a shark that smells blood, Rosetta immediately turns her attention toward Alpha.																						
