Id	Name	Desc	EffectIds[1]	EffectIds[2]	EffectIds[3]	EffectIds[4]	Icon
1	No More Paint	Unable to obtain Paint from workshop. Each movement generates 1 Paint of the same color as the block instead	160	161			Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill016.png
2	Difficult Research	-1 to the Paint cost to upgrade Exhibition in every round. Resets after upgrade.	162				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill015.png
3	Research Ban	Unable to increase Exhibition Level. At the start of a round, if a Master has reached Lv.6, Exhibition of the corresponding color +1	163	164			Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill014.png
4	Special Victory	Victory condition changed: Obtain a total of 50 Paint					Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill002.png
5	Fatal Virus I	At round tally, the Master affected by Masterpiece and Burst of Inspiration will gain +1 level	165				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill013.png
6	Race Against Time	Time will progress faster!	8				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill012.png
7	Local Blockade	Unable to take action in Green blocks. After triggering Master's Time, set Green Master's level to 4	35				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill011.png
8	Fatal Virus II	At round tally, the Master affected will gain +1 level	166				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill013.png
9	Race Against Time	Time will progress faster!	48				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill012.png
10	Novice Stage 1 Limit	Only Green actions are permitted. Guaranteed to roll 5 in the 2nd round. Only Green Boss Level will increase.	257	258	262	263	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill001.png
11	Novice Stage 2 Limit	Guaranteed to increase Green Boss Level at the end of the 1st round.	264				Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill001.png
