Id	GroupId	Type	StoryId	Repeatable	ConditionType	Params[1]	Params[2]	Params[3]	Params[4]	Name	Desc	Icon
1	3	2	HD017102BA	0	1	1	1			Travel with Vera II	When something is about to burn, better put out the fire fast.	Assets/Product/Texture/Image/BgStory/BgStory667.jpg
2	3	2	HD017103BA	0	1	4	0			Travel with Vera III	The paint is your ammunition. Destroy all the opponents' works.	Assets/Product/Texture/Image/BgStory/BgStory667.jpg
3	5	2	HD017106BA	0	1	2	2			Travel with Lee II	Before putting out the fire, perhaps you can find out how it started in the first place.	Assets/Product/Texture/Image/BgStory/BgStory671.jpg
4	5	2	HD017107BA	0	1	4	0			Travel with Lee III	A war fought with paint, with obsessions that are impossible to be understood.	Assets/Product/Texture/Image/BgStory/BgStory671.jpg
5	7	2	HD017110BA	0	1	3	3			Travel with Ayla II	A mysterious girl appears behind the burning flames.	Assets/Product/Texture/Image/BgStory/BgStory673.jpg
6	7	2	HD017111BA	0	1	5	0			Travel with Ayla III	Try to touch and understand that human hands are not claws.	Assets/Product/Texture/Image/BgStory/BgStory673.jpg
7	9	2	HD017114BA	0	1	3	0			Travel with Karenina II	Let the Engineering Force's music be heard on every street of Constellia.	Assets/Product/Texture/Image/BgStory/BgStory675.jpg
8	9	2	HD017115BA	0	1	6	0			Travel with Karenina III	The first drink made for humans is placed on the table of the newly opened shop.	Assets/Product/Texture/Image/BgStory/BgStory675.jpg
9	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg
10	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg
11	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg
12	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg
13	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg
14	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg
15	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg
16	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg
17	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg
18	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg
19	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory1.jpg
20	2	2		0	1	999	0			Story TBD	Story TBD	Assets/Product/Texture/Image/BgStory/Bgstory3.jpg
21	3	1		1	1	1	0			Vera	I have no time to waste on those weird things. Just tell me where they are.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
22	3	1		1	1	3	0			Vera	Are you relating to the works, Commandant? How interesting.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
23	3	1		1	1	5	0			Vera	Still taking your time to handle the tasks, Commandant? Do you think we have a lot of time to waste?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
24	3	1		1	3	4	0			Vera	Is this all you are trying to gather? Why don't you just rob from those who have it?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
25	3	1		1	3	8	0			Vera	You got these toys here, so take them with you, Commandant. I'm never going to attach these junks to myself.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
26	3	1		1	2	5	0			Vera	Congratulations. You have started to talk nonsense like the mechanoids.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
27	3	1		1	4	2				Vera	Are you looking for my advice, Commandant? Just go with this.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
28	3	1		1	4	4				Vera	Did you just hold me accountable for all this, Commandant? Are you prepared to pay a price for it once we finish?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
29	3	1		1	5	8				Vera	Is there a problem, Commandant? Hang in there. I'm calling the Star of Life right away.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
30	3	1		1	5	16				Vera	Now isn't the time to play around, Commandant. Focus on the mission.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
31	3	1		1	1	999	0			Vera	The School Master is up to something. Reduce its level!	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
32	3	1		1	1	999	0			Vera	Let's reduce the Master's level together.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
33	3	1		1	1	999	0			Vera	You go to the workshop to get more paint. What about me? I'll keep myself entertained.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
34	3	1		1	1	999	0			Vera	Hurry, go collect more Paint!	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
35	3	1		1	1	999	0			Vera	Increase the research level	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
36	3	1		1	1	999	0			Vera	Increase the research level	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
37	3	1		1	6	7	5			Vera	Commandant... Commandant? Why are you zoning out? Go suppress the Schools, so the Masters can settle down a little.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
38	3	1		1	6	7	5			Vera	Still unsure about what to do, Commandant? Just reduce the influence of the Schools so they can calm down.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
39	3	1		1	7	7	7			Vera	Art Exhibition improves your understanding of Schools and therefore will increase your level. Isn't that simple?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
40	3	1		1	7	7	7			Vera	Art Exhibition sounds like a good idea. It can increase your School Level and help me to locate those guys.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
41	3	1		1	8	7	5			Vera	Feeling bored, Commandant? Why don't you just go find some paint in the workshop? You like it, don't you?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
42	3	1		1	8	7	5			Vera	Stop hesitating. Just find a workshop, break in and take the paint away. How difficult can that be?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
43	4	1		1	1	1	0			Vera	I have no time to waste on those weird things. Just tell me where they are.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
44	4	1		1	1	3	0			Vera	Are you relating to the works, Commandant? How interesting.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
45	4	1		1	1	5	0			Vera	Still taking your time to handle the tasks, Commandant? Do you think we have a lot of time to waste?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
46	4	1		1	3	4	0			Vera	Is this all you are trying to gather? Why don't you just rob from those who have it?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
47	4	1		1	3	8	0			Vera	You got these toys here, so take them with you, Commandant. I'm never going to attach these junks to myself.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
48	4	1		1	2	5	0			Vera	Congratulations. You have started to talk nonsense like the mechanoids.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
49	4	1		1	4	2				Vera	Are you looking for my advice, Commandant? Just go with this.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
50	4	1		1	4	4				Vera	Did you just hold me accountable for all this, Commandant? Are you prepared to pay a price for it once we finish?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
51	4	1		1	5	8				Vera	Is there a problem, Commandant? Hang in there. I'm calling the Star of Life right away.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
52	4	1		1	5	16				Vera	Now isn't the time to play around, Commandant. Focus on the mission.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
53	4	1		1	1	999	0			Vera	The School Master is up to something. Reduce its level!	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
54	4	1		1	1	999	0			Vera	Let's reduce the Master's level together.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
55	4	1		1	1	999	0			Vera	You go to the workshop to get more paint. What about me? I'll keep myself entertained.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
56	4	1		1	1	999	0			Vera	Hurry, go collect more Paint!	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
57	4	1		1	1	999	0			Vera	Increase the research level	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
58	4	1		1	1	999	0			Vera	Increase the research level	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
59	4	1		1	6	10	5			Vera	Commandant... Commandant? Why are you zoning out? Go suppress the Schools, so the Masters can settle down a little.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
60	4	1		1	6	10	5			Vera	Still unsure about what to do, Commandant? Just reduce the influence of the Schools so they can calm down.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
61	4	1		1	7	10	7			Vera	Art Exhibition improves your understanding of Schools and therefore will increase your level. Isn't that simple?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
62	4	1		1	7	10	7			Vera	Art Exhibition sounds like a good idea. It can increase your School Level and help me to locate those guys.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
63	4	1		1	8	10	5			Vera	Feeling bored, Commandant? Why don't you just go find some paint in the workshop? You like it, don't you?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
64	4	1		1	8	10	5			Vera	Stop hesitating. Just find a workshop, break in and take the paint away. How difficult can that be?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png
65	5	1		1	1	1	0			Lee	The basic works are all done.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
66	5	1		1	1	3	0			Lee	Your understanding of the machine art has further improved, Commandant.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
67	5	1		1	1	5	0			Lee	Decent progress, Commandant.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
68	5	1		1	3	4	0			Lee	Analysis completed. The components used in this paint are similar to the one used by the WGAA of Babylonia.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
69	5	1		1	3	8	0			Lee	This is the city's paint production system... It's surprisingly complete.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
70	5	1		1	2	5	0			Lee	The program is functioning normally. Automatically generating reviews.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
71	5	1		1	4	2				Lee	Do you need some advices, Commandant? Bear with me for one moment. I'll get you a report right away.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
72	5	1		1	4	4				Lee	Here are the cases that you can refer to.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
73	5	1		1	5	8				Lee	What's the matter, Commandant?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
74	5	1		1	5	16				Lee	Is anything bothering you, Commandant? How about a little break first?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
75	5	1		1	1	999	0			Lee	Boss is too powerful. Heal immediately.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
76	5	1		1	1	999	0			Lee	Boss is too powerful. Heal immediately.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
77	5	1		1	1	999	0			Lee	Go to an Energy Point to obtain data	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
78	5	1		1	1	999	0			Lee	Go to an Energy Point to obtain data	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
79	5	1		1	1	999	0			Lee	Increase the research level	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
80	5	1		1	1	999	0			Lee	Increase the research level	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
81	5	1		1	6	7	5			Lee	All we have to do is to reduce the influence of the Schools in the city to weaken the School Masters' impact.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
82	5	1		1	6	7	5			Lee	The most effective measure against this crisis is to reduce the influence of the Schools in the city and hence weaken the School Masters' impact.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
83	5	1		1	7	7	7			Lee	Make Art Exhibition to increase your understanding of the Schools and solve the problem.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
84	5	1		1	7	7	7			Lee	The Art Exhibition can effectively improve our understanding of the Schools.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
85	5	1		1	8	7	5			Lee	Without enough paint, we cannot execute any plan.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
86	5	1		1	8	7	5			Lee	Paint is our most needed basic resource right now.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
87	6	1		1	1	1	0			Lee	The basic works are all done.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
88	6	1		1	1	3	0			Lee	Your understanding of the machine art has further improved, Commandant.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
89	6	1		1	1	5	0			Lee	Decent progress, Commandant.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
90	6	1		1	3	4	0			Lee	Analysis completed. The components used in this paint are similar to the one used by the WGAA of Babylonia.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
91	6	1		1	3	8	0			Lee	This is the city's paint production system... It's surprisingly complete.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
92	6	1		1	2	5	0			Lee	The program is functioning normally. Automatically generating reviews.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
93	6	1		1	4	2				Lee	Do you need some advices, Commandant? Bear with me for one moment. I'll get you a report right away.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
94	6	1		1	4	4				Lee	Here are the cases that you can refer to.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
95	6	1		1	5	8				Lee	What's the matter, Commandant?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
96	6	1		1	5	16				Lee	Is anything bothering you, Commandant? How about a little break first?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
97	6	1		1	1	999	0			Lee	Boss is too powerful. Heal immediately.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
98	6	1		1	1	999	0			Lee	Boss is too powerful. Heal immediately.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
99	6	1		1	1	999	0			Lee	Go to an Energy Point to obtain data	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
100	6	1		1	1	999	0			Lee	Go to an Energy Point to obtain data	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
101	6	1		1	1	999	0			Lee	Increase the research level	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
102	6	1		1	1	999	0			Lee	Increase the research level	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
103	6	1		1	6	10	5			Lee	All we have to do is to reduce the influence of the Schools in the city to weaken the School Masters' impact.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
104	6	1		1	6	10	5			Lee	The most effective measure against this crisis is to reduce the influence of the Schools in the city and hence weaken the School Masters' impact.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
105	6	1		1	7	10	7			Lee	Make Art Exhibition to increase your understanding of the Schools and solve the problem.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
106	6	1		1	7	10	7			Lee	The Art Exhibition can effectively improve our understanding of the Schools.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
107	6	1		1	8	10	5			Lee	Without enough paint, we cannot execute any plan.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
108	6	1		1	8	10	5			Lee	Paint is our most needed basic resource right now.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Li1.png
109	7	1		1	1	1	0			Ayla	Want to guess my win rate so far, Commandant? Hehe, 100%!	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Aila1.png
110	7	1		1	1	3	0			Ayla	Look, Commandant, there's a painting of Ayla on that wall! My influence is spreading fast.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Aila1.png
111	7	1		1	1	5	0			Ayla	Can you hear them cheering for my work, Commandant?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Aila1.png
112	7	1		1	3	4	0			Ayla	This paint is exactly what we use in WGAA... Great! That means I can use it immediately in the "battlefield."	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Aila1.png
113	7	1		1	3	8	0			Ayla	Great! As long as I have enough Paint, I can keep fighting.	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Aila1.png
114	7	1		1	2	5	0			Ayla	A little bit of this and a little bit of that... Alright, review complete. Is there anything you would like to add, Commandant?	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Aila1.png
