Id	ChapterId	Order	DifficultyId	Name	StageType	PreStageId	TimeId	CaptainId	MapId	NormalWinConditionId	SpecialWinConditionId	NormalStageId	SpecialStageId	NormalStageAbility	SpecialStageAbility	BossFightEventIds[1]	BossFightEventIds[2]	BossFightEventIds[3]	RobotGroupId	StageEffectId	FirstRewardId	PassRewardId	RebootPassRewardId	ClearNodeCount[1]	ClearNodeRewardId[1]	ClearNodeCount[2]	ClearNodeRewardId[2]	Icon	MovieId	BreakTitle	BreakDesc	NormalWinTitle	NormalWinDesc	SpecialWinTitle	SpecialWinDesc
1	1	1	1	Tracing Refractions I	3			6	15	9		30110116	30110116	5300	5300	2270107	2270108	2270109	1	10	17043							Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage06.png		Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
2	1	2	1	Tracing Refractions II	4	1		6	16	1		30110116	30110116	5300	5300	2270107	2270108	2270109	1	11	17044							Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage08.png		Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
3	1	3	1	Travel with Vera (Normal)	1	2		1	1	1		30110116	30110116	5300	5300	2270107	2270108	2270109	1		17001	17015	17015					Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage01.png	HD017101BA	Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
4	1	4	1	Travel with Lee (Normal)	1	3		2	2	1		30110117	30110116	5300	5300	2270107	2270108	2270109	2		17002	17016	17016					Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage03.png	HD017105BA	Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
5	1	5	1	Travel with Ayla (Normal)	1	4		3	3	1		30110118	30110116	5300	5300	2270107	2270108	2270109	3		17003	17017	17017					Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage04.png	HD017109BA	Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
6	1	6	1	Travel with Karenina (Normal)	1	5		4	4	1		30110119	30110116	5300	5300	2270107	2270108	2270109	4		17004	17018	17018					Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage02.png	HD017113BA	Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
7	1	3	2	Travel with Vera (Hard)	1	6		1	8	1		30110124	30110116	6000	6000	2270107	2270108	2270109	1	1	17005	17019	17019					Assets/Product/Texture/Image/UiColorTable/UiColorTableHardStage01.png		Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
8	1	1	2	Travel with Lee (Hard)	1	6		2	9	1		30110125	30110116	6000	6000	2270107	2270108	2270109	2	2	17006	17020	17020					Assets/Product/Texture/Image/UiColorTable/UiColorTableHardStage03.png		Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
9	1	4	2	Travel with Ayla (Hard)	1	6		3	10	1		30110126	30110116	6000	6000	2270107	2270108	2270109	3	3	17007	17021	17021					Assets/Product/Texture/Image/UiColorTable/UiColorTableHardStage04.png		Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
10	1	2	2	Travel with Karenina (Hard)	1	6		4	11	6		30110127	30110116	6000	6000	2270107	2270108	2270109	4	4	17008	17022	17022					Assets/Product/Texture/Image/UiColorTable/UiColorTableHardStage02.png		Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
11	2	1	1	Normal Overture of Future I	2	6			5	2		30110120	30110116	5300	5300	2270107	2270108	2270109	5		17009	17023	17023					Assets/Product/Texture/Image/UiColorTable/UiColorTableEasyStage05.png	HD017117BA	Quit	Constellia is still in the midst of an intensive art debate...	Victory!	Conquer the Masters with art and action	Victory!	Conquer the Masters with art and action
