Id	Type	SubType	EventId	DramaId	SubTypeName	UnlockTips
1	1	1	820		Gala Encounter	Travel with Vera (Normal) - Unlocks in Round 3
2	1	1	821		Gala Encounter	Travel with Vera (Normal) - Unlocks in Round 7
3	1	1	824		Gala Encounter	Travel with Lee (Normal) - Unlocks in Round 3
4	1	1	825		Gala Encounter	Travel with Lee (Normal) - Unlocks in Round 7
5	1	1	828		Gala Encounter	Travel with Ayla (Normal) - Unlocks in Round 3
6	1	1	829		Gala Encounter	Travel with Ayla (Normal) - Unlocks in Round 7
7	1	1	832		Gala Encounter	Travel with Karenina (Normal) - Unlocks in Round 3
8	1	1	833		Gala Encounter	Travel with Karenina (Normal) - Unlocks in Round 7
9	1	1	836		Gala Encounter	Normal Overture of Future I - Unlocks in Round 3
10	1	1	837		Gala Encounter	Normal Overture of Future I - Unlocks in Round 7
11	1	1	840		Gala Encounter	Normal Overture of Future II - Unlocks in Round 3
12	1	1	841		Gala Encounter	Normal Overture of Future II - Unlocks in Round 7
13	1	1	844		Gala Encounter	Normal Overture of Future III - Unlocks in Round 3
14	1	1	845		Gala Encounter	Normal Overture of Future III - Unlocks in Round 7
15	1	2	822		Behind the Scenes Encounter	Travel with Vera (Hard) - Unlocks in Round 7
16	1	2	826		Behind the Scenes Encounter	Travel with Lee (Hard) - Unlocks in Round 7
17	1	2	830		Behind the Scenes Encounter	Travel with Ayla (Hard) - Unlocks in Round 7
18	1	2	834		Behind the Scenes Encounter	Travel with Karenina (Hard) - Unlocks in Round 7
19	2	4		1	Gala Narration	Travel with Vera - Unlocks when Red Exhibition reaches max level
20	2	4		2	Gala Narration	Travel with Vera - Upgrade Exhibition 4 times
21	2	4		3	Gala Narration	Travel with Lee - Unlocks when Green Exhibition reaches max level
22	2	4		4	Gala Narration	Travel with Lee - Upgrade Exhibition 4 times
23	2	4		5	Gala Narration	Travel with Ayla - Unlocks when Blue Exhibition reaches max level
24	2	4		6	Gala Narration	Travel with Ayla - Upgrade Exhibition 5 times
25	2	4		7	Gala Narration	Travel with Karenina - Upgrade Exhibition 3 times
26	2	4		8	Gala Narration	Travel with Karenina - Upgrade Exhibition 6 times
