Id	Name	MapType	Clearable	Rebootable	BossExplodeLevel	StudyLevelLimit	StudyDataLimit	BossLevels[1]	BossLevels[2]	BossLevels[3]	StudyDatas[1]	StudyDatas[2]	StudyDatas[3]	StudyLevels[1]	StudyLevels[2]	StudyLevels[3]	BornPosition	InitActionPoint	MaxActionPoint	InitTimeBlock	EventGroupId	DramaGroupId	PointGroupId	BossRebootLevel
1	Travel with Vera	1	0	1	6	6	7	5	2	1	7	4	4	5	4	3	1	5	99	1	4	3	1	4
2	Travel with Lee	1	0	1	6	6	7	5	2	2	7	4	4	5	4	3	1	5	99	1	5	5	2	4
3	Travel with Ayla	1	0	1	6	6	7	5	3	3	4	4	4	5	3	3	1	5	99	1	6	7	3	4
4	Travel with Karenina	1	0	1	6	6	7	5	4	3	4	4	4	4	3	3	1	5	99	1	7	9	4	4
5	Prismatic Radiance I	2	0	1	6	6	7	4	5	3	4	4	4	3	4	3	10	5	99	1	12	11	5	4
6	Prismatic Radiance II	2	0	1	6	6	7	3	4	5	4	4	4	3	3	4	10	5	99	1	13	13	6	4
7	Prismatic Radiance III	2	1	1	6	6	7	5	4	3	4	4	4	4	3	3	10	5	99	1	14	15	7	4
8	Travel with Vera (Hard)	1	0	0	6	6	7	5	4	3	3	3	3	4	3	3	1	5	99	1	8	4	8	4
9	Travel with Lee (Hard)	1	0	0	6	6	7	4	5	3	3	3	3	3	4	2	1	5	99	1	9	6	9	4
10	Travel with Ayla (Hard)	1	0	0	6	6	7	3	4	5	1	1	1	2	3	3	1	5	99	1	10	8	10	4
11	Travel with Karenina (Hard)	1	0	0	6	6	7	5	4	3	1	1	1	2	2	2	1	5	99	1	11	10	11	4
12	H Prismatic Radiance I	2	0	0	6	6	7	4	5	3	1	1	1	2	2	2	10	5	99	1	15	12	12	4
13	H Prismatic Radiance II	2	0	0	6	6	7	3	4	5	1	1	1	2	2	2	10	5	99	1	16	14	13	4
14	H Prismatic Radiance III	2	1	0	6	6	7	5	4	3	1	1	1	2	2	2	10	5	99	1	17	16	14	4
15	Tracing Refractions I	3	0	1	6	6	7	1	3	1	0	4	0	6	4	6	2	5	99	1			15	4
16	Tracing Refractions II	1	0	1	6	6	7	6	6	1	7	7	5	5	5	4	1	5	99	1			16	4
