Id	GroupId	MaxTriggerCount	TimelineIds[1]	TimelineIds[2]	TimelineIds[3]	TimelineIds[4]	InitWeight	ConditionWeights[1]	ConditionIds[1]	ConditionWeights[2]	ConditionIds[2]	ConditionWeights[3]	ConditionIds[3]	EffectIds[1]	EffectIds[2]	EffectIds[3]	EffectIds[4]	EffectIds[5]	EffectIds[6]	ShowType	Name	Desc	Icon	SmallIcon
1	1	0	3	5	7	8	300	500	1&2&3					18	19	20				1	Encounter 1	Get 3 Three-Color Paints when the quantity of a Three-Color Paint is less than 3	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
2	1	0	3	5	7	8	0	500	7&8&9					21	22	23				1	Encounter 2	2 None at default. Increase when Bosses of 3 colors have levels lower than 3. All Boss Level increases by 1	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
3	1	0	3	5	7	8	0	500	10&11&12					24						1	Encounter 3	3 None at default. Increase when Research of 3 colors have levels lower than 3. All Research Level becomes 7	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
4	1	0	3	5	7	8	300							6						1	Encounter 6	4 Movement in Green area costs no Action Points in this round (determined by starting point)	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
5	1	0	3	5	7	8	300							9						1	Encounter 7	5 Each Healing will cost 1 more Paint of the corresponding color in this round	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
6	1	0	3	5	7	8	300							11						1	Encounter 8	6 Unable to heal with Red in this round	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
7	1	0	3	5	7	8	300							12						1	Encounter 9	7 Unable to heal with Red in the next round	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
8	1	0	3	5	7	8	300							13						1	Encounter 10	8 You can only heal with Red 1 time in this round	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
9	1	0	3	5	7	8	300							14						1	Encounter 11	9 You can only heal with Green 1 time in this round	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
10	1	0	3	5	7	8	300							15						1	Encounter 12	10 You can only heal with Blue 1 time in this round	Assets/Product/Texture/Image/BgStory/Bgstory263.png	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png
