Id	GroupId	PositionId	Color	Name	Icon	TipIcon	PointDesc	EffectDesc	Type	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]
1	1	1	2	Paint Workshop	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyGreenTips.png	Obtain Green Paint	You can only obtain Green Paint once per round. <color=#00FFFF>Obtain:</color> Spend 1 Action Point to get 3 to 5 Green Paint randomly.	3	1	3	3	3	4	4	5
2	1	2	2	Art Criticism	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalGreenTips.png	Reduce the level of Green Master	<color=#00FFFF>Criticism:</color> Spend 1 Action Point to reduce Green Master Level by 1. Set Green Master Level to 1 when Art Exhibition reaches Lv.6. <color=#00FFFF>Disapproval:</color> Spend 1 Action Point and 1 Green Paint to reduce Green Master Level by 2.	2	1	1	1	1			
3	1	3	2	Art Exhibition	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyGreenTips.png	Improve your understanding of this School!	<color=#00FFFF>Exhibition:</color> Use 7 Green Paint to increase Exhibition Level by 1	1	1	7	1				
4	1	4	3	Art Exhibition	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyBlueTips.png	Improve your understanding of this School!	<color=#00FFFF>Exhibition:</color> Use 7 Blue Paint to increase Exhibition Level by 1	1	1	7	1				
5	1	5	3	Art Criticism	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalBlueTips.png	Reduce the level of Blue Master	<color=#00FFFF>Criticism:</color> Spend 1 Action Point to reduce Blue Master Level by 1. Set Blue Master Level to 1 when Art Exhibition reaches Lv.6. <color=#00FFFF>Disapproval:</color> Spend 1 Action Point and 1 Blue Paint to reduce Blue Master Level by 2.	2	1	1	1	1			
6	1	6	3	Paint Workshop	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyBlueTips.png	Obtain Blue Paint	You can only obtain Blue Paint once per round. <color=#00FFFF>Obtain:</color> Spend 1 Action Point to get 3 to 5 Blue Paint randomly.	3	1	3	3	3	4	4	5
7	1	7	1	Art Criticism	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalRedTips.png	Reduce the level of Red Master	<color=#00FFFF>Criticism:</color> Spend 1 Action Point to reduce Red Master Level by 1. Set Red Master Level to 1 when Art Exhibition reaches Lv.6. <color=#00FFFF>Disapproval:</color> Spend 1 Action Point and 1 Red Paint to reduce Red Master Level by 2.	2	1	1	1	1			
8	1	8	1	Paint Workshop	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyRedTips.png	Obtain Red Paint	You can only obtain Red Paint once per round. <color=#00FFFF>Obtain:</color> Spend 1 Action Point to get 3 to 5 Red Paint randomly.	3	1	3	3	3	4	4	5
9	1	9	1	Art Exhibition	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyRedTips.png	Improve your understanding of this School!	<color=#00FFFF>Exhibition:</color> Use 7 Red Paint to increase Exhibition Level by 1	1	1	7	1				
10	1	0	1	School Master (Red)	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1RobotarmorMd030001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	Surrealist Mechanical Fauvist Master	Available after clearing Phase 1	101							
11	1	0	2	School Master (Green)	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1SuanyegongyiMd000001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossGreenTips.png	Multidimensional Mechanical Cubist Master	Available after clearing Phase 1	101							
12	1	0	3	School Master (Blue)	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd004040.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossBlueTips.png	Fantastical Mechanical Impressionist Master	Available after clearing Phase 1	101							
13	1	0	0	Hidden Master	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	Hidden Master	Available after triggering a special clear	102							
14	2	1	2	Paint Workshop	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyGreenTips.png	Obtain Green Paint	You can only obtain Green Paint once per round. <color=#00FFFF>Obtain:</color> Spend 1 Action Point to get 3 to 5 Green Paint randomly.	3	1	3	3	3	4	4	5
15	2	2	2	Art Criticism	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalGreenTips.png	Reduce the level of Green Master	<color=#00FFFF>Criticism:</color> Spend 1 Action Point to reduce Green Master Level by 1. Set Green Master Level to 1 when Art Exhibition reaches Lv.6. <color=#00FFFF>Disapproval:</color> Spend 1 Action Point and 1 Green Paint to reduce Green Master Level by 2.	2	1	1	1	1			
16	2	3	2	Art Exhibition	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyGreen.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyGreenTips.png	Improve your understanding of this School!	<color=#00FFFF>Exhibition:</color> Use 7 Green Paint to increase Exhibition Level by 1	1	1	7	1				
17	2	4	3	Art Exhibition	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyBlueTips.png	Improve your understanding of this School!	<color=#00FFFF>Exhibition:</color> Use 7 Blue Paint to increase Exhibition Level by 1	1	1	7	1				
18	2	5	3	Art Criticism	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalBlueTips.png	Reduce the level of Blue Master	<color=#00FFFF>Criticism:</color> Spend 1 Action Point to reduce Blue Master Level by 1. Set Blue Master Level to 1 when Art Exhibition reaches Lv.6. <color=#00FFFF>Disapproval:</color> Spend 1 Action Point and 1 Blue Paint to reduce Blue Master Level by 2.	2	1	1	1	1			
19	2	6	3	Paint Workshop	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyBlue.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyBlueTips.png	Obtain Blue Paint	You can only obtain Blue Paint once per round. <color=#00FFFF>Obtain:</color> Spend 1 Action Point to get 3 to 5 Blue Paint randomly.	3	1	3	3	3	4	4	5
20	2	7	1	Art Criticism	Assets/Product/Texture/Image/UiColorTable/UiColorTableMedicalRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableMedicalRedTips.png	Reduce the level of Red Master	<color=#00FFFF>Criticism:</color> Spend 1 Action Point to reduce Red Master Level by 1. Set Red Master Level to 1 when Art Exhibition reaches Lv.6. <color=#00FFFF>Disapproval:</color> Spend 1 Action Point and 1 Red Paint to reduce Red Master Level by 2.	2	1	1	1	1			
21	2	8	1	Paint Workshop	Assets/Product/Texture/Image/UiColorTable/UiColorTableEnergyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableEnergyRedTips.png	Obtain Red Paint	You can only obtain Red Paint once per round. <color=#00FFFF>Obtain:</color> Spend 1 Action Point to get 3 to 5 Red Paint randomly.	3	1	3	3	3	4	4	5
22	2	9	1	Art Exhibition	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyRed.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableStudyRedTips.png	Improve your understanding of this School!	<color=#00FFFF>Exhibition:</color> Use 7 Red Paint to increase Exhibition Level by 1	1	1	7	1				
23	2	0	1	School Master (Red)	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1JiegouqiutuMd010001.png	Assets/Product/Texture/Image/UiColorTable/tips/UiColorTableBossRedTips.png	Surrealist Mechanical Fauvist Master	Available after clearing Phase 1	101							
