Id	PlatformType	ChannelId	KeepQRCode	ImagePlayerInfo	TextContent	KeepLink	TextPlayerInfo
1	1	1		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
2	2	1		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
3	3	1		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
4	4	1		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
5	5	1		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
6	0	1		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
7	1	2		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
8	2	2		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
9	3	2		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
10	4	2		Invite Code {1}	(Beacon Server) in the [Returning to Battle] event! Tap the link for more information and claim an extra [Redeem Code]. Stamp: 	1	Brand new update [Her Last Bow] for Punishing: Gray Raven has arrived alongside the Spring Festival event! Participate now to earn massive rewards! Returning players will gain extra rewards when they sign in from Jan 27 to Feb 10 and fill in their Invite Code: [{1}]
