Id	Type	StageId	HandBookSubType	HandBookSubTypeName	StoryType	StoryId	Name	Desc	Icon	UnlockTips
1	3	3	5	The End	1	HD017104BA	Travel with Vera IV	Humans tend to go through what happened in the past at night.	Assets/Product/Texture/Image/BgStory/BgStory667.jpg	Clear Travel with Vera to unlock.
2	3	4	5	The End	1	HD017108BA	Travel with Lee IV	They will sweep away the dust of the past and greet the familiar and strange faces.	Assets/Product/Texture/Image/BgStory/BgStory671.jpg	Clear Travel with Lee to unlock.
3	3	5	5	The End	1	HD017112BA	Travel with Ayla IV	We are so similar and so different.	Assets/Product/Texture/Image/BgStory/BgStory673.jpg	Clear Travel with Ayla to unlock.
4	3	6	5	The End	1	HD017116BA	Travel with Karenina IV	Falling back is to free up more space to hug and walk side by side together.	Assets/Product/Texture/Image/BgStory/BgStory675.jpg	Clear Travel with Karenina to unlock.
5	3	11	5	The End	1	HD017118BA	Overture of Future I Ending	The way we get involved in the battle maybe unexpected.	Assets/Product/Texture/Image/BgStory/BgStory677.jpg	Clear Overture of Future I to unlock.
6	3	12	5	The End	1	HD017120BA	Overture of Future II Ending	One can only persuade others with their own will.	Assets/Product/Texture/Image/BgStory/BgStory680.jpg	Clear Overture of Future II to unlock.
7	3	13	5	The End	1	HD017122BA	Overture of Future III Ending	The overture to the future. The curtain lifted at the end.	Assets/Product/Texture/Image/BgStory/BgStory681.jpg	Clear Overture of Future III to unlock.
8	3	3	3	Prelude	3	HD017101BA	Travel with Vera I	Morning, Constellia.	Assets/Product/Texture/Image/BgStory/BgStory667.jpg	Challenge Travel with Vera to unlock.
9	3	4	3	Prelude	3	HD017105BA	Travel with Lee I	Constellia's morning. Three busy figures on top of the building.	Assets/Product/Texture/Image/BgStory/BgStory671.jpg	Challenge Travel with Lee to unlock.
10	3	5	3	Prelude	3	HD017109BA	Travel with Ayla I	Constellia in the "crazy battle mode" in the early morning.	Assets/Product/Texture/Image/BgStory/BgStory673.jpg	Challenge Travel with Ayla to unlock.
11	3	6	3	Prelude	3	HD017113BA	Travel with Karenina I	The preparation for the battle is in progress when the morning wind touches Constellia.	Assets/Product/Texture/Image/BgStory/BgStory675.jpg	Challenge Travel with Karenina to unlock.
12	3	11	3	Prelude	3	HD017117BA	Travel with Karenina I Prelude	At night, a girl walks out from the virtual illusion.	Assets/Product/Texture/Image/BgStory/BgStory677.jpg	Challenge Overture of Future I to unlock.
13	3	12	3	Prelude	3	HD017119BA	Travel with Karenina II Prelude	The paintings are aligned in a line, waiting for the judgment of the manager.	Assets/Product/Texture/Image/BgStory/BgStory680.jpg	Challenge Overture of Future II to unlock.
14	3	13	3	Prelude	3	HD017121BA	Travel with Karenina III Prelude	Everyone is prepared for the final battle to come.	Assets/Product/Texture/Image/BgStory/BgStory681.jpg	Challenge Overture of Future III to unlock.
