Key	Desc	Params[1]	Params[2]	Params[3]
UiMainHelpKey	Main Interface Help Tip Sheet Key	ColortableHelp		
UiChooseStageHelpKey	Stage Selection Interface Help Tip Sheet Key	ColortableHelp		
UiStageMainHelpKey	Map Mode Main Interface Help Tip Sheet Key	ColortableHelp		
GuideStageColor	Novice Stage Color	2		
TimeLinePointIcon	Timing Icon	Assets/Product/Texture/Atlas/UiColorTable/UiColorTableActionBoss2.png	Assets/Product/Texture/Atlas/UiColorTable/UiColorTableActionBoss3.png	Assets/Product/Texture/Atlas/UiColorTable/UiColorTableActionBoss1.png
StudyDataIcon	Research Data Point Icon	Assets/Product/Texture/Image/UiColorTable/UiColorTableIconRed.png	Assets/Product/Texture/Image/UiColorTable/UiColorTableIconGreen.png	Assets/Product/Texture/Image/UiColorTable/UiColorTableIconBlue.png
StudyDataCostIcon	Research Data Point Consumption Icon	Assets/Product/Texture/Image/UiColorTable/UiColorTableRed.png	Assets/Product/Texture/Image/UiColorTable/UiColorTableGreen.png	Assets/Product/Texture/Image/UiColorTable/UiColorTableBlue.png
ColorText	Colored Text	Red	Green	Blue
PointBoss	Boss Point Preset Format Path	Assets/Product/Ui/ComponentPrefab/UiColorTable/ColorTableBoss.prefab		
PointEnergy	Energy Point Preset Format Path	Assets/Product/Ui/ComponentPrefab/UiColorTable/ColorTableEnergy.prefab		
PointMedical	Healing Point Preset Format Path	Assets/Product/Ui/ComponentPrefab/UiColorTable/ColorTableMedical.prefab		
PointStudy	Research Point Preset Format Path	Assets/Product/Ui/ComponentPrefab/UiColorTable/ColorTableStudy.prefab		
PointMovie	Story Point Preset Format Path	Assets/Product/Ui/ComponentPrefab/UiColorTable/ColorTableRandomMovie.prefab		
PointStudySelectIcon	Research Point Selection Icon	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyRed2.png	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyGreen3.png	Assets/Product/Texture/Image/UiColorTable/UiColorTableStudyBlue2.png
