Id	Name	BuffBg	BuffTriangleBg	Desc	TeachingContents[1]	TeachingContents[2]	TeachingContents[3]	TeachingContents[4]	TeachingContents[5]	TeachingContents[6]	TeachingContents[7]	TeachingContents[8]	TeachingContents[9]	TeachingContents[10]	BuffSuggestAbility
32092	<color=#34aff9><size=34>Blessing III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png		Machiavelli summons 2 <color=#34aff9>Iron Thorns</color> every after losing 25% HP. The Iron Thorns will explode and destroy the platform in 35s.	text: <color=#34aff9>Iron Thorn:</color>	Assets/Product/Texture/Image/UiBabelTower/BgFightTieji.png									
32093	<color=#34aff9><size=34>Blessing III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32101	<color=#34aff9><size=34>Solitude</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png		When an enemy has fewer than 3 companions around, for each companion lost, Extra DMG Bonus increases by 10%, up to 30%.											
32111	<color=#34aff9><size=34>Commander I</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png		For each companion around, enemies' Extra DMG Bonus increases by 5%. Can be stacked up to 3 times.											
32112	<color=#34aff9><size=34>Commander II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32112.png		For each companion around, enemies' Extra DMG Bonus increases by 10%. Can be stacked up to 3 times.											
32113	<color=#34aff9><size=34>Commander III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32113.png		For each companion around, enemies' Extra DMG Bonus increases by 15%. Can be stacked up to 3 times.											
32121	<color=#34aff9><size=34>Penetration</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32121.png		Each hit of the enemies reduces your team's DEF by 3% for 10s. Stacks up to 10 times.											
32122	<color=#34aff9><size=34>Penetration II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32123	<color=#34aff9><size=34>Penetration III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32131	<color=#34aff9><size=34>Lightning Shield</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32131.png		Every time an enemy takes DMG, they have a 10% chance to call down a lightning strike upon the attacker. Cooldown: 5s.											
32132	<color=#34aff9><size=34>Lightning Shield II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32133	<color=#34aff9><size=34>Lightning Shield III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32141	<color=#34aff9><size=34>Wave I</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png		When an enemy gets up after being knocked down, they will create a shock wave to knock away nearby units. Cooldown: 18s.											
32142	<color=#34aff9><size=34>Wave II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png		When an enemy gets up after being knocked down, they will create a shock wave to knock away nearby units. Cooldown: 14s.											
32143	<color=#34aff9><size=34>Wave III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32141.png		When an enemy gets up after being knocked down, they will create a shock wave to knock away nearby units. Cooldown: 10s.											
32144	<color=#34aff9><size=34>Lightning Mine</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32151.png		When attacking, enemies will attach a bomb to the target, which will explode after a period of time and deal 15% Physical DMG.											
32145	<color=#34aff9><size=34>Lightning Mine II</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32146	<color=#34aff9><size=34>Lightning Mine III</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png													
32147	<color=#34aff9><size=34>Stealth</size></color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png		Enemies enter Stealth. Reveal themselves after taking DMG and can't enter Stealth again within 3s.											
32148	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Avoid the Red Orbs and break the crystal.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png										
32149	<color=#34aff9><size=34>Red Crystal</size></color>			Break it to turn some of the Red Orbs into Blue Orbs.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain07.png										
32150	<color=#34aff9><size=34>Red Orb</size></color>			Red Orbs near the character will explode. Try to avoid them.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png										
32151	<color=#34aff9><size=34>Blue Orb</size></color>			When red orbs are converted into blue orbs, they will attack the nearest enemy.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain03.png										
32152	<color=#34aff9><size=34>Soundwave Fever Value</size></color>			Break all crystals or touch all the Red Orbs to end. The final FEVER will be calculated based on the number of Blue Orbs converted.											
32153	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Spread up the red tiles. Break the crystal to turn them blue.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png										
32154	<color=#34aff9><size=34>Red Crystal</size></color>			Break the crystal and all red tiles will be turned into blue tiles.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain07.png										
32155	<color=#34aff9><size=34>Spotlight</size></color>			After the character enters mechanism, the spotlight will light up where the character stands in the order of white, green, yellow, and red. When the spotlight is red, it will turn the corresponding tile into red.											
32156	<color=#34aff9><size=34>Red Tile</size></color>			The red tiles will explode when the spotlight shines on them, so watch your step!	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain02.png										
32157	<color=#34aff9><size=34>Blue Tile</size></color>			Converted from a Red Tile.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png										
32158	<color=#34aff9><size=34>Spotlight Fever Value</size></color>			Break all crystals to end. The final FEVER will be calculated based on the number of blue tiles converted.											
32159	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Aim at the crystal and attack to defeat the fairies on the line.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png										
32160	<color=#34aff9><size=34>Aim at the crystals.</size></color>			Direction marks will show up when you're close to the area. Break the crystals to fire Impact Orbs to defeat the fairies in lines.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png										
32161	<color=#34aff9><size=34>Fairy</size></color>			Can only be broken by Impact Orbs.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain05.png										
32162	<color=#34aff9><size=34>Collision Fever Value</size></color>			Break all crystals or defeat all fairies to end. The final FEVER will be calculated based on the number of fairies defeated.											
32163	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Increase the number of red tiles, break the crystals, and converts as many as tiles and red orbs while avoiding the red orbs.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png										
32164	<color=#34aff9><size=34>Fever Value</size></color>			The final FEVER Value will be calculated based on the number of the Blue Orbs and the blue tiles.											
32165	<color=#34aff9><size=34>Mechanism Target</size></color>			Convert as many red tiles as possible while aiming to defeat the fairies in lines.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png										
32166	<color=#34aff9><size=34>Fever Value</size></color>			The final FEVER Value will be calculated based on the number of the blue tiles and Fairies defeated.											
32167	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Defeat as many fairies as possible while avoiding the Red Orbs.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png										
32168	<color=#34aff9><size=34>Fever Value</size></color>			The final FEVER Value will be calculated based on the Blue Orbs and Fairies defeated.											
32169	<color=#34aff9><size=34>Co-op Mechanism</size></color>			A boss will shuttle between team members every 30s. Members not facing the boss will have to deal with the mechanics. Maintain the Fever status to defeat the boss!	Text: Use talents and stage clearing mechanisms to support your teammates. Your Fever value will be calculated after clearing a mechanic. Once the entire team reaches 100 Fever, the team will enter a Fever state and gain a massive bonus!										
32170	<color=#34aff9><size=34>Soundwave Evasion</size></color>			Avoid the Red Orbs and break the crystal.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png										
32171	<color=#34aff9><size=34>Battlefield Spotlight</size></color>			Spread up the red tiles. Break the crystal to turn them blue.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png										
32172	<color=#34aff9><size=34>Crystal Collision</size></color>			Aim at the crystal and attack to defeat the fairies on the line.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain06.png										
32173	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Pick up all the Signal Orbs asap.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png										
32174	<color=#34aff9><size=34>Signal Orb</size></color>			Pick it up to trigger Talent 2 and inflict buff(s) to the character and their teammates.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png										
32175	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Reach the destination and learn about how the wall works.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain09.png										
32176	<color=#34aff9><size=34>Blue Wall</size></color>			These walls will rise when you walk by. They will turn yellow and go down after forming a closed pattern.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain09.png	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain10.png									
32177	<color=#34aff9><size=34>Red Wall</size></color>			Can be used to form closed patterns.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain08.png										
32178	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Pick up all the Signal Orbs.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain13.png										
32179	<color=#34aff9><size=34>Mechanism Target</size></color>			<color=#CF0000>Defeat the enemy and pick up all the small orbs.</color>	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain14.png										
32180	<color=#34aff9><size=34>Small Orb</size></color>			Defeat all the enemies on the battlefield. Pick up Orbs of the same color for 2 points. Pick up Orbs of a different color for 1 point.	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain14.png										
