CharacterId	SetAureoleId	SetBallColor	AureoleIds[1]	AureoleIds[2]	AureoleIds[3]
1011002	0	1	1	6	7
1021001	0	1	2	9	8
1031001	0	1	3	23	11
1041002	0	1	12	12	23
1051001	0	1	4	21	22
1061002	0	1	11	6	7
1071002	0	1	10	9	8
1081002	0	1	9	23	11
1031002	0	1	5	12	23
1021002	0	1	6	21	22
1031003	0	1	7	6	7
1061003	0	1	8	9	8
1011003	0	1	14	23	11
1071003	0	1	13	12	23
1051003	0	1	15	21	22
1021003	0	1	16	23	11
1081003	0	1	17	12	23
1091002	0	1	18	21	22
1041003	0	1	19	49	33
1111002	0	1	20	6	7
1121002	0	1	21	9	8
1021004	0	1	22	23	11
1131002	0	1	23	12	23
1511003	0	1	24	21	22
1141003	0	1	25	50	31
1161002	0	1	27	23	11
1521003	0	1	26	12	23
1171003	0	1	28	21	22
1181003	0	1	29	23	11
1191003	0	1	30	12	23
1201003	0	1	31	21	22
1211002	0	1	32	23	11
1531003	0	1	33	12	23
1121003	0	1	34	21	22
1221002	0	1	35	23	11
1131003	0	1	36	12	23
1541003	0	0	37	21	22
1031004	0	1	38	23	11
1531004	0	1	39	12	23
1551003	0	1	40	21	22
1051004	0	1	41	23	11
1561003	0	1	42	12	23
1071004	0	1	43	21	22
1571003	0	1	44	23	11
1041004	0	1	45	12	23
1231002	0	1	46	21	22
1011004	0	1	47	23	11
1091003	0	1	48	21	22
