Id	Content
99960001	<size=50>Three Variables <color=#FF3300>{0}{1}{2}</color> Row: 1</size>
99960002	<size=45>Three Variables <color=#FF0033>{0}{1}{2}</color> Row: 2</size>
99960003	<size=40>Three Variables <color=#33FF00>{0}{1}{2}</color> Row: 3</size>
99960004	<size=35>Three Variables <color=#3300FF>{0}{1}{2}</color> Row: 4</size>
99960005	<size=30>Three Variables <color=#0033FF>{0}{1}{2}</color> Row: 5</size>
99960006	<size=25>Three Variables <color=#00FF33>{0}{1}{2}</color> Row: 6</size>
99960007	<size=20>Three Variables {0}{1}{2} Row: 7</size>
99960008	<size=15>Three Variables {0}{1}{2} Row: 8</size>
99960009	<size=10>Three Variables {0}{1}{2} Row: 9</size>
99960010	<size=5>Three Variables {0}{1}{2} Row: 10</size>
150204100	07:00 - 07:30 Get Up
150204101	07:30 - 12:00 ▇▇▇▇
150204102	12:00 - 14:00 Afternoon ▇▇
150204103	14:00 - 16:00 Group Games
150204104	16:00 - 22:00 ▇▇▇▇
150204105	22:00 - 07:00 Night Rest
150204106	07:00 - 07:30 Talks
150204107	07:30 - 12:00 Talks
150204108	12:00 - 14:00 Talks
150204109	14:00 - 16:00 Talks
150204110	16:00 - 22:00 Talks
150204111	22:00 - 07:00 Talks
150204112	Doris, listen, listen.
150204113	Family, Mother, Sister.
150204114	Listen, listen, good girl.
150204115	Doris, good girl, good girl.
150204116	Mother, Mother, Mother.
150204117	Doris, Doris, Doris.
