Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	BornPosition[6]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	LookPosition[6]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
300601040	Scene00502b	30060104	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601050	Scene00502b	30060104	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601060	Scene01701b	30060105	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601070	Scene01704	30060106	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601080	Scene01704	30060107	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601090	Scene01704	30060109	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601100	Scene01701b	30060105	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601110	Scene01704	30060106	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601120	Scene01704	30060107	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601130	Scene01704	30060109	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601140	Scene01602	30060110	PB1	PB2	PB3	PB4	PB5		B101													
300601150	Scene01602	30060115	PB1	PB2	PB3	PB4	PB5		B101													
300601160	Scene01602	30060116	PB1	PB2	PB3	PB4	PB5		B101													
300601170	Scene01602	30060117	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601180	Scene01701b	30060105	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601190	Scene01704	30060106	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601200	Scene01704	30060107	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601210	Scene01704	30060109	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601220	Scene01602	30060110	PB1	PB2	PB3	PB4	PB5		B101													
300601230	Scene01602	30060115	PB1	PB2	PB3	PB4	PB5		B101													
300601240	Scene01602	30060116	PB1	PB2	PB3	PB4	PB5		B101													
300601250	Scene01602	30060117	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601260	Scene01603	30060126	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601270	Scene01603	30060127	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601280	Scene01903	30060128	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601290	Scene01603	30060129	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601300	Scene01704	30060130	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601310	Scene01704	30060131	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601320	Scene01704	30060131	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601330	Scene01602	30060132	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601340	Scene01704	30060131	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601350	Scene01602	30060132	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601360	Scene01805	30060136	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601370	Scene01705	30060137	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601380	Scene01705	30060137	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601390	Scene01705	30060137	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601400	Scene02204a	30060140	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601410	Scene01705	30060137	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601420	Scene02204a	30060140	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601430	Scene01903	30060143	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601990	Scene01704	30060106	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
300601980	Scene01704	30060106	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
