Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	BornPosition[6]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	LookPosition[6]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
301100010	Scene07005	30110001	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100020	Scene07005	30110002	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100030	Scene07005	30110003	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100040	Scene07005	30110005	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100050	Scene07005	30110005	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100060	Scene07005	30110003	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100070	Scene07005	30110003	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100080	Scene07005	30110003	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100090	Scene07005	30110003	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1									
301100100	Scene00504a	30110010	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100110	Scene00504a	30110010	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100120	Scene00504a	30110012	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100130	Scene00504a	30110010	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100140	Scene00504a	30110010	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100150	Scene00504a	30110010	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100160	Scene00504a	30110010	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100170	Scene00504a	30110010	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100180	Scene00504a	30110018	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		AW1							
301100190	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100200	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100210	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100220	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100230	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100240	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100250	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100260	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100270	Scene01404	30110019	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BaiyangnvBattleField2							
301100280	Scene01304	10130401	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		BossDoor							
301100290	Scene01801	18010101	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1						Phase1w	Openhide	Stone	StoneFx
301100300	Scene01907	10140114	PB1	PB1	PB1	PB1	PB1		S1	S1	S1	S1	S1		innerCircle				SceneShield			
