Id	Name	Info	BornPosition[1]	BornPosition[2]	BornPosition[3]	BornPosition[4]	BornPosition[5]	BornPosition[6]	LookPosition[1]	LookPosition[2]	LookPosition[3]	LookPosition[4]	LookPosition[5]	LookPosition[6]	DefaultObstacleArea[1]	DefaultObstacleArea[2]	DefaultObstacleArea[3]	DefaultObstacleArea[4]	DefaultDynamicObject[1]	DefaultDynamicObject[2]	DefaultDynamicObject[3]	DefaultDynamicObject[4]
130101150	Scene00203a	13010115	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130101160	Scene00203d	13010116	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130102140	Scene10003	13010214	PB1	PB2	PB3	PB4	PB5		SS	S1	S1	S1	S1									
130102160	SceneEX00101d	13010216	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130103140	Scene00103a	13010314	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130103160	Scene00001d	13010316	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130104120	Scene00403a	13010412	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130104150	Scene10001	13010415	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130105140	Scene00004b	13010514	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130105160	Scene00004b	13010516	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130106140	Scene10002	13010614	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130106150	Scene10002	13010615	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130107150	Scene10002	13010715	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130107160	Scene10002	13010716	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130108140	Scene00301a	13010814	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130108150	Scene00301a	13010815	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130109140	Scene00501a	13010914	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130109150	Scene00104c	13010915	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130110130	Scene00004b	13011013	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130110150	Scene00103a	13011015	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130110200	Scene00005a	13011020	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130111130	SceneEX00103ts	13011113	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130112120	Scene07001	13011212	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
130112140	Scene00202a	13011214	PB1	PB2	PB3	PB4	PB5		S1	S1	S1	S1	S1									
