Id	LibraryId	MonsterIdList[1]	MonsterIdList[2]	MonsterIdList[3]	Ability	MonsterGroupType	RewardId	LevelItem	Icon	HalfBodyIcon	OpenTime
10001	1	1001	1001	1001	5098	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster93160.png	
10002	1	1002	1003	1003	4653	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster93230.png	
10003	1	1004	1005	1005	4933	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster93020.png	
10004	1	1007	1006	1008	4684	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90930.png	
10005	1	1010	1010	1009	4558	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90830.png	
10006	1	1011	1011	1011	5102	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90810.png	
10007	1	1012	1013	1013	4535	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90760.png	
10008	1	1014	1015	1015	5194	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90780.png	
10009	1	1016	1017	1018	4800	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90710.png	
10010	1	1019	1019	1020	4624	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90650.png	
10011	1	1021	1022	1022	4733	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90660.png	
10012	1	1023	1024	1024	4896	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90110.png	
10013	1	1025	1026	1026	4896	1	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90150.png	
10014	1	1101	1101	1101	4582	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90260.png	
10015	1	1102	1102	1102	5370	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90350.png	
10016	1	1103	1103	1103	4986	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90400.png	
10017	1	1104	1104	1104	5073	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster90450.png	
10018	1	1105	1106	1106	5269	2	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster81200.png	
10019	1	1201			6115	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster83520.png	
10020	1	1202			5532	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster841000.png	
10021	1	1203			6111	3	15565	25		Assets/Product/Texture/Image/RoleMonster/RoleMonster81700.png	
11001	2	2001	2002	2002	5678	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90190.png	
11002	2	2003	2004	2004	5765	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90460.png	
11003	2	2005	2006	2007	6400	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90480.png	
11004	2	2008	2009	2010	6129	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90600.png	
11005	2	2011	2012	2013	5759	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90710.png	
11006	2	2014	2015	2015	5591	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90930.png	
11007	2	2016	2017	2017	6408	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90910.png	
11008	2	2018	2019	2019	6465	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90830.png	
11009	2	2020	2021	2021	5736	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90810.png	
11010	2	2022	2022	2023	6067	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90650.png	
11011	2	2024	2024	2024	6041	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90660.png	
11012	2	2025	2025	2025	5794	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90690.png	
11013	2	2026	2026	2026	6305	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster90670.png	
11014	2	2027	2027	2027	5816	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93010.png	
11015	2	2028	2028	2028	6238	1	1109001	200		Assets/Product/Texture/Image/RoleMonster/RoleMonster93020.png	
