Id	LibraryId	ThumbnailPath	EnvName	Description	PowerPercent	FightEventIds[1]	BtnIcon	MonsterLibraryId	NeedWinCount
30161265	1	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap06.png	Integrate Together	No flashy effects, just enjoy pure combat	0		Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap12.png		
30161266	1	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap05.png	Limit reached	The area is marked with a glowing light. Allies outside the area take DMG equal to 5% of Max HP every second and reduces ATK by 50%.	0	2201604	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap11.png		
30161267	1	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap04.png	Phase Shift	Enemies gain 50% DMG Reduction and only take DMG normally in Matrix. Ally swap CD reduced by 50%.	0	2201601	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap10.png		
30161268	1	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap01.png	Lethal Connection	When enemies take DMG, allies are inflicted with a portion of DMG	0	2201602	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap07.png		
30161226	2	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Abandoned	Abandoned	0				
30161227	2	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Abandoned	Abandoned	0				
30161228	2	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Abandoned	Abandoned	0				
30161229	2	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Abandoned	Abandoned	0				
30161269	3	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap06.png	Integrate Together	No flashy effects, just enjoy pure combat	0		Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap12.png		
30161270	3	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap05.png	Limit reached	The area is marked with a glowing light. Allies outside the area take DMG equal to 5% of Max HP every second and reduces ATK by 50%.	0	2201604	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap11.png		
30161271	3	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap02.png	Enemies in Sight	Summons a jitterbug every 10s. After 5s, the jitterbug will explode and deal percentage DMG to allies (non-lethal)	0		Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap08.png		
30161272	3	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap03.png	Real Fire	When an enemy deals DMG to your shield, inflict the same amount as True DMG.	0	2201603	Assets/Product/Texture/Image/UiSuperSmashBros/UiSuperSmashBrosMap09.png		
30161236	4	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Abandoned	Abandoned	0				
30161237	4	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Abandoned	Abandoned	0				
30161238	4	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Abandoned	Abandoned	0				
30161239	4	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Abandoned	Abandoned	0				
30161243	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 1	No Environment	0				
30161246	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 2	No Environment	0				
30161242	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 3	No Environment	0				
30161245	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 4	No Environment	0				
30161287	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 5	No Environment	0				
30161254	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 6	No Environment	0				
30161248	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 7	No Environment	0				
30161249	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 8	No Environment	0				
30161251	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 9	No Environment	0				
30161288	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 10	No Environment	0				
30161252	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 11	No Environment	0				
30161253	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 12	No Environment	0				
30161250	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 13	No Environment	0				
30161258	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 14	No Environment	0				
30161285	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 15	No Environment	0				
30161247	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 16	No Environment	0				
30161290	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Streak - 17	No Environment	0				
30161256	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 18	No Environment	0				
30161259	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Battle Streak - 19	No Environment	0				
30161291	5	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineBg03.png	Streak - 20	No Environment	0				
