Id	CoreId	Star	FightEventId	SpendMaterialId	SpendMaterialCount	Description	UpgradeDescription
1	1	0	2201101	60832	2	Each time you <color=#0F70BC>switch characters</color>, gain 1 Energy (max <color=#0F70BC>3 stacks</color>). Spend <color=#0F70BC>3 Energy</color> to enter <color=#0F70BC>Matrix</color>, gaining <color=#0F70BC>10%</color> Extra DMG Bonus and <color=#0F70BC>1 random Signal Orb each second</color> within <color=#0F70BC>3s</color>.	·Gain <color=#0F70BC>10%</color> Extra DMG Bonus\n·Duration: <color=#0F70BC>3s</color>
2	1	1	2201102	60832	2	Each time you <color=#0F70BC>switch characters</color>, gain 1 Energy (max <color=#0F70BC>3 stacks</color>). Spend <color=#0F70BC>3 Energy</color> to enter <color=#0F70BC>Matrix</color>, gaining <color=#0F70BC>15%</color> Extra DMG Bonus and <color=#0F70BC>1 random Signal Orb each second</color> within <color=#0F70BC>3s</color>.	·Gain <color=#0F70BC>15%</color> Extra DMG Bonus\n·Duration: <color=#0F70BC>3s</color>
3	1	2	2201103	60832	2	Each time you <color=#0F70BC>switch characters</color>, gain 1 Energy (max <color=#0F70BC>3 stacks</color>). Spend <color=#0F70BC>3 Energy</color> to enter <color=#0F70BC>Matrix</color>, gaining <color=#0F70BC>20%</color> Extra DMG Bonus and <color=#0F70BC>1 random Signal Orb each second</color> within <color=#0F70BC>4s</color>.	·Gain <color=#0F70BC>20%</color> Extra DMG Bonus\n·Duration: <color=#0F70BC>4s</color>
4	1	3	2201104	60832	2	Each time you <color=#0F70BC>switch characters</color>, gain 1 Energy (max <color=#0F70BC>3 stacks</color>). Spend <color=#0F70BC>3 Energy</color> to enter <color=#0F70BC>Matrix</color>, gaining <color=#0F70BC>25%</color> Extra DMG Bonus and <color=#0F70BC>1 random Signal Orb each second</color> within <color=#0F70BC>4s</color>.	·Gain <color=#0F70BC>25%</color> Extra DMG Bonus\n·Duration: <color=#0F70BC>4s</color>
5	1	4	2201105	60832	2	Each time you <color=#0F70BC>switch characters</color>, gain 1 Energy (max <color=#0F70BC>3 stacks</color>). Spend <color=#0F70BC>3 Energy</color> to enter <color=#0F70BC>Matrix</color>, gaining <color=#0F70BC>30%</color> Extra DMG Bonus and <color=#0F70BC>1 random Signal Orb each second</color> within <color=#0F70BC>5s</color>.	·Gain <color=#0F70BC>30%</color> Extra DMG Bonus\n·Duration: <color=#0F70BC>5s</color>
6	2	0	2201201	60832	2	Passive Effect: Whenever <color=#0F70BC>1 character</color> dies in this mode, increase HP equal to <color=#0F70BC>5%</color> Max HP (does not apply in Classical Showdown)\nUse to decrease the enemy's Extra DMG by <color=#0F70BC>5%</color> for <color=#0F70BC>8s</color>. While in effect, if an enemy is <color=#0F70BC>defeated</color>, recover <color=#0F70BC>10%</color> of Max HP\nCD: <color=#0F70BC>25s</color>	·After defeating an enemy, take <color=#0F70BC>5%</color> reduced DMG for <color=#0F70BC>8s</color>\n·Meeting the requirements recovers <color=#0F70BC>10%</color> HP
7	2	1	2201202	60832	2	Passive Effect: Whenever <color=#0F70BC>1 character</color> dies in this mode, increase HP equal to <color=#0F70BC>10%</color> Max HP (does not apply in Classical Showdown)\nUse to decrease the enemy's Extra DMG by <color=#0F70BC>10%</color> for <color=#0F70BC>8s</color>. While in effect, if an enemy is <color=#0F70BC>defeated</color>, recover <color=#0F70BC>20%</color> of Max HP\nCD: <color=#0F70BC>22s</color>	·After defeating an enemy, take <color=#0F70BC>10%</color> reduced DMG for <color=#0F70BC>8s</color>\n·Meeting the requirements recovers <color=#0F70BC>20%</color> HP
8	2	2	2201203	60832	2	Passive Effect: Whenever <color=#0F70BC>1 character</color> dies in this mode, increase HP equal to <color=#0F70BC>15%</color> Max HP (does not apply in Classical Showdown)\nUse to decrease the enemy's Extra DMG by <color=#0F70BC>15%</color> for <color=#0F70BC>8s</color>. While in effect, if an enemy is <color=#0F70BC>defeated</color>, recover <color=#0F70BC>30%</color> of Max HP\nCD: <color=#0F70BC>20s</color>	·After defeating an enemy, take <color=#0F70BC>15%</color> reduced DMG for <color=#0F70BC>8s</color>\n·Meeting the requirements recovers <color=#0F70BC>30%</color> HP
9	2	3	2201204	60832	2	Passive Effect: Whenever <color=#0F70BC>1 character</color> dies in this mode, increase HP equal to <color=#0F70BC>20%</color> Max HP (does not apply in Classical Showdown)\nUse to decrease the enemy's Extra DMG by <color=#0F70BC>20%</color> for <color=#0F70BC>8s</color>. While in effect, if an enemy is <color=#0F70BC>defeated</color>, recover <color=#0F70BC>40%</color> of Max HP\nCD: <color=#0F70BC>18s</color>	·After defeating an enemy, take <color=#0F70BC>20%</color> reduced DMG for <color=#0F70BC>8s</color>\n·Meeting the requirements recovers <color=#0F70BC>40%</color> HP
10	2	4	2201205	60832	2	Passive Effect: Whenever <color=#0F70BC>1 character</color> dies in this mode, increase HP equal to <color=#0F70BC>25%</color> Max HP (does not apply in Classical Showdown)\nUse to decrease the enemy's Extra DMG by <color=#0F70BC>25%</color> for <color=#0F70BC>8s</color>. While in effect, if an enemy is <color=#0F70BC>defeated</color>, recover <color=#0F70BC>50%</color> of Max HP\nCD: <color=#0F70BC>15s</color>	·After defeating an enemy, take <color=#0F70BC>25%</color> reduced DMG for <color=#0F70BC>8s</color>\n·Meeting the requirements recovers <color=#0F70BC>50%</color> HP
11	3	0	2201301	60832	2	Passive Effect: Upon entering combat, recover <color=#0F70BC>20% of lost HP</color>\nUpon use, reduce <color=#0F70BC>20%</color> Max HP to become invincible for <color=#0F70BC>2s</color> and gain <color=#0F70BC>20%</color> Extra DMG Bonus for <color=#0F70BC>5s</color>\nCooldown: <color=#0F70BC>15s</color>\nEach use will increase its HP reduction by 2x, but it <color=#0F70BC>will not be fatal</color>.	·Upon entering battle, recover <color=#0F70BC>20%</color> of missing HP\n·Gain <color=#0F70BC>20%</color> Extra DMG Bonus
12	3	1	2201302	60832	2	Passive Effect: Upon entering combat, recover <color=#0F70BC>20% of lost HP</color>\nUpon use, reduce <color=#0F70BC>17.5%</color> Max HP to become invincible for <color=#0F70BC>2s</color> and gain <color=#0F70BC>25%</color> Extra DMG Bonus for <color=#0F70BC>5s</color>\nCooldown: <color=#0F70BC>15s</color>\nEach use will increase its HP reduction by 2x, but it <color=#0F70BC>will not be fatal</color>.	·Upon entering battle, recover <color=#0F70BC>20%</color> of missing HP\n·Gain <color=#0F70BC>25%</color> Extra DMG Bonus
