Id	ModeId	OrderId	NeedScore	NeedMonsterType[1]	NeedMonsterType[2]	NeedMonsterType[3]	NeedMonsterNum	RewardId
1001	1	1	50					765001
1002	1	2	100					765002
1003	1	3	200					765003
1004	1	4	300					765004
1005	1	5	400					765005
1006	1	6	500					765006
1007	1	7	600					765007
1008	1	8	700					765008
1009	2	1	100					765011
1010	2	2	200					765012
1011	2	3	400					765013
1012	2	4	600					765014
1013	2	5	800					765015
1014	2	6	1000					765016
1015	2	7	1200					765017
1016	2	8	1400					765018
1017	3	1	150					765021
1018	3	2	300					765022
1019	3	3	600					765023
1020	3	4	900					765024
1021	3	5	1200					765025
1022	3	6	1500					765026
1023	3	7	1800					765027
1024	3	8	2100					765028
1025	4	1	400					765031
1026	4	2	800					765032
1027	4	3	1200					765033
1028	4	4	1600					765034
1029	4	5	2000					765035
1030	4	6	2400					765036
1031	4	7	2800					765037
1032	4	8	3500					765038
