Id	MonsterId	MonsterType	Icon	Num	Level	LimitStageId	ModelScale	FightEventList[1]	FightEventList[2]	FightEventList[3]	FightEventList[4]	FightEventList[5]	FightEventList[6]	BuffIds[1]	BuffIds[2]	BuffIds[3]	BuffIds[4]	BuffIds[5]	BuffIds[6]	MonsterInfoId	Note
1001	93160	1	Assets/Product/Texture/Image/RoleCharacter/ChoujueNormal01.png	1	1000		0.6	776102	772591	760373				776102	772591	760373	776500	776170		100	Gung-hoer
1002	93230	1	Assets/Product/Texture/Image/RoleCharacter/CourierNormal01.png	1	1000		0.6	760332	760311					760332	760311		776501	776171		103	Courier
1003	93221	1	Assets/Product/Texture/Image/RoleCharacter/DeporterNormal01.png	1	1000		0.6	760241						760241			776502	776172		104	Deporter
1004	93020	1	Assets/Product/Texture/Image/RoleCharacter/YouyezheNormal01.png	1	1000		0.8	712002	760271					712002	760271		776503	776173		43	Octopus
1005	93010	1	Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	1	1000		0.8	760312						760312			776504	776174		42	Sanitizer
1006	90940	1	Assets/Product/Texture/Image/RoleCharacter/Mo1CiganxieMd010001.png	1	1000		1	760413	772604					760413	772604		776505	776175		39	Scorpion
1007	90930	1	Assets/Product/Texture/Image/RoleCharacter/Mo1YingdengyuMd010001.png	1	1000		0.7	760413	772604					760413	772604		776506	776176		37	Fish
1008	90900	1	Assets/Product/Texture/Image/RoleCharacter/Mo1HaiqiaoMd010001.png	1	1000		1	760413	772604					760413	772604		776507	776177		36	Sea Squirt
1009	90850	1	Assets/Product/Texture/Image/RoleCharacter/ZhuNormal01.png	1	1000		1	778076	760293					778076	760293		776508	776178		33	Chomper
1010	90830	1	Assets/Product/Texture/Image/RoleCharacter/Mo1MifengMd010001.png	1	1000		0.7	778076	760263					778076	760263		776509	776179		32	Mosquito
1011	90810	1	Assets/Product/Texture/Image/RoleCharacter/Taieyixing01.png	1	1000		0.8	760221	772595					760221	772595		776510	776180		31	Tai'E
1012	90760	1	Assets/Product/Texture/Image/RoleCharacter/TuziNormal01.png	1	1000		0.6	712002	780163					712002	780163		776511	776181		29	Hanging Rabbit
1013	90770	1	Assets/Product/Texture/Image/RoleCharacter/ZhangyuNormal01.png	1	1000		0.6	760373	760401					760373	760401		776512	776182		30	Squid
1014	90780	1	Assets/Product/Texture/Image/RoleCharacter/XiongrenNormal01.png	1	1000		0.6	760451	760603					760451	760603		776513	776183		65	Bear
1015	90750	1	Assets/Product/Texture/Image/RoleCharacter/XuehaoNormal01.png	1	1000		0.6	760381	760394					760381	760394		776514	776184		28	Snow Owl
1016	90710	1	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	1	1000		0.7	772587						772587			776515	776185		25	Cathy
1017	90720	1	Assets/Product/Texture/Image/RoleCharacter/MatianniNormal01.png	1	1000		1	760291	760451					760291	760451		776516	776186		26	Martini
1018	90730	1	Assets/Product/Texture/Image/RoleCharacter/BaixianshengNormal01.png	1	1000		1	760281						760281			776517	776187		27	Mr. White
1019	90650	1	Assets/Product/Texture/Image/RoleCharacter/WulunNormal01.png	1	1000		0.8	760391	760411					760391	760411		776518	776188		23	Ballwheel
1020	90640	1	Assets/Product/Texture/Image/RoleCharacter/LishiNormal01.png	1	1000		1	712003	760241					712003	760241		776519	776189		22	Blubber
1021	90660	1	Assets/Product/Texture/Image/RoleCharacter/DiaorensanxingNormal01.png	1	1000		0.7	776102	760323	760381				776102	760323	760381	776520	776190		21	Hanged Man
1022	90670	1	Assets/Product/Texture/Image/RoleCharacter/Mo1YanfenyixingMd000001.png	1	1000		0.8	760302						760302			776521	776191		20	Kemuri
1023	90110	1	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	1	1000		0.6	760342						760342			776522	776192		4	Patrol
1024	90030	1	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	1	1000		0.6	760282						760282			776523	776193		1	Wrench
1025	90150	1	Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	1	1000		0.6	760202						760202			776524	776194		10	Hydraulic
1026	90160	1	Assets/Product/Texture/Image/RoleCharacter/ShaojiepaoNormal01.png	1	1000		1	760391	760271					760391	760271		776525	776195		11	Sentry Gun
1101	90260	2	Assets/Product/Texture/Image/RoleCharacter/Mo1FangshengrongyuanMd000001.png	1	1000		0.6	760452	760394					760452	760394		776526	776196		46	Newt
