StageId	NormalWeight	Weights[1]	Weights[2]	LabelIds[1]	LabelIds[2]	LabelIds[3]	BestHelperFightEventId	BaseRewardId	ShowBaseRewardId	ShowSpecialRewardId	ShowAllRewardId	ExtraRewardIds[1]	ExtraRewardIds[2]	ExtraRewardIds[3]	ShowExtraRewardIds[1]	ShowExtraRewardIds[2]	ShowExtraRewardIds[3]	BaseCostMoodNum	LabelCostMoodNums[1]	LabelCostMoodNums[2]	LabelCostMoodNums[3]
30160040	1500	3000	2000	1	14	30	210001	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160041	2000	3000	2000	1	14	28	210004	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160042	2000	3000	2000	3	14	37	210007	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160043	2000	3000	2000	1	12	26	210010	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160211	2000	1500	2000	1	12	26	210011	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160212	2000	1500	2000	1	11	25	210016	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160221	1500	1500	1500	3	14	37	210008	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160222	1500	1500	1500	1	13	27	210018	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160223	2000	1500	2000	3	14	37	210008	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160224	2000	1500	2000	1	13	27	210018	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160231	2000	1500	2000	1	14	30	210002	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160232	2000	1500	2000	1	11	25	210017	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160233	2000	1500	2000	1	14	28	210006	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160234	2000	1500	2000	1	14	30	210002	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160235	2000	1500	2000	1	11	25	210017	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160236	2000	1500	2000	1	14	28	210006	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160237	2000	1500	2000	2	21	45	210032	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160241	1500	1500	1500	1	15	31	210027	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160242	1500	1500	1500	4	23	44	210030	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160243	1500	1500	1500	1	15	31	210027	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160244	1500	1500	1500	4	23	44	210030	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160245	2000	1500	2000	1	15	31	210027	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160246	2000	1500	2000	4	23	44	210030	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160311	2000	1500	2000	2	17	34	210024	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160312	2000	1500	2000	1	14	28	210003	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160313	2000	1500	2000	4	23	47	210034	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160321	2000	1500	2000	1	15	29	210005	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160322	2000	1500	2000	2	21	41	210025	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160323	2000	1500	2000	1	15	29	210005	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160324	2000	1500	2000	2	21	41	210025	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160325	2000	1500	2000	2	18	35	210026	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160326	2000	1500	2000	2	11	25	210036	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160331	1500	1500	1500	2	16	32	210022	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160332	1500	1500	1500	2	24	36	210020	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160333	1500	1500	1500	2	16	32	210022	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160334	2000	1500	2000	2	16	32	210022	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160335	2000	1500	2000	2	24	36	210020	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160341	1500	1500	1500	2	16	33	210014	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160342	1500	1500	1500	2	20	39	210012	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160343	1500	1500	1500	2	16	33	210014	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160344	1500	1500	1500	2	20	39	210012	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160345	2000	1500	2000	2	16	33	210014	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160346	2000	1500	2000	2	20	39	210012	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160111	1000	1000	1000	2	20	39	210013	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160112	1000	1000	1000	49	19	42	210031	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160121	1000	1000	1000	2	16	33	210015	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160122	1000	1000	1000	2	16	32	210023	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160123	1000	1000	1000	2	16	33	210015	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160124	1000	1000	1000	2	16	32	210023	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160131	1000	1000	1000	4	16	43	210029	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160132	1000	1000	1000	1	13	27	210019	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160133	1000	1000	1000	1	13	27	210019	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
30160134	1000	1000	1000	4	16	43	210029	412201	414003	414004	414002	414001	414001	414001	414001	414001	414001	100	100	75	50
