Id	RobotId	Order	LabelIds[1]	LabelIds[2]	LabelIds[3]	DefaultLock	MoodUpLimit	GiftRecoveryMood	QuestionBankIds[1]	QuestionCounts[1]	QuestionBankIds[2]	QuestionCounts[2]	QuestionBankIds[3]	QuestionCounts[3]	CommunicateConsumeCount	CirleIcon	ThankId
1001	10001	1	1	14	30		100	25								Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	6
1002	10101	2	1	14	30	1	100	25	10021	2	10022	2	10023	1	1	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	6
1003	10011	3	1	14	28	1	100	25	10031	2	10032	2	10033	1	1	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	4
1004	10081	4	1	14	28		100	25								Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	4
1005	10151	5	1	15	29	1	100	25	10051	2	10052	2	10053	1	1	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	5
1006	10211	6	1	14	28	1	100	25	10061	2	10062	2	10063	1	1	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	4
1007	10021	7	3	14	37		100	25								Assets/Product/Texture/Image/Role/RoleHeadLifu3Q.png	13
1008	10091	8	3	14	37	1	100	25	10081	2	10082	2	10083	1	1	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	13
1009	10341	9	49	14	37	1	100	25	10091	2	10092	2	10093	1	1	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	13
1010	10031	10	1	12	26		100	25								Assets/Product/Texture/Image/Role/RoleHeadAolisuo3Q.png	2
1011	10181	11	1	12	26	1	100	25	10111	2	10112	2	10113	1	1	Assets/Product/Texture/Image/Role/RoleHeadBianka3SSQ.png	2
1012	10371	12	2	20	39	1	100	25	10121	2	10122	2	10123	1	1	Assets/Product/Texture/Image/Role/RoleHeadR5Yongyechao3Q.png	15
1013	10141	13	2	20	39	1	100	25	10131	2	10132	2	10133	1	1	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	15
1014	10051	14	2	16	33	1	100	25	10141	2	10142	2	10143	1	1	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	9
1015	10121	15	2	16	33	1	100	25	10151	2	10152	2	10153	1	1	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SSQ.png	9
1016	10061	16	1	11	25	1	100	25	10161	2	10162	2	10163	1	1	Assets/Product/Texture/Image/Role/RoleHeadKalie3Q.png	1
1017	10131	17	1	11	25	1	100	25	10171	2	10172	2	10173	1	1	Assets/Product/Texture/Image/Role/RoleHeadKalie3SSQ.png	1
1018	10071	18	1	13	27	1	100	25	10181	2	10182	2	10183	1	1	Assets/Product/Texture/Image/Role/RoleHeadDubian3Q.png	3
1019	10161	19	1	13	27	1	100	25	10191	2	10192	2	10193	1	1	Assets/Product/Texture/Image/Role/RoleHeadDubian3SSQ.png	3
1020	10171	20	2	24	36	1	100	25	10201	2	10202	2	10203	1	1	Assets/Product/Texture/Image/Role/RoleHeadAila3Q.png	12
1021	10191	21	3	18	40	1	100	25	10211	2	10212	2	10213	1	1	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3Q.png	16
1022	10201	22	2	16	32	1	100	25	10221	2	10222	2	10223	1	1	Assets/Product/Texture/Image/Role/RoleHeadKulomu3Q.png	8
1023	10301	23	2	16	32	1	100	25	10231	2	10232	2	10233	1	1	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3Q.png	8
1024	10241	24	2	17	34	1	100	25	10241	2	10242	2	10243	1	1	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3Q.png	10
1025	10322	25	2	21	41	1	100	25	10251	2	10252	2	10253	1	1	Assets/Product/Texture/Image/Role/RoleHeadR3Weila3Q.png	17
1026	10251	26	2	18	35	1	100	25	10261	2	10262	2	10263	1	1	Assets/Product/Texture/Image/Role/RoleHeadChangYu3Q.png	11
1027	10271	27	1	15	31	1	100	25	10271	2	10272	2	10273	1	1	Assets/Product/Texture/Image/Role/RoleHeadLuna3Q.png	7
1028	10291	28	3	16	38	1	100	25	10281	2	10282	2	10283	1	1	Assets/Product/Texture/Image/Role/RoleHeadWanShi3Q.png	14
1029	10231	29	4	16	43	1	100	25	10291	2	10292	2	10293	1	1	Assets/Product/Texture/Image/Role/RoleHeadKamu3Q.png	19
1030	10261	30	4	23	44	1	100	25	10301	2	10302	2	10303	1	1	Assets/Product/Texture/Image/Role/RoleHeadQu3Q.png	20
1031	10351	31	49	19	42	1	100	25	10311	2	10312	2	10313	1	1	Assets/Product/Texture/Image/Role/RoleHeadR3Sailinna3Q.png	18
1032	10311	32	2	21	45	1	100	25	10321	2	10322	2	10323	1	1	Assets/Product/Texture/Image/Role/RoleHead21Hao3Q.png	22
1033	10381	33	4	20	46	1	100	25	10331	2	10332	2	10333	1	1	Assets/Product/Texture/Image/Role/RoleHeadHakama3Qnew.png	25
1034	10361	34	4	23	47	1	100	25	10341	2	10342	2	10343	1	1	Assets/Product/Texture/Image/Role/RoleHeadPulao3Qnew.png	24
1035	10331	35	4	15	48	1	100	25	10351	2	10352	2	10353	1	1	Assets/Product/Texture/Image/Role/RoleHeadLuolan3Qnew.png	21
1036	10391	36	2	11	25	1	100	25	10361	2	10362	2	10363	1	1	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3Q.png	1
