Id	AffixTypeId[1]	AffixTypeId[2]	AffixTypeId[3]	AffixTypeId[4]	AffixTypeId[5]	AffixTypeId[6]	AffixTypeId[7]	AffixTypeId[8]	AffixTypeId[9]	AffixTypeId[10]
1	100|200|300									
2	100|200|400	300								
3	100|300|400	200								
4	100	200	300							
5	100									
6	200									
7	300									
8	100|200|400									
9	100|300|400									
10	200|300|400									
11	100|200|400	100	100							
12	100	200	200							
13										
14	400	400	400							
15	502|503|503	502|503|503	502|503|503	502|503|503	502|503|503	502|503|503	502|503|503	502|503|503	502|503|503	502|503|503
16	500|503|503	500|503|503	500|503|503	500|503|503	500|503|503	500|503|503	500|503|503	500|503|503	500|503|503	500|503|503
17	505|504|504	505|504|504	505|504|504	505|504|504	505|504|504	505|504|504	505|504|504	505|504|504	505|504|504	505|504|504
18	504|504|504	504|504|504	504|504|504	504|504|504	504|504|504	504|504|504	504|504|504	504|504|504	504|504|504	504|504|504
19	506									
20	506	507								
21	506	507	508							
22	506	507	506|507	508						
23	509	509	509							
24	302									
25	301									
